#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089365.1-p1      -           1795 1041at5820           -           1351         0 2575.4  25.9   1   2         0         0 1500.5  11.8     2   737     6   894     5   947 0.90 | transcript=PVX_089365.1 | gene=PVX_089365 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr05:496724-502557(+) | protein_length=1795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 1041at5820           -           1351   1.2e-88  296.3  28.6   2   6   5.4e-56   2.5e-53  179.3  15.3   385   681  1369  1675  1226  1685 0.73 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 1041at5820           -           1351   1.2e-88  296.3  28.6   3   6   3.1e-42   1.4e-39  133.7   5.3  1041  1207  1690  1857  1679  1941 0.80 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 1041at5820           -           1351   1.2e-88  296.3  28.6   4   6       3.4   1.6e+03   -5.6   3.7   294   338  2326  2368  2312  2475 0.60 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 1041at5820           -           1351   1.2e-88  296.3  28.6   5   6       1.6   7.5e+02   -4.5   6.8   291   356  2933  2999  2915  3025 0.46 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111520.1-p1      -           3241 1041at5820           -           1351   1.2e-88  296.3  28.6   6   6       5.5   2.5e+03   -6.2   2.3   293   314  3167  3188  3150  3230 0.39 | transcript=PVX_111520.1 | gene=PVX_111520 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:393512-403237(-) | protein_length=3241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 1041at5820           -           1351   5.5e-69  231.2   6.6   1   4   9.3e-38   4.3e-35  118.9   0.2   376   573   334   532   236   547 0.75 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 1041at5820           -           1351   5.5e-69  231.2   6.6   2   4   9.9e-40   4.6e-37  125.4   1.9  1061  1197  1217  1354  1206  1395 0.85 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 1041at5820           -           1351   5.5e-69  231.2   6.6   3   4       4.2   1.9e+03   -5.9   8.3   201   258  1426  1489  1369  1509 0.63 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114340.1-p1      -           2946 1041at5820           -           1351   5.5e-69  231.2   6.6   4   4       3.3   1.5e+03   -5.5   8.3   171   209  2346  2384  2322  2424 0.60 | transcript=PVX_114340.1 | gene=PVX_114340 | organism=Plasmodium_vivax_Sal-1 | gene_product=SNF2 family N-terminal domain containing protein | transcript_product=SNF2 family N-terminal domain containing protein | location=Pv_Sal1_chr11:1040472-1049312(-) | protein_length=2946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 1041at5820           -           1351   1.3e-66  223.3  35.0   1   6       2.8   1.3e+03   -5.3   5.0   329   365    32    67     7    96 0.45 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 1041at5820           -           1351   1.3e-66  223.3  35.0   2   6   4.5e-41   2.1e-38  129.9  15.5   295   573   119   413   108   426 0.68 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 1041at5820           -           1351   1.3e-66  223.3  35.0   3   6   8.6e-07    0.0004   16.3   5.5   598   654   536   590   515   600 0.81 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 1041at5820           -           1351   1.3e-66  223.3  35.0   4   6     0.048        22    0.6  10.9   921  1084   693   856   685   872 0.72 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 1041at5820           -           1351   1.3e-66  223.3  35.0   5   6       2.5   1.2e+03   -5.1   3.9   292   340   892   941   880   974 0.40 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089480.1-p1      -           1102 1041at5820           -           1351   1.3e-66  223.3  35.0   6   6   1.2e-33   5.7e-31  105.3   0.3  1088  1190   976  1078   970  1089 0.95 | transcript=PVX_089480.1 | gene=PVX_089480 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:591010-595322(+) | protein_length=1102 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 1041at5820           -           1351   1.5e-62  209.8  31.1   1   2   2.1e-39   9.8e-37  124.4   9.6   352   682    84   432    56   441 0.81 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093575.1-p1      -           1064 1041at5820           -           1351   1.5e-62  209.8  31.1   2   2     3e-32   1.4e-29  100.7  13.5  1044  1211   526   695   523   808 0.80 | transcript=PVX_093575.1 | gene=PVX_093575 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD54, putative | transcript_product=DNA repair protein RAD54, putative | location=Pv_Sal1_chr01:653698-656892(-) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 1041at5820           -           1351   8.6e-46  154.4  23.2   1   4   8.6e-11     4e-08   29.6   0.7   329   431   162   266   114   272 0.69 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 1041at5820           -           1351   8.6e-46  154.4  23.2   2   4     0.012       5.5    2.6   0.7   442   503   372   430   369   446 0.79 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 1041at5820           -           1351   8.6e-46  154.4  23.2   3   4   9.2e-13   4.3e-10   36.1   0.1   507   567   958  1019   949  1047 0.84 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 1041at5820           -           1351   8.6e-46  154.4  23.2   4   4   2.5e-31   1.1e-28   97.6   3.9  1026  1188  1400  1563  1373  1583 0.88 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 1041at5820           -           1351   9.6e-39  131.0  19.0   1   2   1.4e-21   6.3e-19   65.3   7.7   387   630   310   541   126   551 0.76 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114850.1-p1      -            877 1041at5820           -           1351   9.6e-39  131.0  19.0   2   2   2.4e-23   1.1e-20   71.2   3.3  1048  1215   619   795   611   843 0.80 | transcript=PVX_114850.1 | gene=PVX_114850 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr11:576114-578747(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1041at5820           -           1351   1.7e-29  100.4  25.8   1   6      0.25   1.1e+02   -1.8   2.8   777   836   120   182    65   217 0.71 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1041at5820           -           1351   1.7e-29  100.4  25.8   2   6   1.7e-05    0.0078   12.0   0.0   413   433   725   745   711   753 0.91 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1041at5820           -           1351   1.7e-29  100.4  25.8   3   6         1   4.7e+02   -3.8   0.0   442   505   781   841   777   848 0.71 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1041at5820           -           1351   1.7e-29  100.4  25.8   4   6   1.1e-14   5.1e-12   42.5   3.3   511   682   960  1136   950  1143 0.84 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1041at5820           -           1351   1.7e-29  100.4  25.8   5   6       0.2        92   -1.5   0.1   825   861  1299  1335  1279  1345 0.74 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 1041at5820           -           1351   1.7e-29  100.4  25.8   6   6   2.3e-19     1e-16   58.0   1.1  1115  1204  1417  1507  1313  1527 0.84 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 1041at5820           -           1351   0.00076   15.4   0.9   1   1   2.6e-06    0.0012   14.7   0.9   292   398   493   678   483   684 0.62 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123985.1-p1      -            717 1041at5820           -           1351    0.0014   14.5   0.3   1   1   6.4e-06    0.0029   13.4   0.3  1051  1160   562   665   543   686 0.80 | transcript=PVX_123985.1 | gene=PVX_123985 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:1945359-1947512(-) | protein_length=717 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1041at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1041at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1041at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:05 2026
# [ok]
