#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111085.1-p1      -            317 11664at5820          -            281  7.9e-147  486.3  49.2   1   1  2.1e-149    9e-147  486.1  49.2     1   281     1   301     1   301 0.95 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 11664at5820          -            281     6e-14   50.3  31.8   1   2   7.2e-14     3e-11   41.5  13.5    81   159    76   154    69   154 0.96 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 11664at5820          -            281     6e-14   50.3  31.8   2   2   2.4e-08     1e-05   23.3  10.4    37   102   142   210   141   219 0.89 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089240.1-p1      -            198 11664at5820          -            281   3.7e-13   47.8  14.0   1   1   2.6e-15   1.1e-12   46.2  14.0    34   158    25   156     3   187 0.74 | transcript=PVX_089240.1 | gene=PVX_089240 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=Pv_Sal1_chr05:408745-410298(+) | protein_length=198 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 11664at5820          -            281   5.5e-13   47.2  10.2   1   2   1.3e-15   5.5e-13   47.2  10.2    53   170    28   149    11   169 0.79 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 11664at5820          -            281   5.5e-13   47.2  10.2   2   2      0.26   1.1e+02    0.2   0.2   138   181   243   287   237   316 0.73 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124035.1-p1      -            438 11664at5820          -            281   4.9e-12   44.0  13.8   1   1     2e-14   8.7e-12   43.2  13.8    16   127    23   140     6   151 0.77 | transcript=PVX_124035.1 | gene=PVX_124035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1990626-1992189(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092920.1-p1      -            340 11664at5820          -            281   8.6e-10   36.7  26.6   1   1   3.2e-12   1.4e-09   36.0  26.6    30   234   120   326    97   330 0.81 | transcript=PVX_092920.1 | gene=PVX_092920 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr09:1819386-1820408(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115445.1-p1      -            176 11664at5820          -            281   8.1e-09   33.5  15.5   1   2   3.8e-10   1.6e-07   29.2   9.6    85   159    23   100     3   110 0.75 | transcript=PVX_115445.1 | gene=PVX_115445 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=Pv_Sal1_chr11:55010-56353(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115445.1-p1      -            176 11664at5820          -            281   8.1e-09   33.5  15.5   2   2    0.0013      0.53    7.8   0.7   235   279   105   147   100   149 0.62 | transcript=PVX_115445.1 | gene=PVX_115445 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=Pv_Sal1_chr11:55010-56353(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 11664at5820          -            281   4.3e-05   21.3   5.2   1   2   6.1e-07   0.00026   18.7   4.5    71   151    45   132     9   142 0.60 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085145.1-p1      -            281 11664at5820          -            281   4.3e-05   21.3   5.2   2   2     0.023       9.7    3.7   0.1   234   278   122   164   119   167 0.84 | transcript=PVX_085145.1 | gene=PVX_085145 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:941527-942372(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117050.1-p1      -            250 11664at5820          -            281   7.6e-05   20.5  15.1   1   1     8e-06    0.0034   15.0  14.0   144   278    82   225    57   228 0.74 | transcript=PVX_117050.1 | gene=PVX_117050 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1498301-1499396(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 11664at5820          -            281    0.0046   14.6   6.6   1   2     0.008       3.4    5.2   0.5   155   194   115   154    72   219 0.81 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098780.1-p1      -            414 11664at5820          -            281    0.0046   14.6   6.6   2   2   9.4e-05      0.04   11.5   0.9   103   154   274   329   270   337 0.47 | transcript=PVX_098780.1 | gene=PVX_098780 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr07:250525-251769(-) | protein_length=414 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11664at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11664at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11664at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:52 2026
# [ok]
