#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100515.1-p1      -           2142 1010at5820           -           1125         0 1719.5 140.6   1  11    2e-205  5.6e-202  671.9  28.2     1   302     1   305     1   311 0.98 | transcript=PVX_100515.1 | gene=PVX_100515 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr14:2142593-2149493(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1010at5820           -           1125   6.5e-61  204.7  74.1   1   5     4e-39   1.1e-35  121.2  35.7    16   257    62   293    52   309 0.89 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1010at5820           -           1125   6.5e-61  204.7  74.1   2   5   1.7e-32   4.6e-29   99.2  30.4   373   534   322   499   314   514 0.86 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1010at5820           -           1125   6.5e-61  204.7  74.1   3   5         2   5.5e+03   -8.7  10.9   630   846   772   836   722   888 0.34 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1010at5820           -           1125   6.5e-61  204.7  74.1   4   5      0.39   1.1e+03   -4.7   1.0   546   618  1048  1117  1046  1131 0.68 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084455.1-p1      -           1539 1010at5820           -           1125   6.5e-61  204.7  74.1   5   5       0.1   2.9e+02   -2.7   0.9  1087  1122  1501  1537  1487  1539 0.81 | transcript=PVX_084455.1 | gene=PVX_084455 | organism=Plasmodium_vivax_Sal-1 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=Pv_Sal1_chr13:321700-326319(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1010at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1010at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1010at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:42 2026
# [ok]
