#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087685.1-p1      -            107 14652at5820          -             79     6e-41  136.9   8.6   1   1   3.6e-43   1.2e-40  135.9   8.6    10    79    38   107    14   107 0.97 | transcript=PVX_087685.1 | gene=PVX_087685 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin, putative | transcript_product=centrin, putative | location=Pv_Sal1_chr01:31271-32174(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091105.1-p1      -            344 14652at5820          -             79   2.7e-06   25.8  18.1   4   4   2.5e-06   0.00088   17.8   0.9    17    43   211   237   198   244 0.81 | transcript=PVX_091105.1 | gene=PVX_091105 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=Pv_Sal1_chr09:266688-267722(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 14652at5820          -             79   1.1e-05   23.9  14.2   1   3     2e-07     7e-05   21.3   5.2     9    73     6    76     1    82 0.83 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 14652at5820          -             79   1.1e-05   23.9  14.2   2   3       1.1   3.8e+02   -0.3   0.0    13    34    88   106    75   118 0.57 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 14652at5820          -             79   1.1e-05   23.9  14.2   3   3    0.0026      0.91    8.1   0.5    22    51   132   159   111   167 0.79 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089590.1-p1      -            275 14652at5820          -             79   0.00011   20.6   4.8   1   2   3.5e-05     0.012   14.1   3.0    19    57   162   200   146   211 0.82 | transcript=PVX_089590.1 | gene=PVX_089590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:682405-683563(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089590.1-p1      -            275 14652at5820          -             79   0.00011   20.6   4.8   2   2     0.019       6.6    5.3   0.0    23    42   251   270   229   274 0.78 | transcript=PVX_089590.1 | gene=PVX_089590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:682405-683563(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 14652at5820          -             79   0.00027   19.4   9.4   1   3   4.3e-06    0.0015   17.0   0.3     9    46     2    39     1    58 0.90 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 14652at5820          -             79   0.00027   19.4   9.4   2   3       1.9   6.6e+02   -1.1   0.1    28    53   129   156   110   164 0.54 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 14652at5820          -             79   0.00027   19.4   9.4   3   3    0.0066       2.3    6.8   1.5    17    47   169   199   151   223 0.82 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082430.1-p1      -            475 14652at5820          -             79   0.00088   17.8   7.3   1   4     0.065        22    3.7   0.0    55    72   170   187   165   193 0.89 | transcript=PVX_082430.1 | gene=PVX_082430 | organism=Plasmodium_vivax_Sal-1 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=Pv_Sal1_chr12:915937-917364(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082430.1-p1      -            475 14652at5820          -             79   0.00088   17.8   7.3   2   4      0.49   1.7e+02    0.8   0.1    24    42   209   227   191   238 0.80 | transcript=PVX_082430.1 | gene=PVX_082430 | organism=Plasmodium_vivax_Sal-1 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=Pv_Sal1_chr12:915937-917364(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082430.1-p1      -            475 14652at5820          -             79   0.00088   17.8   7.3   3   4   0.00024     0.083   11.4   0.2    20    77   317   375   300   377 0.86 | transcript=PVX_082430.1 | gene=PVX_082430 | organism=Plasmodium_vivax_Sal-1 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=Pv_Sal1_chr12:915937-917364(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082430.1-p1      -            475 14652at5820          -             79   0.00088   17.8   7.3   4   4      0.14        49    2.6   0.0    23    40   438   455   422   464 0.88 | transcript=PVX_082430.1 | gene=PVX_082430 | organism=Plasmodium_vivax_Sal-1 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=Pv_Sal1_chr12:915937-917364(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 14652at5820          -             79    0.0018   16.8   6.5   1   3   3.4e-05     0.012   14.2   0.9    12    78    21    91    13    92 0.82 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 14652at5820          -             79    0.0018   16.8   6.5   2   3    0.0023      0.79    8.3   1.2    28    71    71   121    61   128 0.75 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118162.1-p1      -            168 14652at5820          -             79    0.0018   16.8   6.5   3   3     0.045        16    4.2   0.5    16    73    98   159    94   165 0.68 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 14652at5820          -             79    0.0055   15.2   2.8   1   2      0.22        77    1.9   0.0    53    73   499   519   492   526 0.83 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 14652at5820          -             79    0.0055   15.2   2.8   2   2    0.0017      0.58    8.7   1.2    12    71   525   593   515   599 0.68 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083520.1-p1      -            423 14652at5820          -             79    0.0066   15.0   1.1   1   4       3.1   1.1e+03   -1.7   0.2    43    43   289   289   251   326 0.50 | transcript=PVX_083520.1 | gene=PVX_083520 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:54766-58068(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083520.1-p1      -            423 14652at5820          -             79    0.0066   15.0   1.1   2   4      0.17        58    2.3   0.1    17    72   295   355   281   358 0.68 | transcript=PVX_083520.1 | gene=PVX_083520 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:54766-58068(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083520.1-p1      -            423 14652at5820          -             79    0.0066   15.0   1.1   3   4   1.9e-05    0.0066   15.0   1.1    19    73   334   392   326   398 0.84 | transcript=PVX_083520.1 | gene=PVX_083520 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:54766-58068(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083520.1-p1      -            423 14652at5820          -             79    0.0066   15.0   1.1   4   4       3.3   1.1e+03   -1.8   0.1     6    27   397   419   391   420 0.72 | transcript=PVX_083520.1 | gene=PVX_083520 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:54766-58068(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14652at5820          -             79    0.0079   14.7  18.6   1   4       4.6   1.6e+03   -2.3   0.0    41    57   167   183   164   188 0.82 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14652at5820          -             79    0.0079   14.7  18.6   2   4      0.14        49    2.6   0.2    43    62   325   347   320   354 0.79 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14652at5820          -             79    0.0079   14.7  18.6   3   4   0.00039      0.13   10.8   0.4    12    73   418   482   413   487 0.77 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 14652at5820          -             79    0.0079   14.7  18.6   4   4    0.0069       2.4    6.8   4.1    23    73   500   556   491   561 0.74 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095390.1-p1      -            130 14652at5820          -             79     0.019   13.5   0.0   1   1    0.0001     0.035   12.6   0.0    40    70    34    64    23    68 0.90 | transcript=PVX_095390.1 | gene=PVX_095390 | organism=Plasmodium_vivax_Sal-1 | gene_product=40S ribosomal protein S15Aa, putative | transcript_product=40S ribosomal protein S15Aa, putative | location=Pv_Sal1_chr08:1075965-1076501(-) | protein_length=130 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14652at5820          -             79      0.87    8.2  23.0   1   5       4.2   1.5e+03   -2.2   0.1    41    56   119   134   107   138 0.77 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14652at5820          -             79      0.87    8.2  23.0   2   5      0.35   1.2e+02    1.3   0.4    10    53   294   334   286   346 0.69 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14652at5820          -             79      0.87    8.2  23.0   3   5     0.026       8.9    4.9   3.9    12    73   371   444   362   447 0.65 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14652at5820          -             79      0.87    8.2  23.0   4   5     0.034        12    4.6   4.1    17    71   420   478   403   485 0.72 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 14652at5820          -             79      0.87    8.2  23.0   5   5    0.0032       1.1    7.8   0.2    25    46   498   519   482   524 0.81 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14652at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:02 2026
# [ok]
