#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092535.1-p1      -           3979 100at5820            -           2613         0 5130.2 235.3   1  10  7.1e-271  6.6e-268  890.5  34.0     1   452    52   511    52   538 0.97 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 100at5820            -           2613  8.4e-176  584.9 171.4   4   7   1.1e-14   1.1e-11   40.6  33.9   929  1245   895  1204   879  1261 0.82 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 100at5820            -           2613  8.4e-176  584.9 171.4   5   7   1.1e-28     1e-25   87.0  35.5  1454  1785  1339  1699  1295  1702 0.69 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 100at5820            -           2613  8.4e-176  584.9 171.4   6   7   2.5e-31   2.3e-28   95.8   0.1  1794  1884  1754  1844  1712  1870 0.84 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114990.1-p1      -           3144 100at5820            -           2613  8.4e-176  584.9 171.4   7   7   1.1e-84     1e-81  272.9  30.3  2101  2575  2640  3114  2614  3136 0.82 | transcript=PVX_114990.1 | gene=PVX_114990 | organism=Plasmodium_vivax_Sal-1 | gene_product=guanylyl cyclase, putative | transcript_product=guanylyl cyclase, putative | location=Pv_Sal1_chr11:427613-439718(-) | protein_length=3144 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 100at5820            -           2613  8.6e-106  352.7  70.1   1   6   1.3e-15   1.2e-12   43.7   3.7    37   178    35   169     7   178 0.79 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 100at5820            -           2613  8.6e-106  352.7  70.1   2   6   1.6e-14   1.5e-11   40.1   0.1   140   231   194   291   184   304 0.84 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 100at5820            -           2613  8.6e-106  352.7  70.1   3   6   1.5e-22   1.4e-19   66.7  12.7   245   522   364   673   359   733 0.67 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 100at5820            -           2613  8.6e-106  352.7  70.1   4   6   3.2e-08     3e-05   19.2   0.0   694   755   737   798   724   807 0.91 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 100at5820            -           2613  8.6e-106  352.7  70.1   5   6   4.2e-28   3.9e-25   85.1   1.1   805   920   925  1040   878  1082 0.85 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 100at5820            -           2613  8.6e-106  352.7  70.1   6   6   7.4e-38   6.8e-35  117.5  23.9   956  1298  1115  1454  1107  1472 0.83 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 100at5820            -           2613   2.3e-88  294.9  51.5   1   7   2.9e-29   2.6e-26   89.0   0.8    28   229    56   252    34   258 0.83 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 100at5820            -           2613   2.3e-88  294.9  51.5   2   7   5.2e-16   4.8e-13   45.0   2.2   224   373   322   480   315   489 0.78 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 100at5820            -           2613   2.3e-88  294.9  51.5   3   7   7.6e-05      0.07    8.0   0.2   472   510   496   535   482   546 0.80 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 100at5820            -           2613   2.3e-88  294.9  51.5   4   7    0.0036       3.3    2.4   0.0   694   749   783   842   762   846 0.80 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 100at5820            -           2613   2.3e-88  294.9  51.5   5   7   3.2e-23   2.9e-20   69.0   1.8   735   920   930  1102   921  1163 0.81 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 100at5820            -           2613   2.3e-88  294.9  51.5   6   7   1.1e-37   1.1e-34  116.9   1.9   942  1171  1215  1447  1180  1462 0.88 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095285.1-p1      -           1707 100at5820            -           2613   2.3e-88  294.9  51.5   7   7         6   5.5e+03  -12.1   8.7  1169  1287  1503  1625  1481  1673 0.58 | transcript=PVX_095285.1 | gene=PVX_095285 | organism=Plasmodium_vivax_Sal-1 | gene_product=potential phospholipid-transporting ATPase, putative | transcript_product=potential phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr08:956423-961546(-) | protein_length=1707 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 100at5820            -           2613   4.3e-45  151.3 121.3   1   6   1.4e-14   1.3e-11   40.3  11.6    35   220    59   239    42   260 0.86 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 100at5820            -           2613   4.3e-45  151.3 121.3   2   6      0.57   5.3e+02   -4.9   2.2  2564  2607   266   310   264   317 0.63 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 100at5820            -           2613   4.3e-45  151.3 121.3   3   6     0.051        47   -1.4   0.0   168   229   322   383   318   390 0.91 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 100at5820            -           2613   4.3e-45  151.3 121.3   4   6   1.6e-06    0.0015   13.5  13.8   238   375   620   739   598   741 0.83 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 100at5820            -           2613   4.3e-45  151.3 121.3   5   6   1.3e-06    0.0012   13.9  20.9   443   702   718   983   715   995 0.64 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123800.1-p1      -           1680 100at5820            -           2613   4.3e-45  151.3 121.3   6   6     3e-36   2.8e-33  112.2  45.4   643  1283  1078  1667  1054  1678 0.79 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 100at5820            -           2613   7.3e-15   51.0   0.9   1   3      0.12   1.1e+02   -2.7   0.0   143   192   147   194   132   205 0.83 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 100at5820            -           2613   7.3e-15   51.0   0.9   2   3    0.0054       4.9    1.8   0.0   475   501   348   374   338   419 0.76 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 100at5820            -           2613   7.3e-15   51.0   0.9   3   3   2.7e-16   2.5e-13   46.0   0.1   735  1050   632   914   624   941 0.84 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/100at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/100at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/100at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:36 2026
# [ok]
