#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084770.1-p1      -           3060 142at5820            -           2479         0 5359.1 107.1   1   5  3.1e-269  7.5e-267  886.9   6.3     2   392    52   442    51   455 0.98 | transcript=PVX_084770.1 | gene=PVX_084770 | organism=Plasmodium_vivax_Sal-1 | gene_product=NAD(P)H-dependent glutamate synthase, putative | transcript_product=NAD(P)H-dependent glutamate synthase, putative | location=Pv_Sal1_chr13:622066-631248(+) | protein_length=3060 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101375.1-p1      -             58 142at5820            -           2479     0.024    9.5   9.1   1   1   0.00011     0.026    9.4   9.1  1422  1465    14    58    10    58 0.41 | transcript=PVX_101375.1 | gene=PVX_101375 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr14:2835429-2835762(+) | protein_length=58 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091820.1-p1      -           1497 142at5820            -           2479     0.029    9.2  10.9   1   1   0.00021      0.05    8.4  10.9  1388  1453   803   868   780   875 0.46 | transcript=PVX_091820.1 | gene=PVX_091820 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:870588-875081(-) | protein_length=1497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099590.1-p1      -            409 142at5820            -           2479      0.03    9.2   9.0   1   1   0.00017      0.04    8.7   9.0  1393  1441    66   114    50   125 0.68 | transcript=PVX_099590.1 | gene=PVX_099590 | organism=Plasmodium_vivax_Sal-1 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=Pv_Sal1_chr07:899007-900236(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 142at5820            -           2479     0.038    8.8  15.1   1   1    0.0002     0.049    8.4  15.1  1404  1442   127   166   112   248 0.56 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122270.1-p1      -            467 142at5820            -           2479     0.075    7.8   8.4   1   1   0.00043       0.1    7.4   8.4  1411  1478    72   148    52   156 0.45 | transcript=PVX_122270.1 | gene=PVX_122270 | organism=Plasmodium_vivax_Sal-1 | gene_product=tyrosine recombinase, putative | transcript_product=tyrosine recombinase, putative | location=Pv_Sal1_chr14:443954-447043(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122947.1-p1      -            244 142at5820            -           2479       0.2    6.4  20.9   1   1    0.0011      0.26    6.0  20.9  1356  1465    28   146    11   161 0.55 | transcript=PVX_122947.1 | gene=PVX_122947 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr14:1024055-1025199(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_106720-t26_1-p1  -            220 142at5820            -           2479      0.23    6.2   8.6   1   1     0.001      0.24    6.1   8.6  1406  1456    41    89    10   145 0.58 | transcript=PVX_106720-t26_1 | gene=PVX_106720 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000046:2203-2991(-) | protein_length=220 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 142at5820            -           2479      0.24    6.2  29.0   1   2   7.8e-06    0.0019   13.1   8.8  1372  1466   187   283   118   302 0.70 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 142at5820            -           2479      0.24    6.2  29.0   2   2      0.15        35   -1.0  12.2  1402  1447   408   452   357   472 0.42 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116582.1-p1      -            822 142at5820            -           2479       1.3    3.7   4.1   1   1    0.0073       1.7    3.3   4.1  1417  1453   505   538   475   554 0.47 | transcript=PVX_116582.1 | gene=PVX_116582 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr12:1103176-1105909(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 142at5820            -           2479       1.6    3.4  16.1   1   1    0.0094       2.2    2.9  16.1  1403  1441   204   242   120   261 0.55 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082765.1-p1      -            139 142at5820            -           2479       3.6    2.3  25.0   1   1     0.016       3.9    2.1  25.0  1409  1461    83   135    58   139 0.43 | transcript=PVX_082765.1 | gene=PVX_082765 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:713180-713599(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 142at5820            -           2479       8.4    1.0  19.6   1   1     0.048        12    0.6  19.6  1357  1446   226   319   221   390 0.61 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087855.1-p1      -            162 142at5820            -           2479       8.4    1.0  11.7   1   1     0.039       9.3    0.9  11.7  1405  1468     6    66     1    88 0.49 | transcript=PVX_087855.1 | gene=PVX_087855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr01:226213-226910(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084130.1-p1      -            380 142at5820            -           2479         9    0.9  21.7   1   1     0.048        11    0.6  21.7  1397  1464   185   254   152   302 0.56 | transcript=PVX_084130.1 | gene=PVX_084130 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=Pv_Sal1_chr13:30835-33108(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000920.1-p1      -           1004 142at5820            -           2479       9.5    0.9  33.3   1   1     0.059        14    0.3  33.3  1384  1449   496   561   489   572 0.49 | transcript=PVX_000920.1 | gene=PVX_000920 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:202829-206020(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 142at5820            -           2479       9.9    0.8  24.6   1   2      0.11        26   -0.6   0.2  1884  1954    81   150    69   158 0.72 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079890.1-p1      -            971 142at5820            -           2479       9.9    0.8  24.6   2   2    0.0071       1.7    3.3  19.5  1405  1475   793   862   767   867 0.47 | transcript=PVX_079890.1 | gene=PVX_079890 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=Pv_Sal1_chr10:181777-184812(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/142at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/142at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/142at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:10 2026
# [ok]
