#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092880.1-p1      -            783 4072at5820           -            548    8e-295  976.7  56.8   1   2  1.9e-172  7.6e-170  564.2  35.5     4   324   182   508   180   513 0.98 | transcript=PVX_092880.1 | gene=PVX_092880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=Pv_Sal1_chr09:1792450-1795088(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083495.1-p1      -            998 4072at5820           -            548   7.6e-34  115.3  65.0   2   2   1.5e-35   5.8e-33  112.4  14.1   339   540   769   967   763   974 0.92 | transcript=PVX_083495.1 | gene=PVX_083495 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 6, putative | transcript_product=ABC transporter B family member 6, putative | location=Pv_Sal1_chr12:75466-78462(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 4072at5820           -            548   6.5e-25   85.8  31.0   1   3   3.3e-07   0.00013   18.8  16.2    30   295   225   498   208   565 0.69 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 4072at5820           -            548   6.5e-25   85.8  31.0   2   3   3.2e-12   1.3e-09   35.3   1.9   340   439   612   713   605   757 0.87 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084521.1-p1      -            918 4072at5820           -            548   6.5e-25   85.8  31.0   3   3   7.3e-14   2.9e-11   40.7   0.2   440   545   790   893   761   896 0.90 | transcript=PVX_084521.1 | gene=PVX_084521 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=Pv_Sal1_chr13:385659-388415(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 4072at5820           -            548   1.5e-18   64.8  28.4   1   3    0.0015      0.61    6.7   9.7   144   291   254   401   203   407 0.76 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 4072at5820           -            548   1.5e-18   64.8  28.4   2   3   1.5e-14   5.9e-12   43.0   1.8   330   427   481   584   476   587 0.83 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082915.1-p1      -            815 4072at5820           -            548   1.5e-18   64.8  28.4   3   3   1.5e-09   5.9e-07   26.5   1.4   446   544   694   788   660   791 0.87 | transcript=PVX_082915.1 | gene=PVX_082915 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=Pv_Sal1_chr12:589698-592145(-) | protein_length=815 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 4072at5820           -            548   5.3e-13   46.5   0.4   1   1   3.2e-15   1.3e-12   45.2   0.4   348   527    57   235    33   256 0.84 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124085.1-p1      -           2011 4072at5820           -            548   1.4e-08   31.8   6.1   1   3     1e-08     4e-06   23.8   0.1   344   484   707   836   703   860 0.79 | transcript=PVX_124085.1 | gene=PVX_124085 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=Pv_Sal1_chr14:2042042-2048077(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124085.1-p1      -           2011 4072at5820           -            548   1.4e-08   31.8   6.1   2   3     2e-07   7.9e-05   19.5   2.7   326   411  1730  1815  1719  1865 0.81 | transcript=PVX_124085.1 | gene=PVX_124085 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=Pv_Sal1_chr14:2042042-2048077(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124085.1-p1      -           2011 4072at5820           -            548   1.4e-08   31.8   6.1   3   3      0.13        52    0.3   0.1   503   544  1947  1987  1918  1990 0.78 | transcript=PVX_124085.1 | gene=PVX_124085 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance-associated protein 2, putative | transcript_product=multidrug resistance-associated protein 2, putative | location=Pv_Sal1_chr14:2042042-2048077(-) | protein_length=2011 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 4072at5820           -            548   9.7e-08   29.1  22.2   1   5     0.029        11    2.5   0.7   341   373   194   226   172   238 0.83 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 4072at5820           -            548   9.7e-08   29.1  22.2   2   5   0.00027      0.11    9.2   0.2   463   528   360   421   351   439 0.80 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 4072at5820           -            548   9.7e-08   29.1  22.2   3   5      0.27   1.1e+02   -0.8   0.3   327   533   524   553   516   571 0.56 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 4072at5820           -            548   9.7e-08   29.1  22.2   4   5   2.1e-08   8.4e-06   22.7   1.8   337   422   584   674   580   690 0.73 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 4072at5820           -            548   9.7e-08   29.1  22.2   5   5    0.0015      0.58    6.7   0.0   466   506   696   736   687   770 0.79 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084835.1-p1      -            257 4072at5820           -            548   5.9e-07   26.5   9.0   1   1   9.8e-07   0.00039   17.2   9.0   340   526    20   190     2   210 0.76 | transcript=PVX_084835.1 | gene=PVX_084835 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=Pv_Sal1_chr13:686095-687730(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 4072at5820           -            548   1.3e-06   25.4   3.7   1   3   7.9e-05     0.031   10.9   9.2   308   434   159   277   153   301 0.80 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 4072at5820           -            548   1.3e-06   25.4   3.7   2   3   3.3e-09   1.3e-06   25.4   3.7   331   384   801   860   772   863 0.79 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123085.1-p1      -           1280 4072at5820           -            548   1.3e-06   25.4   3.7   3   3         2   7.9e+02   -3.6   4.4   132   158  1099  1126  1074  1133 0.71 | transcript=PVX_123085.1 | gene=PVX_123085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=Pv_Sal1_chr14:1119308-1123150(+) | protein_length=1280 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085775.1-p1      -            351 4072at5820           -            548   2.1e-06   24.7   2.7   1   1   4.7e-08   1.9e-05   21.6   2.7   343   542   118   325   102   330 0.72 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 4072at5820           -            548   0.00011   19.0  10.5   1   4      0.25        98   -0.6   0.1   192   233    19    62    13    87 0.80 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 4072at5820           -            548   0.00011   19.0  10.5   2   4     0.011       4.2    3.9   0.1   360   536   122   301    95   309 0.74 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 4072at5820           -            548   0.00011   19.0  10.5   3   4    0.0018      0.73    6.4   0.1   342   404   375   439   328   456 0.65 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115370.1-p1      -            619 4072at5820           -            548   0.00011   19.0  10.5   4   4   1.7e-05    0.0068   13.1   0.3   456   538   471   554   461   561 0.79 | transcript=PVX_115370.1 | gene=PVX_115370 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=Pv_Sal1_chr11:118743-120731(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4072at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:03 2026
# [ok]
