#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099025.1-p1      -            910 2619at5820           -            622         0 1219.3  32.5   1   3  1.3e-170    4e-168  558.9  11.0     1   281   188   469   188   498 0.96 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 2619at5820           -            622     3e-27   93.5   2.6   1   3   9.8e-30     3e-27   93.5   2.6     2   148   107   253   106   305 0.83 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 2619at5820           -            622     3e-27   93.5   2.6   2   3     0.096        30    1.1   1.5   199   254   381   441   367   556 0.71 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 2619at5820           -            622     3e-27   93.5   2.6   3   3       1.3     4e+02   -2.7   0.6   172   273   592   698   567   752 0.52 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2619at5820           -            622   8.6e-26   88.7   1.8   1   3   2.8e-28   8.6e-26   88.7   1.8     3   142    24   165    22   188 0.88 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2619at5820           -            622   8.6e-26   88.7   1.8   2   3      0.22        66   -0.1   0.1   198   231   463   496   446   518 0.82 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2619at5820           -            622   8.6e-26   88.7   1.8   3   3     0.042        13    2.3   1.0   296   391   647   741   622   756 0.75 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 2619at5820           -            622     2e-24   84.2   2.0   1   2   4.2e-25   1.3e-22   78.2   0.1     2   163    17   189    16   197 0.90 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 2619at5820           -            622     2e-24   84.2   2.0   2   2    0.0048       1.5    5.4   0.1   284   384   464   560   418   581 0.69 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2619at5820           -            622   3.3e-20   70.3  25.6   1   5   1.9e-09   5.8e-07   26.5   0.5     2    62    11    72    10    85 0.87 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2619at5820           -            622   3.3e-20   70.3  25.6   2   5   2.8e-17   8.5e-15   52.4   2.0    64   155   172   260   166   284 0.83 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2619at5820           -            622   3.3e-20   70.3  25.6   3   5      0.66     2e+02   -1.7   0.5   125   158   317   352   306   385 0.81 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2619at5820           -            622   3.3e-20   70.3  25.6   4   5      0.25        77   -0.3   0.3   358   419  1128  1188  1108  1199 0.77 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2619at5820           -            622   3.3e-20   70.3  25.6   5   5    0.0029      0.89    6.1   0.1   396   473  1221  1298  1213  1324 0.83 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 2619at5820           -            622   1.5e-15   54.9   2.1   1   2     8e-18   2.5e-15   54.2   1.0    45   144   793   895   766   935 0.86 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 2619at5820           -            622   1.5e-15   54.9   2.1   2   2       1.4   4.4e+02   -2.8   0.0   187   219   976  1007   966  1019 0.82 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 2619at5820           -            622   1.8e-15   54.6  12.9   1   3   8.3e-05     0.025   11.2   0.1     2    37   181   216   180   225 0.88 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 2619at5820           -            622   1.8e-15   54.6  12.9   2   3   5.4e-15   1.7e-12   44.8   7.5    51   195   309   453   296   461 0.93 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 2619at5820           -            622   1.8e-15   54.6  12.9   3   3      0.32        97   -0.6   0.0   296   332   456   493   453   496 0.86 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 2619at5820           -            622   1.5e-10   38.4   0.2   1   1   6.7e-13   2.1e-10   37.9   0.2     6   131    74   201    69   238 0.86 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 2619at5820           -            622   2.6e-10   37.6   0.4   1   2   8.5e-13   2.6e-10   37.6   0.4     7   130   425   549   420   576 0.76 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 2619at5820           -            622   2.6e-10   37.6   0.4   2   2     0.036        11    2.5   1.2   186   250   884   946   801   981 0.84 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 2619at5820           -            622   3.6e-09   33.8   0.1   1   1   1.9e-11     6e-09   33.1   0.1     5   140     8   170     4   200 0.63 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 2619at5820           -            622   3.6e-09   33.8   0.1   1   1   1.9e-11     6e-09   33.1   0.1     5   140     8   170     4   200 0.63 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089010.1-p1      -           1164 2619at5820           -            622   8.5e-08   29.3   3.4   1   2       2.1   6.4e+02   -3.3   0.0   138   168    33    63    22    74 0.85 | transcript=PVX_089010.1 | gene=PVX_089010 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr05:219826-223320(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089010.1-p1      -           1164 2619at5820           -            622   8.5e-08   29.3   3.4   2   2     1e-09   3.1e-07   27.4   2.0     8   174   594   752   587   808 0.73 | transcript=PVX_089010.1 | gene=PVX_089010 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr05:219826-223320(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 2619at5820           -            622   1.6e-06   25.1   1.1   1   2     0.063        19    1.7   0.0     6    36     5    35     2    50 0.72 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 2619at5820           -            622   1.6e-06   25.1   1.1   2   2   5.3e-08   1.6e-05   21.7   0.4    69   131   128   190   123   209 0.91 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 2619at5820           -            622   3.2e-05   20.8   0.9   1   2   1.5e-07   4.7e-05   20.2   0.1     6   145   113   276   109   290 0.72 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 2619at5820           -            622   3.2e-05   20.8   0.9   2   2         1   3.2e+02   -2.3   0.1    17    42   474   499   462   514 0.52 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122360.1-p1      -            205 2619at5820           -            622    0.0024   14.6   0.0   1   1   9.1e-06    0.0028   14.4   0.0    92   183   108   200    75   204 0.74 | transcript=PVX_122360.1 | gene=PVX_122360 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=Pv_Sal1_chr14:513238-514728(-) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092850.1-p1      -            207 2619at5820           -            622    0.0029   14.3   0.1   1   1     1e-05    0.0032   14.2   0.1    69   185    63   182    24   192 0.73 | transcript=PVX_092850.1 | gene=PVX_092850 | organism=Plasmodium_vivax_Sal-1 | gene_product=ras-related protein Rab-6, putative | transcript_product=ras-related protein Rab-6, putative | location=Pv_Sal1_chr09:1759154-1760586(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2619at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2619at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2619at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:54 2026
# [ok]
