#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092125.1-p1      -            441 6608at5820           -            402  1.6e-275  911.6   5.1   1   1  7.4e-278  1.9e-275  911.3   5.1     1   402    22   441    22   441 0.99 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6608at5820           -            402   1.4e-66  223.5   1.9   3   4   5.2e-45   1.4e-42  144.5   0.0   142   331   772   958   761   972 0.94 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6608at5820           -            402   1.4e-66  223.5   1.9   4   4    0.0037      0.96    6.7   0.0   347   376  1103  1132  1090  1142 0.80 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 6608at5820           -            402   2.3e-55  186.6   0.1   1   1   1.5e-57   3.8e-55  185.8   0.1   148   376   160   390   155   407 0.93 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 6608at5820           -            402   4.1e-54  182.4   0.6   1   1   2.9e-56   7.7e-54  181.6   0.6   141   384   242   481   224   499 0.90 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 6608at5820           -            402   1.7e-53  180.5   0.2   1   2    0.0003     0.078   10.3   0.0   162   261   223   322   200   393 0.81 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 6608at5820           -            402   1.7e-53  180.5   0.2   2   2     5e-52   1.3e-49  167.6   0.2   121   379   545   801   534   809 0.94 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 6608at5820           -            402   8.5e-48  161.7   0.1   1   1   5.8e-50   1.5e-47  160.8   0.1   146   390   399   650   382   664 0.86 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 6608at5820           -            402   1.6e-35  121.2   0.0   1   2     5e-36   1.3e-33  114.9   0.1   151   372   256   491   235   510 0.83 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 6608at5820           -            402   1.6e-35  121.2   0.0   2   2     0.025       6.6    3.9   0.0   185   219   572   606   555   651 0.82 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 6608at5820           -            402   2.9e-33  113.8   0.0   1   2   2.4e-35   6.3e-33  112.7   0.0   142   330   111   294    94   298 0.88 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 6608at5820           -            402   2.9e-33  113.8   0.0   2   2       3.5   9.3e+02   -3.1   0.0   347   369   329   351   323   356 0.80 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 6608at5820           -            402   2.3e-25   87.8   0.0   1   1   1.5e-27   3.8e-25   87.1   0.0   148   364   423   639   393   649 0.78 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 6608at5820           -            402   6.2e-21   73.2   0.0   1   2   8.6e-17   2.3e-14   51.6   0.0   165   280   576   693   556   706 0.79 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 6608at5820           -            402   6.2e-21   73.2   0.0   2   2   5.9e-07   0.00016   19.2   0.0   279   332   780   833   760   840 0.82 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 6608at5820           -            402   4.2e-09   34.2   0.0   1   1   4.1e-11   1.1e-08   32.9   0.0   184   329   344   487   336   556 0.74 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 6608at5820           -            402   5.6e-09   33.8   0.0   1   1   3.5e-11   9.2e-09   33.1   0.0   181   341   744   919   740   949 0.73 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 6608at5820           -            402   9.4e-09   33.1   0.0   1   1   5.7e-11   1.5e-08   32.4   0.0   159   329   320   507   313   521 0.78 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 6608at5820           -            402   2.6e-06   25.1   0.0   1   2    0.0022      0.59    7.4   0.0   175   205   246   276   226   293 0.77 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 6608at5820           -            402   2.6e-06   25.1   0.0   2   2   8.3e-06    0.0022   15.4   0.0   275   324   368   417   358   443 0.86 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6608at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6608at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6608at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:43 2026
# [ok]
