#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117215.1-p1      -            702 3507at5820           -            595         0 1300.5  28.7   1   2   2.2e-40   5.5e-38  129.0   8.8     9    79    42   117    36   124 0.93 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122410.1-p1      -            420 3507at5820           -            595   2.1e-56  189.8   0.0   1   1   1.3e-58   3.4e-56  189.1   0.0   136   386   155   409   146   415 0.93 | transcript=PVX_122410.1 | gene=PVX_122410 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=Pv_Sal1_chr14:539131-540623(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122155.1-p1      -            393 3507at5820           -            595   2.3e-54  183.1   0.1   1   1   1.4e-56   3.6e-54  182.5   0.1   138   356   132   354   115   367 0.94 | transcript=PVX_122155.1 | gene=PVX_122155 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 10B, putative | transcript_product=26S protease regulatory subunit 10B, putative | location=Pv_Sal1_chr14:332284-333465(-) | protein_length=393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 3507at5820           -            595   3.9e-54  182.3   0.3   1   1   2.3e-56   5.9e-54  181.7   0.3   133   381   157   409   149   417 0.93 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092125.1-p1      -            441 3507at5820           -            595   1.4e-53  180.5   0.1   1   1   9.9e-56   2.5e-53  179.7   0.1   140   369   185   418   172   438 0.89 | transcript=PVX_092125.1 | gene=PVX_092125 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 6a, putative | transcript_product=26S protease regulatory subunit 6a, putative | location=Pv_Sal1_chr09:1109116-1110441(+) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 3507at5820           -            595   2.3e-53  179.8   1.4   1   2   2.5e-08   6.2e-06   23.1   0.0   177   347   243   403   201   423 0.73 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 3507at5820           -            595   2.3e-53  179.8   1.4   2   2   3.2e-48     8e-46  154.9   0.9   132   370   564   802   542   812 0.88 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094615.1-p1      -            447 3507at5820           -            595   7.7e-52  174.8   0.1   1   1   4.2e-54   1.1e-51  174.3   0.1   141   368   190   421   155   442 0.89 | transcript=PVX_094615.1 | gene=PVX_094615 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 4, putative | transcript_product=26S protease regulatory subunit 4, putative | location=Pv_Sal1_chr08:393308-394940(-) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089640.1-p1      -            392 3507at5820           -            595   2.7e-50  169.7   0.1   1   1   1.8e-52   4.6e-50  168.9   0.1   136   379   131   378    97   387 0.93 | transcript=PVX_089640.1 | gene=PVX_089640 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S proteasome AAA-ATPase subunit RPT3, putative | transcript_product=26S proteasome AAA-ATPase subunit RPT3, putative | location=Pv_Sal1_chr05:716662-718025(-) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 3507at5820           -            595   8.5e-34  115.2   0.8   1   1   4.8e-36   1.2e-33  114.7   0.8    54   324    30   298     7   299 0.78 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 3507at5820           -            595   2.4e-30  103.8   0.3   1   2   8.8e-28   2.2e-25   87.4   0.1   169   353   282   482   238   501 0.85 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 3507at5820           -            595   2.4e-30  103.8   0.3   2   2   1.2e-05     0.003   14.3   0.0   178   291   572   687   556   715 0.82 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 3507at5820           -            595   8.3e-28   95.4   0.2   1   2       4.6   1.2e+03   -4.2   0.0   155   175    74    94    71    97 0.87 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 3507at5820           -            595   8.3e-28   95.4   0.2   2   2   6.4e-30   1.6e-27   94.4   0.1   137   325   418   606   397   639 0.87 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 3507at5820           -            595   4.6e-27   92.9   0.0   1   2   1.8e-24   4.5e-22   76.5   0.0   141   275   559   702   550   711 0.84 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 3507at5820           -            595   4.6e-27   92.9   0.0   2   2   1.4e-05    0.0035   14.1   0.0   275   325   786   836   769   843 0.86 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 3507at5820           -            595     9e-15   52.3   0.1   1   1   3.6e-17     9e-15   52.3   0.1   152   357   319   538   311   557 0.71 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 3507at5820           -            595     7e-06   23.0   0.0   1   1   4.5e-08   1.1e-05   22.3   0.0   164   321   333   509   294   521 0.71 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 3507at5820           -            595   1.5e-05   21.9   0.0   1   1   8.9e-08   2.2e-05   21.3   0.0   174   253   744   825   740   855 0.86 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 3507at5820           -            595   1.5e-05   21.9   0.0   1   2     0.006       1.5    5.4   0.0   155   201   233   279   225   297 0.85 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 3507at5820           -            595   1.5e-05   21.9   0.0   2   2   1.4e-05    0.0035   14.1   0.0   262   322   365   422   349   433 0.87 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115065.1-p1      -            483 3507at5820           -            595    0.0002   18.2   0.8   1   1   1.6e-06   0.00041   17.1   0.1   172   213    59   102    52   117 0.82 | transcript=PVX_115065.1 | gene=PVX_115065 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=Pv_Sal1_chr11:350090-351541(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3507at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3507at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3507at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:07 2026
# [ok]
