#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082505.1-p1      -            482 5740at5820           -            398  1.2e-190  632.0  45.8   1   1  2.9e-193  1.8e-190  631.5  45.8    10   380    24   414    20   425 0.94 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 5740at5820           -            398   1.5e-51  174.0  50.3   1   2   1.3e-33     8e-31  105.8  30.0    60   269   201   411   193   413 0.88 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 5740at5820           -            398   1.5e-51  174.0  50.3   2   2   3.5e-26   2.1e-23   81.3  12.9   202   317   405   520   403   528 0.92 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 5740at5820           -            398   3.1e-45  153.2  23.7   1   2   8.5e-34   5.2e-31  106.4  16.7    68   272    32   231    26   236 0.92 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085080.1-p1      -            378 5740at5820           -            398   3.1e-45  153.2  23.7   2   2   4.3e-17   2.6e-14   51.4   0.6   212   313   237   340   234   348 0.87 | transcript=PVX_085080.1 | gene=PVX_085080 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr13:890378-893882(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 5740at5820           -            398   2.5e-40  137.1  34.8   1   3      0.74   4.5e+02   -2.1   0.2   102   150    72   123    68   130 0.66 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 5740at5820           -            398   2.5e-40  137.1  34.8   2   3   4.2e-36   2.6e-33  114.0  20.5    59   334   191   489   161   492 0.84 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 5740at5820           -            398   2.5e-40  137.1  34.8   3   3   7.8e-13   4.8e-10   37.4   6.3   225   315   440   535   438   557 0.86 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079725.1-p1      -            250 5740at5820           -            398   5.9e-20   70.0  11.7   1   1   1.4e-22   8.6e-20   69.5  11.7   133   266    95   230    90   236 0.90 | transcript=PVX_079725.1 | gene=PVX_079725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:47034-49161(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 5740at5820           -            398   2.8e-16   57.9   5.1   1   2   2.4e-12   1.5e-09   35.7   0.9    57   128   116   188    99   194 0.88 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 5740at5820           -            398   2.8e-16   57.9   5.1   2   2   1.1e-08   6.5e-06   23.8   0.2    76   125   197   246   193   249 0.96 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114330.1-p1      -            185 5740at5820           -            398   8.5e-09   33.3   7.4   1   2      0.51   3.1e+02   -1.5   0.0   306   328    21    43    17    67 0.67 | transcript=PVX_114330.1 | gene=PVX_114330 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:1060347-1062112(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114330.1-p1      -            185 5740at5820           -            398   8.5e-09   33.3   7.4   2   2   1.4e-11   8.5e-09   33.3   7.4    50   146    73   173    57   179 0.74 | transcript=PVX_114330.1 | gene=PVX_114330 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:1060347-1062112(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5740at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5740at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5740at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:07 2026
# [ok]
