#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002700.1-p1      -            862 3691at5820           -            651         0 1175.5 104.2   1   3  1.1e-180    2e-177  590.2  36.7     1   286     1   289     1   296 0.99 | transcript=PVX_002700.1 | gene=PVX_002700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:196220-198808(+) | protein_length=862 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099640.1-p1      -           1239 3691at5820           -            651   0.00072   16.8   4.3   4   5   0.00031      0.57    7.2   3.5   327   378   818   871   765   879 0.74 | transcript=PVX_099640.1 | gene=PVX_099640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:933425-937628(-) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099640.1-p1      -           1239 3691at5820           -            651   0.00072   16.8   4.3   5   5         3   5.5e+03  -14.7  32.2   528   626  1090  1195   965  1202 0.86 | transcript=PVX_099640.1 | gene=PVX_099640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:933425-937628(-) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3691at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3691at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3691at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:18 2026
# [ok]
