#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095355.1-p1      -           1377 1563at5820           -            937         0 1359.4  95.0   1   6  1.3e-115  7.3e-113  376.7  14.7     1   168    10   179    10   183 0.98 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1563at5820           -            937   1.1e-42  144.4  17.4   1   5   5.8e-08   3.2e-05   20.5   0.3    55   112    94   151    69   154 0.91 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1563at5820           -            937   1.1e-42  144.4  17.4   2   5   2.8e-43   1.6e-40  137.3  11.6   165   461   188   506   181   512 0.87 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1563at5820           -            937   1.1e-42  144.4  17.4   3   5     0.052        29    0.8   2.6   668   718   849   891   841   901 0.66 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1563at5820           -            937   1.1e-42  144.4  17.4   4   5        10   5.5e+03  -12.8  34.6   613   875  1096  1356   987  1418 0.57 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 1563at5820           -            937   1.1e-42  144.4  17.4   5   5        10   5.5e+03   -9.5   8.4   384   459  1538  1619  1534  1661 0.66 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1563at5820           -            937   9.2e-42  141.4  34.3   1   7     5e-35   2.8e-32  110.0  27.7    18   324   112   431    93   435 0.75 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1563at5820           -            937   9.2e-42  141.4  34.3   2   7     2e-15   1.1e-12   45.2   0.5   330   399   516   587   513   618 0.81 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1563at5820           -            937   9.2e-42  141.4  34.3   3   7      0.32   1.8e+02   -1.9   0.2   585   623   651   690   638   701 0.74 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1563at5820           -            937   9.2e-42  141.4  34.3   4   7      0.56   3.1e+02   -2.7   0.6   546   593   791   840   779   850 0.42 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1563at5820           -            937   9.2e-42  141.4  34.3   5   7       2.1   1.2e+03   -4.6   3.2   774   823   946   996   917  1035 0.46 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1563at5820           -            937   9.2e-42  141.4  34.3   6   7      0.23   1.3e+02   -1.4   0.6   173   240  1195  1262  1183  1268 0.77 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1563at5820           -            937   9.2e-42  141.4  34.3   7   7       1.2   6.6e+02   -3.7   5.2   756   828  1374  1446  1359  1475 0.71 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1563at5820           -            937     9e-38  128.2  26.0   1   3   5.5e-14   3.1e-11   40.4   1.7     8   112    35   145    29   147 0.75 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1563at5820           -            937     9e-38  128.2  26.0   2   3     2e-32   1.1e-29  101.4   3.6   175   384   179   375   149   383 0.89 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1563at5820           -            937     9e-38  128.2  26.0   3   3      0.51   2.8e+02   -2.5   5.3   514   566   936   989   888  1080 0.53 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 1563at5820           -            937   7.6e-35  118.5  17.0   1   2   3.4e-09   1.9e-06   24.6   0.6    15   123   261   367   250   374 0.79 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 1563at5820           -            937   7.6e-35  118.5  17.0   2   2   2.3e-31   1.3e-28   97.9  10.0   166   382   641   853   634   874 0.92 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1563at5820           -            937   7.7e-29   98.6  48.3   1   7   2.4e-10   1.3e-07   28.4   8.6     5   112   153   268   150   280 0.71 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1563at5820           -            937   7.7e-29   98.6  48.3   2   7   6.9e-08   3.8e-05   20.2  14.3   166   266   293   411   275   421 0.68 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1563at5820           -            937   7.7e-29   98.6  48.3   3   7   4.8e-27   2.6e-24   83.6   9.4   279   459   502   680   487   684 0.83 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1563at5820           -            937   7.7e-29   98.6  48.3   4   7      0.47   2.6e+02   -2.4   4.0   509   577  1003  1073   991  1080 0.75 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1563at5820           -            937   7.7e-29   98.6  48.3   5   7        10   5.5e+03  -13.1  34.9   774   936  1398  1560  1390  1572 0.60 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1563at5820           -            937   7.7e-29   98.6  48.3   6   7       4.7   2.6e+03   -5.7   5.3   422   485  1695  1757  1689  1760 0.66 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1563at5820           -            937   7.7e-29   98.6  48.3   7   7      0.39   2.2e+02   -2.1   3.2   656   735  1858  1938  1854  2067 0.71 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1563at5820           -            937   2.4e-16   57.3  52.1   1   5   6.6e-11   3.7e-08   30.2   3.4    16   113     5   108     2   126 0.84 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1563at5820           -            937   2.4e-16   57.3  52.1   2   5   8.8e-08   4.9e-05   19.9  11.3   174   325   138   293   129   306 0.78 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1563at5820           -            937   2.4e-16   57.3  52.1   3   5   3.5e-11     2e-08   31.1   0.3   329   388   321   380   314   390 0.91 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1563at5820           -            937   2.4e-16   57.3  52.1   4   5      0.62   3.4e+02   -2.8   7.4   777   831   462   521   411   536 0.53 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1563at5820           -            937   2.4e-16   57.3  52.1   5   5     0.069        38    0.4   1.0   682   751   682   752   669   784 0.65 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 1563at5820           -            937   2.5e-12   44.0  17.2   1   3   1.2e-10   6.9e-08   29.3   0.1    19   112    75   162    67   176 0.80 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 1563at5820           -            937   2.5e-12   44.0  17.2   2   3   7.8e-09   4.3e-06   23.3   5.5   176   383   190   399   185   414 0.72 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 1563at5820           -            937   2.5e-12   44.0  17.2   3   3      0.69   3.8e+02   -3.0   0.9   517   579   459   523   455   553 0.70 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1563at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1563at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1563at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:29 2026
# [ok]
