#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092155.1-p1      -            156 14831at5820          -            106   9.8e-38  126.9  11.0   1   2   6.2e-40   9.8e-38  126.9  11.0     1   101     1   112     1   117 0.79 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099915.1-p1      -            287 14831at5820          -            106   1.1e-10   40.0  12.4   2   2   5.4e-05    0.0086   14.6   0.4     3    69   209   280   207   285 0.86 | transcript=PVX_099915.1 | gene=PVX_099915 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:1115133-1116820(+) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 14831at5820          -            106   2.4e-07   29.2   0.7   1   2    0.0066         1    7.8   0.1     6   100    23   123    19   130 0.77 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 14831at5820          -            106   2.4e-07   29.2   0.7   2   2   1.4e-06   0.00022   19.7   0.1     4    75   172   248   168   250 0.81 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096150.1-p1      -           1367 14831at5820          -            106   2.4e-07   29.2   2.4   1   2   7.9e-05     0.013   14.0   0.1     7    76   168   236   163   251 0.87 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096150.1-p1      -           1367 14831at5820          -            106   2.4e-07   29.2   2.4   2   2   3.7e-08   5.8e-06   24.7   0.3     3    76   920   997   918  1026 0.81 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101300.1-p1      -            390 14831at5820          -            106   5.6e-07   28.0   0.5   1   1     1e-08   1.6e-06   26.5   0.3     4    72   224   293   221   300 0.90 | transcript=PVX_101300.1 | gene=PVX_101300 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:2777209-2778381(+) | protein_length=390 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14831at5820          -            106   1.1e-06   27.1   0.2   1   3    0.0092       1.5    7.4   0.0     7    40    91   124    87   146 0.85 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14831at5820          -            106   1.1e-06   27.1   0.2   2   3   0.00091      0.14   10.6   0.0     5    62   188   251   184   279 0.76 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 14831at5820          -            106   1.1e-06   27.1   0.2   3   3      0.06       9.5    4.8   0.1     6    84   374   456   371   478 0.63 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 14831at5820          -            106   1.6e-06   26.5   0.2   1   1   1.3e-08     2e-06   26.2   0.2     5    83    15    96    12   110 0.78 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 14831at5820          -            106     2e-06   26.2  11.4   1   3    0.0008      0.13   10.8   0.0     6    39    88   121    85   154 0.86 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 14831at5820          -            106     2e-06   26.2  11.4   2   3    0.0017      0.27    9.7   1.6     3    83   183   271   181   306 0.77 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085960.1-p1      -            507 14831at5820          -            106     2e-06   26.2  11.4   3   3    0.0015      0.23    9.9   0.4     6    82   400   482   396   503 0.70 | transcript=PVX_085960.1 | gene=PVX_085960 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=Pv_Sal1_chr13:1680355-1681878(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 14831at5820          -            106   2.2e-06   26.1   0.0   1   4   1.4e-08   2.2e-06   26.1   0.0     4    86     6    94     1   112 0.85 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 14831at5820          -            106   2.2e-06   26.1   0.0   2   4       8.1   1.3e+03   -2.1   0.7    76    97   244   265   225   276 0.66 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 14831at5820          -            106   2.2e-06   26.1   0.0   3   4       6.9   1.1e+03   -1.9   2.3    80   104   651   675   631   680 0.47 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 14831at5820          -            106   2.2e-06   26.1   0.0   4   4       7.7   1.2e+03   -2.0   0.5    70    99   979  1008   964  1029 0.60 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122855.1-p1      -            124 14831at5820          -            106   2.8e-06   25.8   2.6   1   1   2.4e-08   3.8e-06   25.4   2.6     4    81     8    91     4   114 0.81 | transcript=PVX_122855.1 | gene=PVX_122855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:927195-928065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 14831at5820          -            106   6.5e-06   24.6   0.3   1   1   1.1e-07   1.8e-05   23.2   0.3     6    89    31   120    27   126 0.87 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 14831at5820          -            106   6.8e-06   24.5  14.7   1   3   5.8e-06   0.00092   17.7   2.2     3    96   226   326   225   341 0.77 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 14831at5820          -            106   6.8e-06   24.5  14.7   2   3       6.6     1e+03   -1.8   1.8    59    86   371   398   329   411 0.56 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 14831at5820          -            106   6.8e-06   24.5  14.7   3   3   3.9e-05    0.0061   15.0   0.1     5    74   434   503   430   505 0.93 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 14831at5820          -            106   7.7e-06   24.3   1.6   1   2   1.6e-05    0.0025   16.3   1.4     3    83     9    96     8   118 0.76 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086965.1-p1      -            192 14831at5820          -            106   7.7e-06   24.3   1.6   2   2     0.018       2.9    6.4   0.0     5    55   121   171   117   179 0.91 | transcript=PVX_086965.1 | gene=PVX_086965 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=Pv_Sal1_chr07:1323207-1323785(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 14831at5820          -            106   2.3e-05   22.8   8.8   1   4      0.46        72    1.9   0.1    11    75   216   282   203   297 0.59 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 14831at5820          -            106   2.3e-05   22.8   8.8   2   4    0.0053      0.83    8.2   0.2     7    96   406   499   401   507 0.73 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 14831at5820          -            106   2.3e-05   22.8   8.8   3   4      0.14        23    3.5   0.0     6    75   552   623   548   651 0.75 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 14831at5820          -            106   2.3e-05   22.8   8.8   4   4   0.00059     0.093   11.2   0.1     4    60   668   727   666   746 0.75 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086130.1-p1      -            119 14831at5820          -            106   2.4e-05   22.8   0.6   1   2       5.8   9.1e+02   -1.6   0.3    96   102     6    12     2    21 0.51 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086130.1-p1      -            119 14831at5820          -            106   2.4e-05   22.8   0.6   2   2   1.5e-07   2.4e-05   22.8   0.6     6    73    37   110    32   119 0.79 | transcript=PVX_086130.1 | gene=PVX_086130 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr13:1857415-1858143(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113920.1-p1      -            153 14831at5820          -            106   2.9e-05   22.5   2.2   1   1   1.8e-07   2.9e-05   22.5   2.2     6    80    63   142    57   151 0.76 | transcript=PVX_113920.1 | gene=PVX_113920 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA and export factor binding protein, putative | transcript_product=RNA and export factor binding protein, putative | location=Pv_Sal1_chr11:1385500-1386942(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 14831at5820          -            106     3e-05   22.4   0.2   1   1   1.9e-07     3e-05   22.4   0.2     4    82    90   173    86   189 0.81 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 14831at5820          -            106   5.8e-05   21.5   2.1   1   2   3.6e-07   5.8e-05   21.5   2.1     5    82     9    91     6   105 0.84 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091625.1-p1      -            208 14831at5820          -            106   5.8e-05   21.5   2.1   2   2       6.7   1.1e+03   -1.8   0.0    13    42   130   159   121   166 0.71 | transcript=PVX_091625.1 | gene=PVX_091625 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing factor ASF-1, putative | transcript_product=alternative splicing factor ASF-1, putative | location=Pv_Sal1_chr09:657690-658316(-) | protein_length=208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097740.1-p1      -            328 14831at5820          -            106   9.9e-05   20.8   0.0   1   3   6.2e-07   9.9e-05   20.8   0.0     5    78    13    92    10   104 0.80 | transcript=PVX_097740.1 | gene=PVX_097740 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=Pv_Sal1_chr10:1206068-1207054(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097740.1-p1      -            328 14831at5820          -            106   9.9e-05   20.8   0.0   2   3       4.3   6.8e+02   -1.2   1.5    72   101   116   146   103   153 0.69 | transcript=PVX_097740.1 | gene=PVX_097740 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=Pv_Sal1_chr10:1206068-1207054(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097740.1-p1      -            328 14831at5820          -            106   9.9e-05   20.8   0.0   3   3       6.8   1.1e+03   -1.8   2.9    71    91   204   222   194   243 0.60 | transcript=PVX_097740.1 | gene=PVX_097740 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/arginine-rich splicing factor 12, putative | transcript_product=serine/arginine-rich splicing factor 12, putative | location=Pv_Sal1_chr10:1206068-1207054(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086295.1-p1      -            661 14831at5820          -            106   0.00016   20.1   0.5   1   2       9.2   1.4e+03   -2.3   0.8    73    86    83    98    79   119 0.55 | transcript=PVX_086295.1 | gene=PVX_086295 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=Pv_Sal1_chr13:1987472-1990898(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086295.1-p1      -            661 14831at5820          -            106   0.00016   20.1   0.5   2   2     1e-06   0.00016   20.1   0.5     5    76   167   247   164   278 0.79 | transcript=PVX_086295.1 | gene=PVX_086295 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 snRNP-associated SURP motif-containing protein, putative | transcript_product=U2 snRNP-associated SURP motif-containing protein, putative | location=Pv_Sal1_chr13:1987472-1990898(+) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 14831at5820          -            106   0.00051   18.5   2.3   1   2      0.09        14    4.2   0.1     4    37     9    42     6    68 0.76 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113475.1-p1      -            611 14831at5820          -            106   0.00051   18.5   2.3   2   2   3.2e-06   0.00051   18.5   2.3     4   100   166   265   163   270 0.84 | transcript=PVX_113475.1 | gene=PVX_113475 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:1775380-1777794(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119265.1-p1      -            517 14831at5820          -            106   0.00053   18.4   2.4   1   2   0.00045     0.071   11.6   0.3    17    64    94   141    77   159 0.86 | transcript=PVX_119265.1 | gene=PVX_119265 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1611423-1613134(+) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119265.1-p1      -            517 14831at5820          -            106   0.00053   18.4   2.4   2   2     0.032       5.1    5.6   0.1    64   101   425   463   413   500 0.83 | transcript=PVX_119265.1 | gene=PVX_119265 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1611423-1613134(+) | protein_length=517 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123535.1-p1      -           1127 14831at5820          -            106   0.00098   17.6   0.4   1   6       4.7   7.4e+02   -1.3   1.2    45    83    50    87    35    97 0.63 | transcript=PVX_123535.1 | gene=PVX_123535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:1501610-1504993(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
