#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083155.1-p1      -            157 13591at5820          -            132   1.8e-71  237.0   0.7   1   1   5.4e-74   2.5e-71  236.5   0.7     2   132    13   157    12   157 0.92 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122745.1-p1      -            550 13591at5820          -            132   2.8e-06   26.1   1.5   2   2       2.4   1.1e+03   -1.7   0.0    22    45   295   318   278   320 0.76 | transcript=PVX_122745.1 | gene=PVX_122745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:832429-834081(+) | protein_length=550 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099690.1-p1      -            133 13591at5820          -            132   5.8e-06   25.0   0.0   1   1   1.9e-08   8.8e-06   24.5   0.0    45   114    41   109    18   121 0.86 | transcript=PVX_099690.1 | gene=PVX_099690 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=Pv_Sal1_chr07:968851-970052(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119305.1-p1      -            179 13591at5820          -            132   5.5e-05   21.9   6.5   1   1   6.3e-05     0.029   13.1   6.5    26   114    29   138    13   160 0.64 | transcript=PVX_119305.1 | gene=PVX_119305 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like redox-active protein, putative | transcript_product=thioredoxin-like redox-active protein, putative | location=Pv_Sal1_chr08:1570027-1570566(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117357.1-p1      -            121 13591at5820          -            132   0.00045   18.9   1.5   1   1   1.1e-06   0.00051   18.7   1.5    24   116     7   100     2   115 0.71 | transcript=PVX_117357.1 | gene=PVX_117357 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=Pv_Sal1_chr12:1822980-1823345(+) | protein_length=121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 13591at5820          -            132    0.0031   16.2   0.4   1   3       1.5   6.7e+02   -1.1   0.1    29    62    43    76    29   110 0.57 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 13591at5820          -            132    0.0031   16.2   0.4   2   3   6.8e-06    0.0031   16.2   0.4    67   112   193   237   186   255 0.82 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 13591at5820          -            132    0.0031   16.2   0.4   3   3      0.58   2.7e+02    0.2   0.0    80   107   342   369   327   396 0.78 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13591at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13591at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13591at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:30:46 2026
# [ok]
