#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111500.1-p1      -            181 13164at5820          -            130   3.7e-74  245.5   3.0   1   1   1.5e-76   4.9e-74  245.1   3.0     8   130    57   181    53   181 0.97 | transcript=PVX_111500.1 | gene=PVX_111500 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr06:419973-420518(-) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 13164at5820          -            130   1.5e-07   30.1   4.5   4   4    0.0033       1.1    7.9   0.1    21    94   443   515   428   524 0.78 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 13164at5820          -            130     5e-06   25.2   0.1   1   3    0.0002     0.064   11.9   0.0    34    91    95   152    86   159 0.90 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 13164at5820          -            130     5e-06   25.2   0.1   2   3    0.0017      0.54    8.9   0.0    21    91   181   251   170   263 0.83 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114940.1-p1      -            513 13164at5820          -            130     5e-06   25.2   0.1   3   3       1.1   3.5e+02   -0.2   0.0    67    92   412   437   389   466 0.81 | transcript=PVX_114940.1 | gene=PVX_114940 | organism=Plasmodium_vivax_Sal-1 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=Pv_Sal1_chr11:494941-496663(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 13164at5820          -            130   1.3e-05   23.9   0.1   1   1   4.5e-08   1.5e-05   23.7   0.1    29   105    16    90     4   104 0.86 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 13164at5820          -            130   2.2e-05   23.1   0.0   1   2   4.2e-05     0.014   14.1   0.0    27    93     7    72     2    98 0.83 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 13164at5820          -            130   2.2e-05   23.1   0.0   2   2    0.0064       2.1    7.0   0.0    34   100   162   227   156   239 0.84 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114975.1-p1      -            181 13164at5820          -            130   0.00029   19.5   0.6   1   1   1.4e-06   0.00047   18.8   0.3    33   100    56   123    43   149 0.87 | transcript=PVX_114975.1 | gene=PVX_114975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr11:447877-449199(+) | protein_length=181 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099605.1-p1      -            202 13164at5820          -            130   0.00037   19.1   0.0   1   2       4.5   1.5e+03   -2.2   0.0    33    51    18    36     5    47 0.69 | transcript=PVX_099605.1 | gene=PVX_099605 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:907263-908738(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099605.1-p1      -            202 13164at5820          -            130   0.00037   19.1   0.0   2   2   2.7e-06   0.00089   17.9   0.0    15   100    59   143    48   149 0.88 | transcript=PVX_099605.1 | gene=PVX_099605 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr07:907263-908738(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 13164at5820          -            130   0.00049   18.7   7.1   1   3    0.0018      0.59    8.8   0.2    19    57   200   239   184   272 0.63 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 13164at5820          -            130   0.00049   18.7   7.1   2   3     0.013       4.2    6.0   0.2    58   111   431   484   393   494 0.84 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 13164at5820          -            130   0.00049   18.7   7.1   3   3     0.011       3.7    6.2   0.1    37   100   678   740   642   745 0.81 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 13164at5820          -            130   0.00055   18.6   1.3   1   2       2.3   7.5e+02   -1.3   0.1    30    90    23    83     6    89 0.63 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 13164at5820          -            130   0.00055   18.6   1.3   2   2   2.9e-06   0.00096   17.8   0.2    38   101   118   180   107   191 0.80 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001965.1-p1      -           1533 13164at5820          -            130    0.0007   18.2   1.1   1   2   6.8e-05     0.022   13.4   0.6     5    93   300   383   297   404 0.83 | transcript=PVX_001965.1 | gene=PVX_001965 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr06:310902-315635(+) | protein_length=1533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001965.1-p1      -           1533 13164at5820          -            130    0.0007   18.2   1.1   2   2      0.15        49    2.6   0.0    64   100   464   500   423   513 0.71 | transcript=PVX_001965.1 | gene=PVX_001965 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr06:310902-315635(+) | protein_length=1533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081745.1-p1      -            531 13164at5820          -            130    0.0027   16.4   5.2   1   2    0.0002     0.066   11.8   1.4     9    95   231   322   217   338 0.67 | transcript=PVX_081745.1 | gene=PVX_081745 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr02:621221-623934(-) | protein_length=531 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081745.1-p1      -            531 13164at5820          -            130    0.0027   16.4   5.2   2   2      0.03       9.7    4.8   0.1    53   101   413   461   393   466 0.85 | transcript=PVX_081745.1 | gene=PVX_081745 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr02:621221-623934(-) | protein_length=531 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 13164at5820          -            130    0.0027   16.3   2.0   1   2       2.8   9.2e+02   -1.6   0.1    51    65    63    77    41   105 0.66 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089625.1-p1      -            269 13164at5820          -            130    0.0027   16.3   2.0   2   2   1.2e-05    0.0037   15.9   0.2    27    95   188   256   167   262 0.75 | transcript=PVX_089625.1 | gene=PVX_089625 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 4, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 4, putative | location=Pv_Sal1_chr05:707726-709948(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 13164at5820          -            130     0.011   14.4   1.9   1   2   5.3e-05     0.017   13.7   0.2    26   101    28   103     8   114 0.73 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118205.1-p1      -            786 13164at5820          -            130     0.011   14.4   1.9   2   2       3.6   1.2e+03   -1.9   0.1    42    85   443   485   436   496 0.71 | transcript=PVX_118205.1 | gene=PVX_118205 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2502331-2505392(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113760.1-p1      -            234 13164at5820          -            130      0.02   13.5   0.5   1   2       2.5   8.1e+02   -1.4   0.1    88   107    31    50    20    72 0.63 | transcript=PVX_113760.1 | gene=PVX_113760 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1521430-1522134(-) | protein_length=234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113760.1-p1      -            234 13164at5820          -            130      0.02   13.5   0.5   2   2   6.2e-05      0.02   13.5   0.5    39   101   167   229   155   234 0.85 | transcript=PVX_113760.1 | gene=PVX_113760 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1521430-1522134(-) | protein_length=234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114570.1-p1      -            670 13164at5820          -            130     0.054   12.1   6.5   1   3      0.66   2.2e+02    0.5   0.3    53    97    54    98    35   120 0.72 | transcript=PVX_114570.1 | gene=PVX_114570 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA binding function, putative | transcript_product=RNA binding function, putative | location=Pv_Sal1_chr11:826778-828790(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114570.1-p1      -            670 13164at5820          -            130     0.054   12.1   6.5   2   3    0.0002     0.065   11.9   0.1    30    89   134   194   122   205 0.84 | transcript=PVX_114570.1 | gene=PVX_114570 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA binding function, putative | transcript_product=RNA binding function, putative | location=Pv_Sal1_chr11:826778-828790(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114570.1-p1      -            670 13164at5820          -            130     0.054   12.1   6.5   3   3      0.52   1.7e+02    0.8   0.1   104   126   454   476   445   480 0.84 | transcript=PVX_114570.1 | gene=PVX_114570 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA binding function, putative | transcript_product=RNA binding function, putative | location=Pv_Sal1_chr11:826778-828790(-) | protein_length=670 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13164at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13164at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13164at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:56 2026
# [ok]
