#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115175.1-p1      -           1127 2381at5820           -            857         0 1798.0  69.5   1   5     0.044        31    0.6   0.1     4    21    30    47    27    61 0.85 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 2381at5820           -            857  8.2e-122  406.1  11.9   2   4    0.0031       2.1    4.4   0.0   426   455   273   302   270   308 0.92 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 2381at5820           -            857  8.2e-122  406.1  11.9   3   4   2.8e-52     2e-49  166.7   0.1   476   690   361   576   354   583 0.96 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 2381at5820           -            857  8.2e-122  406.1  11.9   4   4   3.4e-22   2.3e-19   67.2   2.4   693   849   624   787   622   794 0.87 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 2381at5820           -            857   2.8e-58  195.9  15.6   1   4         8   5.5e+03  -11.8  11.5   162   212   176   229   143   263 0.61 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 2381at5820           -            857   2.8e-58  195.9  15.6   2   4   7.3e-50     5e-47  158.7   5.9   196   447   417   676   409   700 0.87 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 2381at5820           -            857   2.8e-58  195.9  15.6   3   4   8.6e-18   5.9e-15   52.6   2.1   479   634   925  1098   900  1104 0.86 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 2381at5820           -            857   2.8e-58  195.9  15.6   4   4     0.083        57   -0.3   0.7   790   834  1409  1453  1289  1476 0.81 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 2381at5820           -            857   4.1e-43  145.7  22.8   1   2   2.2e-10   1.5e-07   28.1   0.2   297   369   101   173    20   191 0.88 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118640.1-p1      -            928 2381at5820           -            857   4.1e-43  145.7  22.8   2   2   2.5e-38   1.7e-35  120.5  17.4   515   853   573   915   557   919 0.84 | transcript=PVX_118640.1 | gene=PVX_118640 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2916343-2919129(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 2381at5820           -            857   1.7e-37  127.2  18.1   1   3   2.5e-28   1.8e-25   87.4   2.4   208   382   414   597   400   613 0.85 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 2381at5820           -            857   1.7e-37  127.2  18.1   2   3   1.1e-13   7.8e-11   39.0   1.0   479   607   778   907   766   911 0.87 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119630.1-p1      -           2111 2381at5820           -            857   1.7e-37  127.2  18.1   3   3   4.8e-05     0.033   10.4   1.1   615   688   974  1050   964  1106 0.87 | transcript=PVX_119630.1 | gene=PVX_119630 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD box helicase, putative | transcript_product=DEAD box helicase, putative | location=Pv_Sal1_chr08:1308236-1314571(+) | protein_length=2111 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2381at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2381at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2381at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:33 2026
# [ok]
