#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087815.1-p1      -           2754 438at5820            -           1966         0 3057.8 225.6   1   5  2.5e-299  1.2e-296  986.0  41.6     1   634     1   874     1   904 0.85 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093615.1-p1      -           1296 438at5820            -           1966   2.2e-19   66.6  26.5   4   4       0.7   3.5e+02   -3.7   1.9   921   989  1133  1201  1107  1253 0.61 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090225.1-p1      -            289 438at5820            -           1966     0.002   13.7   6.6   1   1   5.2e-06    0.0026   13.3   6.6   370   465    62   160    32   179 0.57 | transcript=PVX_090225.1 | gene=PVX_090225 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1242797-1243802(-) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 438at5820            -           1966     0.026   10.0  18.1   1   1   8.6e-05     0.043    9.2  18.1  1110  1286    36   213     9   229 0.54 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002770.1-p1      -            806 438at5820            -           1966     0.038    9.4  12.6   1   1   0.00011     0.057    8.8  12.6  1122  1247   492   622   463   634 0.50 | transcript=PVX_002770.1 | gene=PVX_002770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:253971-256391(+) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110955.1-p1      -            439 438at5820            -           1966      0.77    5.1  22.1   1   1    0.0021         1    4.7  22.1  1092  1255   247   403   225   434 0.47 | transcript=PVX_110955.1 | gene=PVX_110955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:826012-827331(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118665.1-p1      -            255 438at5820            -           1966         1    4.7  14.7   1   1    0.0026       1.3    4.3  14.7  1072  1192   109   234   100   246 0.52 | transcript=PVX_118665.1 | gene=PVX_118665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2958519-2959393(+) | protein_length=255 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002820.1-p1      -           1438 438at5820            -           1966       1.2    4.4   6.9   1   1    0.0036       1.8    3.9   6.9  1109  1246  1001  1142   991  1159 0.44 | transcript=PVX_002820.1 | gene=PVX_002820 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr04:299024-303340(-) | protein_length=1438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 438at5820            -           1966         3    3.1  19.1   1   1    0.0068       3.4    2.9  19.1  1095  1234   151   295   100   299 0.37 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101130.1-p1      -            205 438at5820            -           1966       8.3    1.7  39.5   1   1      0.02        10    1.4  39.5  1077  1226    45   190    28   200 0.48 | transcript=PVX_101130.1 | gene=PVX_101130 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2662851-2663816(+) | protein_length=205 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/438at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/438at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/438at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:23 2026
# [ok]
