#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114200.1-p1      -           1639 1628at5820           -           1124         0 1865.8 139.5   1   8   2.9e-28   2.3e-25   87.0  19.4     5   103    94   222    91   225 0.81 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 1628at5820           -           1124   8.2e-09   32.2   0.7   2   3      0.12        95   -1.1   0.1   252   314   379   443   372   452 0.77 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099195.1-p1      -            719 1628at5820           -           1124   8.2e-09   32.2   0.7   3   3     0.029        23    0.9   0.5   448   490   538   580   523   614 0.73 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 1628at5820           -           1124     0.002   14.4  43.2   1   2   0.00015      0.12    8.5   0.6   374   440   113   180    86   196 0.86 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 1628at5820           -           1124     0.002   14.4  43.2   2   2     0.001      0.79    5.8  19.5   494   598   395   495   305   514 0.71 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094715.1-p1      -            776 1628at5820           -           1124    0.0045   13.2  59.4   1   2   3.9e-05     0.031   10.4  17.8   296   480    94   280    88   318 0.81 | transcript=PVX_094715.1 | gene=PVX_094715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:479165-481693(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094715.1-p1      -            776 1628at5820           -           1124    0.0045   13.2  59.4   2   2   0.00014      0.11    8.7  33.6   354   550   510   715   448   734 0.84 | transcript=PVX_094715.1 | gene=PVX_094715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:479165-481693(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003975.1-p1      -           1172 1628at5820           -           1124     0.029   10.5   7.9   1   2   4.7e-06    0.0037   13.5   0.7   316   429   283   397   278   411 0.93 | transcript=PVX_003975.1 | gene=PVX_003975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:452533-456051(-) | protein_length=1172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003975.1-p1      -           1172 1628at5820           -           1124     0.029   10.5   7.9   2   2     0.062        49   -0.2   1.4   237   327   612   703   584   715 0.68 | transcript=PVX_003975.1 | gene=PVX_003975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:452533-456051(-) | protein_length=1172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001805.1-p1      -            731 1628at5820           -           1124     0.095    8.8   6.2   1   2   0.00043      0.34    7.0   0.7   428   534   244   349   229   356 0.72 | transcript=PVX_001805.1 | gene=PVX_001805 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:150989-153184(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001805.1-p1      -            731 1628at5820           -           1124     0.095    8.8   6.2   2   2    0.0022       1.8    4.6   0.6   551   614   431   493   416   530 0.77 | transcript=PVX_001805.1 | gene=PVX_001805 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:150989-153184(-) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1628at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1628at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1628at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:46 2026
# [ok]
