#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001880.1-p1      -            556 6942at5820           -            402  3.2e-190  630.5  13.9   1   2  6.4e-147  7.1e-144  477.9  12.6     1   300     1   340     1   349 0.90 | transcript=PVX_001880.1 | gene=PVX_001880 | organism=Plasmodium_vivax_Sal-1 | gene_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | transcript_product=S-adenosyl-L-methionine-dependent methyltransferase, putative | location=Pv_Sal1_chr06:221371-223211(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 6942at5820           -            402   0.00012   19.5   0.2   4   6      0.34   3.8e+02   -2.0   1.5    94   134   645   686   638   692 0.79 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 6942at5820           -            402   0.00012   19.5   0.2   5   6     0.085        94    0.0   1.0   210   256   822   868   807   884 0.68 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087750.1-p1      -           1116 6942at5820           -            402   0.00012   19.5   0.2   6   6     0.018        19    2.3   1.7    88   138   855   904   843   922 0.77 | transcript=PVX_087750.1 | gene=PVX_087750 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:113347-116697(-) | protein_length=1116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124170.1-p1      -            376 6942at5820           -            402    0.0014   15.9   0.0   1   2     0.028        31    1.6   0.0   144   190   179   225   162   244 0.80 | transcript=PVX_124170.1 | gene=PVX_124170 | organism=Plasmodium_vivax_Sal-1 | gene_product=sun-family protein, putative | transcript_product=sun-family protein, putative | location=Pv_Sal1_chr14:2106073-2107427(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124170.1-p1      -            376 6942at5820           -            402    0.0014   15.9   0.0   2   2   2.3e-05     0.026   11.8   0.0   318   360   299   341   268   348 0.78 | transcript=PVX_124170.1 | gene=PVX_124170 | organism=Plasmodium_vivax_Sal-1 | gene_product=sun-family protein, putative | transcript_product=sun-family protein, putative | location=Pv_Sal1_chr14:2106073-2107427(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6942at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6942at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6942at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:18 2026
# [ok]
