#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094805.1-p1      -            406 9842at5820           -            282  3.9e-148  490.6  43.0   1   4   3.5e-45   3.2e-42  143.1   7.0     1    89     1    89     1   103 0.90 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091315.1-p1      -            394 9842at5820           -            282    0.0003   18.5   0.1   2   2       1.7   1.6e+03   -3.5   0.6   154   186   193   225   172   227 0.61 | transcript=PVX_091315.1 | gene=PVX_091315 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=Pv_Sal1_chr09:425103-426795(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122475.1-p1      -             76 9842at5820           -            282    0.0014   16.4   0.1   1   1   1.6e-06    0.0014   16.3   0.1     1    60     1    59     1    73 0.87 | transcript=PVX_122475.1 | gene=PVX_122475 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin domain containing protein | transcript_product=ubiquitin domain containing protein | location=Pv_Sal1_chr14:603605-604122(-) | protein_length=76 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114795.1-p1      -            202 9842at5820           -            282     0.012   13.3   0.0   1   1     2e-05     0.019   12.7   0.0   240   275   166   201   152   202 0.89 | transcript=PVX_114795.1 | gene=PVX_114795 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr11:627425-629176(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9842at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9842at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9842at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:51 2026
# [ok]
