#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097820.1-p1      -            600 5548at5820           -            458  1.4e-255  846.6  40.1   1   2   9.1e-81   5.6e-78  261.1   3.3     1   139     1   143     1   149 0.96 | transcript=PVX_097820.1 | gene=PVX_097820 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr10:1113787-1115589(-) | protein_length=600 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 5548at5820           -            458   4.1e-33  113.1   0.0   1   2   1.8e-06    0.0011   16.1   0.0     6    40     5    39     2    51 0.91 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101200.1-p1      -            376 5548at5820           -            458   4.1e-33  113.1   0.0   2   2   1.6e-29   9.6e-27   92.1   0.0   186   458   114   375    93   375 0.89 | transcript=PVX_101200.1 | gene=PVX_101200 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin | transcript_product=actin | location=Pv_Sal1_chr14:2713005-2714135(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090865.1-p1      -            491 5548at5820           -            458   2.7e-22   77.5  17.9   1   3    0.0033         2    5.4   0.4     5   113     3    97     1   105 0.65 | transcript=PVX_090865.1 | gene=PVX_090865 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:41122-42597(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090865.1-p1      -            491 5548at5820           -            458   2.7e-22   77.5  17.9   2   3   8.8e-14   5.4e-11   40.2   6.7   164   350    96   305    81   335 0.70 | transcript=PVX_090865.1 | gene=PVX_090865 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:41122-42597(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090865.1-p1      -            491 5548at5820           -            458   2.7e-22   77.5  17.9   3   3   2.5e-13   1.6e-10   38.7   0.8   374   458   401   490   370   490 0.79 | transcript=PVX_090865.1 | gene=PVX_090865 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:41122-42597(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 5548at5820           -            458   2.7e-18   64.3   0.2   1   2    0.0027       1.7    5.7   0.0     7    46     3    42     1    55 0.89 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091185.1-p1      -            378 5548at5820           -            458   2.7e-18   64.3   0.2   2   2   1.1e-18   6.5e-16   56.4   0.0   177   454    95   369    75   373 0.84 | transcript=PVX_091185.1 | gene=PVX_091185 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin, putative | transcript_product=actin, putative | location=Pv_Sal1_chr09:328346-330193(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 5548at5820           -            458   2.3e-06   25.0   0.1   1   2       2.6   1.6e+03   -4.2   0.0    41    60   305   324   274   328 0.70 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098975.1-p1      -            599 5548at5820           -            458   2.3e-06   25.0   0.1   2   2     1e-08   6.3e-06   23.5   0.0   372   456   497   590   460   592 0.76 | transcript=PVX_098975.1 | gene=PVX_098975 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=Pv_Sal1_chr07:414742-416541(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096355.1-p1      -            855 5548at5820           -            458   0.00042   17.5   0.2   1   1   1.2e-06   0.00076   16.7   0.2   332   450   732   852   726   854 0.75 | transcript=PVX_096355.1 | gene=PVX_096355 | organism=Plasmodium_vivax_Sal-1 | gene_product=actin-related protein, putative | transcript_product=actin-related protein, putative | location=Pv_Sal1_chr03:578675-581242(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5548at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5548at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5548at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:16 2026
# [ok]
