#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122740.1-p1      -           1218 1919at5820           -           1069         0 2019.9 170.4   1   4  7.8e-173  1.1e-169  564.7  21.4     1   289     1   283     1   289 0.94 | transcript=PVX_122740.1 | gene=PVX_122740 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome 2, putative | transcript_product=structural maintenance of chromosome 2, putative | location=Pv_Sal1_chr14:824711-828690(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1919at5820           -           1069   3.1e-19   66.6  45.9   1   6   3.1e-17   4.3e-14   49.5  40.2     3   388   230   603   228   624 0.65 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1919at5820           -           1069   3.1e-19   66.6  45.9   2   6         4   5.5e+03  -13.4  20.4   690   796   685   801   614   858 0.47 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1919at5820           -           1069   3.1e-19   66.6  45.9   3   6       1.5   2.1e+03   -5.7  17.4   210   322  1017  1127  1010  1140 0.68 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1919at5820           -           1069   3.1e-19   66.6  45.9   4   6         4   5.5e+03   -9.9  26.9   279   389  1136  1251  1127  1271 0.60 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1919at5820           -           1069   3.1e-19   66.6  45.9   5   6       1.3   1.7e+03   -5.4  10.8   721   832  1379  1495  1368  1506 0.61 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1919at5820           -           1069   3.1e-19   66.6  45.9   6   6   2.1e-11   2.9e-08   30.3   0.3   955  1030  1515  1588  1501  1611 0.89 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1919at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1919at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:21 2026
# [ok]
