#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001005.1-p1      -            762 4841at5820           -            504  2.5e-253  839.7  43.5   1   5   5.8e-82   2.7e-79  265.5   2.4     3   155     4   166     1   168 0.91 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091415.1-p1      -            487 4841at5820           -            504   9.5e-18   62.5  12.0   2   3   2.7e-10   1.2e-07   29.1   0.5   247   308   279   335   248   341 0.88 | transcript=PVX_091415.1 | gene=PVX_091415 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:500343-501806(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091415.1-p1      -            487 4841at5820           -            504   9.5e-18   62.5  12.0   3   3   2.5e-13   1.2e-10   39.1   1.4   347   487   347   471   341   477 0.89 | transcript=PVX_091415.1 | gene=PVX_091415 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:500343-501806(-) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091410.1-p1      -            495 4841at5820           -            504   1.1e-17   62.3  11.7   1   2   3.6e-10   1.7e-07   28.7   0.6   246   307   284   340   172   346 0.91 | transcript=PVX_091410.1 | gene=PVX_091410 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=Pv_Sal1_chr09:496561-498048(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091410.1-p1      -            495 4841at5820           -            504   1.1e-17   62.3  11.7   2   2   3.1e-12   1.4e-09   35.5   4.8   348   485   354   475   343   483 0.86 | transcript=PVX_091410.1 | gene=PVX_091410 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=Pv_Sal1_chr09:496561-498048(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 4841at5820           -            504   3.7e-12   44.0  19.7   1   2   4.4e-11     2e-08   31.7  10.9   125   317   236   420   225   441 0.85 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 4841at5820           -            504   3.7e-12   44.0  19.7   2   2   3.3e-06    0.0015   15.6   3.0   381   485   453   566   423   574 0.70 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 4841at5820           -            504   5.3e-12   43.5  19.8   1   2   4.1e-11   1.9e-08   31.8  10.4   125   316   236   419   225   433 0.85 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 4841at5820           -            504   5.3e-12   43.5  19.8   2   2   3.9e-06    0.0018   15.4   3.2   381   485   453   566   419   574 0.70 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 4841at5820           -            504   1.9e-11   41.7   7.6   1   2     2e-09     9e-07   26.3   0.4   243   317    33   103    16   131 0.85 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_240290-t26_1-p1  -            313 4841at5820           -            504   1.9e-11   41.7   7.6   2   2   9.6e-07   0.00044   17.4   3.0   381   485   136   249   104   257 0.71 | transcript=PVX_240290-t26_1 | gene=PVX_240290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001393:1-942(-) | protein_length=313 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091405.1-p1      -            484 4841at5820           -            504   1.3e-08   32.4  17.1   1   2   3.7e-05     0.017   12.2   0.7   244   307   274   332   261   343 0.85 | transcript=PVX_091405.1 | gene=PVX_091405 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:492204-493658(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091405.1-p1      -            484 4841at5820           -            504   1.3e-08   32.4  17.1   2   2   4.2e-09   1.9e-06   25.2   6.2   360   484   358   466   338   479 0.81 | transcript=PVX_091405.1 | gene=PVX_091405 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:492204-493658(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 4841at5820           -            504   0.00017   18.8   0.4   1   2     0.038        18    2.2   2.7   129   267   150   282   124   292 0.74 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 4841at5820           -            504   0.00017   18.8   0.4   2   2   3.7e-07   0.00017   18.8   0.4   421   480   433   489   421   492 0.79 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003850.1-p1      -           1014 4841at5820           -            504   0.00068   16.8   0.9   1   1   2.9e-06    0.0014   15.8   0.9   433   480   700   742   662   746 0.88 | transcript=PVX_003850.1 | gene=PVX_003850 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 2 (SERA) | transcript_product=serine-repeat antigen 2 (SERA) | location=Pv_Sal1_chr04:551673-555171(+) | protein_length=1014 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 4841at5820           -            504    0.0031   14.6   0.2   1   1   1.2e-05    0.0056   13.8   0.2   435   480   756   796   747   801 0.86 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4841at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4841at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4841at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:12 2026
# [ok]
