#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081285.1-p1      -            776 5049at5820           -            494  1.7e-225  747.6  18.0   1   6   5.4e-37   2.1e-34  117.3   0.6     1    59     1    59     1    65 0.95 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089010.1-p1      -           1164 5049at5820           -            494   2.6e-11   41.1   3.5   1   1   1.2e-13   4.7e-11   40.3   3.5     6   170   593   747   589   878 0.72 | transcript=PVX_089010.1 | gene=PVX_089010 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr05:219826-223320(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 5049at5820           -            494   3.3e-11   40.8   0.4   1   2    0.0091       3.6    4.4   0.1     3    18     7    22     5    41 0.89 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 5049at5820           -            494   3.3e-11   40.8   0.4   2   2   3.8e-11   1.5e-08   32.0   0.0    31   265    59   309    53   335 0.75 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 5049at5820           -            494   3.3e-11   40.8   0.4   1   2    0.0091       3.6    4.4   0.1     3    18     7    22     5    41 0.89 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 5049at5820           -            494   3.3e-11   40.8   0.4   2   2   3.8e-11   1.5e-08   32.0   0.0    31   265    59   309    53   335 0.75 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 5049at5820           -            494   3.8e-11   40.6   1.8   1   4       2.5   9.8e+02   -3.6   1.0    36    59   241   264   189   271 0.57 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 5049at5820           -            494   3.8e-11   40.6   1.8   2   4   9.5e-14   3.8e-11   40.6   1.8     6   128   425   549   422   556 0.79 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 5049at5820           -            494   3.8e-11   40.6   1.8   3   4       1.4   5.6e+02   -2.8   0.3    81   108   614   641   608   665 0.68 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 5049at5820           -            494   3.8e-11   40.6   1.8   4   4      0.92   3.6e+02   -2.2   0.1   225   253   924   952   856   957 0.73 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 5049at5820           -            494   5.8e-11   40.0   7.9   1   2   1.5e-13   5.8e-11   40.0   7.9     5   231   193   419   189   458 0.78 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 5049at5820           -            494   5.8e-11   40.0   7.9   2   2      0.39   1.6e+02   -1.0   0.3   347   371   733   756   726   853 0.66 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 5049at5820           -            494   6.6e-11   39.8   0.2   1   2   1.7e-13   6.6e-11   39.8   0.2     4   141    26   168    24   183 0.76 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 5049at5820           -            494   6.6e-11   39.8   0.2   2   2       3.6   1.4e+03   -4.2   0.1   402   427   944   969   935   987 0.60 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 5049at5820           -            494     5e-08   30.3   0.4   1   2   1.3e-10     5e-08   30.3   0.4     5   186   101   288    98   307 0.77 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 5049at5820           -            494     5e-08   30.3   0.4   2   2       0.4   1.6e+02   -1.0   0.6   155   219   574   641   556   661 0.71 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 5049at5820           -            494   8.7e-07   26.2   0.3   1   1   3.6e-09   1.4e-06   25.5   0.3     5   130    21   158    18   190 0.72 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 5049at5820           -            494   2.2e-05   21.6   1.7   1   2   2.5e-06   0.00097   16.2   0.0    32   147   164   283   110   311 0.58 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 5049at5820           -            494   2.2e-05   21.6   1.7   2   2      0.12        48    0.7   1.1   197   304   359   466   357   508 0.67 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122455.1-p1      -           1066 5049at5820           -            494   0.00014   19.0   0.0   1   1   7.9e-07   0.00031   17.8   0.0    53   144   241   334   206   389 0.75 | transcript=PVX_122455.1 | gene=PVX_122455 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr14:572869-576069(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5049at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5049at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5049at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:10 2026
# [ok]
