#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118095.1-p1      -           1215 1841at5820           -            929         0 1701.2  87.0   1   4  9.9e-149  2.2e-146  487.9  22.5     1   263     1   276     1   283 0.96 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 1841at5820           -            929   4.3e-15   53.4  13.5   2   3     2e-16   4.4e-14   50.1   8.5    34   199   189   351   160   361 0.83 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 1841at5820           -            929   4.3e-15   53.4  13.5   3   3   1.4e-05    0.0031   14.2   0.2    65   182   309   431   303   437 0.85 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 1841at5820           -            929   2.8e-13   47.4  34.0   1   3   1.1e-07   2.3e-05   21.2   1.1    75   162   204   289   190   293 0.89 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 1841at5820           -            929   2.8e-13   47.4  34.0   2   3   5.9e-08   1.3e-05   22.0   4.0   560   653   552   649   475   657 0.75 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 1841at5820           -            929   2.8e-13   47.4  34.0   3   3   5.9e-08   1.3e-05   22.0   5.1   104   226   683   796   671   819 0.52 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 1841at5820           -            929   9.4e-13   45.7   9.8   1   5       1.7   3.8e+02   -2.6   0.1   296   333    95   135    93   179 0.68 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 1841at5820           -            929   9.4e-13   45.7   9.8   2   5      0.13        29    1.0   0.1    80   136   226   282   175   289 0.65 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 1841at5820           -            929   9.4e-13   45.7   9.8   3   5     0.042       9.4    2.7   0.1    85   140   273   332   254   341 0.72 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 1841at5820           -            929   9.4e-13   45.7   9.8   4   5   2.6e-13   5.7e-11   39.8   0.1    81   142   357   418   349   427 0.92 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 1841at5820           -            929   9.4e-13   45.7   9.8   5   5    0.0038      0.83    6.1   0.1    92   136   450   497   430   498 0.78 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083500.1-p1      -            466 1841at5820           -            929   3.9e-12   43.6  12.9   1   1   5.6e-14   1.2e-11   42.0  11.9    77   235    82   235    70   457 0.93 | transcript=PVX_083500.1 | gene=PVX_083500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:71032-73869(-) | protein_length=466 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 1841at5820           -            929   4.2e-12   43.5  18.4   1   4   1.2e-11   2.6e-09   34.3   1.1   542   699    10   167     5   186 0.88 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 1841at5820           -            929   4.2e-12   43.5  18.4   2   4   4.7e-07    0.0001   19.0   0.7   577   680   242   348   228   380 0.73 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 1841at5820           -            929   4.2e-12   43.5  18.4   3   4      0.31        68   -0.2   0.0   478   512   542   576   533   587 0.88 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113505.1-p1      -           1398 1841at5820           -            929   4.2e-12   43.5  18.4   4   4      0.71   1.6e+02   -1.4   1.3   490   525   596   633   589   667 0.76 | transcript=PVX_113505.1 | gene=PVX_113505 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=Pv_Sal1_chr11:1747148-1751978(-) | protein_length=1398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 1841at5820           -            929     3e-11   40.7  13.0   1   5   6.8e-05     0.015   11.9   0.1   542   652   117   234   101   240 0.57 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 1841at5820           -            929     3e-11   40.7  13.0   2   5      0.32        71   -0.2   0.2    68   158   301   391   287   398 0.82 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 1841at5820           -            929     3e-11   40.7  13.0   3   5   1.8e-05    0.0041   13.8   0.0    78   140   420   482   411   491 0.91 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 1841at5820           -            929     3e-11   40.7  13.0   4   5   3.5e-06   0.00078   16.2   1.0    68   197   521   652   518   653 0.77 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093625.1-p1      -           1068 1841at5820           -            929     3e-11   40.7  13.0   5   5    0.0012      0.27    7.8   0.0    66   108   613   655   605   680 0.91 | transcript=PVX_093625.1 | gene=PVX_093625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:695036-698242(+) | protein_length=1068 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 1841at5820           -            929   3.9e-11   40.3  16.5   1   4   0.00026     0.057   10.0   0.0   100   142   314   357   302   361 0.86 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 1841at5820           -            929   3.9e-11   40.3  16.5   2   4   4.6e-06     0.001   15.8   0.6   100   140   358   398   354   410 0.84 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 1841at5820           -            929   3.9e-11   40.3  16.5   3   4   5.6e-05     0.012   12.2   0.9    72   137   414   479   405   487 0.93 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 1841at5820           -            929   3.9e-11   40.3  16.5   4   4   9.5e-05     0.021   11.4   1.8   550   653   503   612   483   612 0.76 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 1841at5820           -            929   1.1e-10   38.9  12.3   1   3   0.00096      0.21    8.1   0.1   104   137   909   942   898   951 0.82 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 1841at5820           -            929   1.1e-10   38.9  12.3   2   3   7.1e-08   1.6e-05   21.8   3.6   540   655   956  1075   947  1082 0.81 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 1841at5820           -            929   1.1e-10   38.9  12.3   3   3   3.4e-05    0.0074   12.9   0.2    69   188  1088  1206  1079  1213 0.77 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122390.1-p1      -            524 1841at5820           -            929     1e-09   35.6   6.3   1   2       2.2   4.9e+02   -3.0   0.9   142   190    35    83    20   134 0.61 | transcript=PVX_122390.1 | gene=PVX_122390 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing regulator, putative | transcript_product=alternative splicing regulator, putative | location=Pv_Sal1_chr14:530575-532149(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122390.1-p1      -            524 1841at5820           -            929     1e-09   35.6   6.3   2   2   4.6e-12     1e-09   35.6   6.3   537   685   216   372   178   386 0.84 | transcript=PVX_122390.1 | gene=PVX_122390 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing regulator, putative | transcript_product=alternative splicing regulator, putative | location=Pv_Sal1_chr14:530575-532149(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 1841at5820           -            929   2.6e-07   27.7   6.2   1   2   2.8e-09   6.3e-07   26.4   1.0    79   192    31   146    20   157 0.78 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083250.1-p1      -            363 1841at5820           -            929   2.6e-07   27.7   6.2   2   2     0.016       3.5    4.1   0.4    79   137   186   245   180   263 0.64 | transcript=PVX_083250.1 | gene=PVX_083250 | organism=Plasmodium_vivax_Sal-1 | gene_product=G-beta repeat protein, putative | transcript_product=G-beta repeat protein, putative | location=Pv_Sal1_chr12:280598-282743(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 1841at5820           -            929   1.1e-06   25.6   3.0   1   3      0.23        52    0.2   0.0   595   615   275   295   266   303 0.61 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 1841at5820           -            929   1.1e-06   25.6   3.0   2   3   2.5e-08   5.5e-06   23.3   1.0    72   189   345   461   340   480 0.79 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
