#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117925.1-p1      -            832 2097at5820           -            830         0 2007.8   4.5   1   1         0         0 2007.6   4.5     1   830     1   832     1   832 1.00 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100600.1-p1      -            775 2097at5820           -            830   1.6e-35  120.3   4.6   3   3   1.2e-06   0.00058   15.9   0.0   707   786   680   757   620   771 0.83 | transcript=PVX_100600.1 | gene=PVX_100600 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr14:2213074-2215401(-) | protein_length=775 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 2097at5820           -            830   1.7e-35  120.2   3.7   1   4   5.7e-26   2.6e-23   79.9   0.6    18   181    98   261    88   288 0.84 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 2097at5820           -            830   1.7e-35  120.2   3.7   2   4       1.2   5.6e+02   -3.9   0.0   322   346   363   388   358   393 0.78 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 2097at5820           -            830   1.7e-35  120.2   3.7   3   4   1.7e-10     8e-08   28.6   0.0   421   560   521   658   496   695 0.82 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 2097at5820           -            830   1.7e-35  120.2   3.7   4   4     5e-05     0.023   10.6   0.0   662   781   780   896   740   909 0.76 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2097at5820           -            830   1.3e-23   80.9   5.5   1   3   1.4e-19   6.6e-17   58.7   0.0    18   212    24   208    15   218 0.84 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2097at5820           -            830   1.3e-23   80.9   5.5   2   3   4.5e-07   0.00021   17.3   1.1   477   558   650   730   640   750 0.78 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2097at5820           -            830   1.3e-23   80.9   5.5   3   3    0.0021      0.99    5.2   0.2   695   786   999  1094   913  1099 0.78 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 2097at5820           -            830   2.1e-20   70.3   0.1   1   2   7.5e-22   3.5e-19   66.2   0.1    12   172   103   252    93   260 0.84 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 2097at5820           -            830   2.1e-20   70.3   0.1   2   2     0.026        12    1.6   0.0   710   780   560   629   528   651 0.80 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 2097at5820           -            830   3.1e-20   69.7   0.2   1   2   1.2e-20   5.6e-18   62.2   0.1    17   171   189   333   185   357 0.89 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 2097at5820           -            830   3.1e-20   69.7   0.2   2   2     0.002       0.9    5.3   0.0   466   558   516   612   490   619 0.78 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 2097at5820           -            830     1e-10   38.2   0.2   1   2   1.4e-12   6.3e-10   35.6   0.1    13   155    66   200    61   226 0.77 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 2097at5820           -            830     1e-10   38.2   0.2   2   2     0.069        32    0.2   0.0   365   409   271   314   256   338 0.84 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 2097at5820           -            830   1.7e-05   21.0   0.1   1   1   5.3e-08   2.4e-05   20.4   0.1    13   156     1   158     1   203 0.62 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 2097at5820           -            830   1.7e-05   21.0   0.1   1   1   5.3e-08   2.4e-05   20.4   0.1    13   156     1   158     1   203 0.62 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 2097at5820           -            830     0.001   15.0   1.0   1   1   6.6e-06     0.003   13.5   1.0    87   167   813   893   761   924 0.88 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2097at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2097at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2097at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:01 2026
# [ok]
