#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5   1  12   2.6e-16   7.2e-13   45.3  21.0     1    60     1    67     1    72 0.87 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003585.1-p1      -           1860 1411at5820           -           1170         0 1323.1 355.5  12  12   2.3e-07   0.00063   15.7   0.2  1145  1170  1831  1857  1808  1857 0.84 | transcript=PVX_003585.1 | gene=PVX_003585 | organism=Plasmodium_vivax_Sal-1 | gene_product=repetitive organellar protein, putative | transcript_product=repetitive organellar protein, putative | location=Pv_Sal1_chr04:758090-763672(+) | protein_length=1860 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119385.1-p1      -           1017 1411at5820           -           1170   0.00011   18.2  13.0   1   3     4e-08   0.00011   18.2  13.0   403   571   357   521   353   539 0.79 | transcript=PVX_119385.1 | gene=PVX_119385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1506409-1509462(-) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119385.1-p1      -           1017 1411at5820           -           1170   0.00011   18.2  13.0   2   3    0.0019       5.3    2.7  30.8   396   586   586   778   567   792 0.77 | transcript=PVX_119385.1 | gene=PVX_119385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1506409-1509462(-) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119385.1-p1      -           1017 1411at5820           -           1170   0.00011   18.2  13.0   3   3     0.093   2.6e+02   -2.9   3.0   459   491   926   958   904  1011 0.52 | transcript=PVX_119385.1 | gene=PVX_119385 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1506409-1509462(-) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1411at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1411at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1411at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:32 2026
# [ok]
