#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119245.1-p1      -            595 4767at5820           -            494         0 1054.0  41.5   1   2   1.7e-56   3.1e-54  182.8  19.0     1   132    40   188    40   207 0.88 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 4767at5820           -            494   3.9e-23   80.2  11.8   2   4   2.8e-12   5.1e-10   36.9   2.1   196   381   342   529   337   532 0.82 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 4767at5820           -            494   3.9e-23   80.2  11.8   3   4   4.4e-07   8.1e-05   19.7   0.2   190   293   461   566   455   574 0.81 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092900.1-p1      -            660 4767at5820           -            494   3.9e-23   80.2  11.8   4   4    0.0082       1.5    5.6   0.1   176   207   627   658   611   660 0.79 | transcript=PVX_092900.1 | gene=PVX_092900 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr09:1808717-1810699(-) | protein_length=660 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 4767at5820           -            494   3.1e-22   77.2  33.0   1   4   2.9e-13   5.3e-11   40.1   8.0   200   374    36   233    13   261 0.77 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 4767at5820           -            494   3.1e-22   77.2  33.0   2   4       2.3   4.2e+02   -2.4   3.4    97   131   370   407   347   452 0.58 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 4767at5820           -            494   3.1e-22   77.2  33.0   3   4   0.00068      0.13    9.2   0.2   260   369   608   714   590   725 0.70 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118095.1-p1      -           1215 4767at5820           -            494   3.1e-22   77.2  33.0   4   4     2e-14   3.6e-12   44.0   1.2   183   335   816   968   810   984 0.93 | transcript=PVX_118095.1 | gene=PVX_118095 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr12:2406101-2409897(+) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 4767at5820           -            494     2e-19   67.9   9.4   1   3      0.47        87   -0.1   5.6    84   158    20    96    13   104 0.77 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 4767at5820           -            494     2e-19   67.9   9.4   2   3   2.4e-20   4.4e-18   63.5   2.5   193   345   378   530   355   537 0.94 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 4767at5820           -            494     2e-19   67.9   9.4   3   3   2.7e-06   0.00049   17.2   0.6   178   260   531   613   527   623 0.90 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 4767at5820           -            494   3.5e-17   60.5   7.3   1   2   1.6e-16     3e-14   50.9   6.7   175   423    32   282    22   282 0.85 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 4767at5820           -            494   3.5e-17   60.5   7.3   2   2   6.3e-05     0.012   12.6   0.0   195   244   268   317   252   324 0.53 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 4767at5820           -            494   6.3e-17   59.7  23.1   1   4      0.23        43    0.9   0.2   129   169   312   355   283   421 0.81 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 4767at5820           -            494   6.3e-17   59.7  23.1   2   4   5.2e-10   9.5e-08   29.4   5.5   217   337   909  1030   887  1040 0.88 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 4767at5820           -            494   6.3e-17   59.7  23.1   3   4   5.6e-10     1e-07   29.3   2.0   168   323   945  1102   942  1108 0.84 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 4767at5820           -            494   6.3e-17   59.7  23.1   4   4   2.7e-10   4.9e-08   30.4   1.0   197   343  1061  1214  1053  1234 0.70 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 4767at5820           -            494   1.6e-16   58.3  10.2   1   2   2.3e-05    0.0042   14.1   0.7   179   292    14   127     5   128 0.80 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098735.1-p1      -           1013 4767at5820           -            494   1.6e-16   58.3  10.2   2   2   8.9e-19   1.6e-16   58.3  10.2   179   378    98   307    97   368 0.82 | transcript=PVX_098735.1 | gene=PVX_098735 | organism=Plasmodium_vivax_Sal-1 | gene_product=coatomer complex beta subunit, putative | transcript_product=coatomer complex beta subunit, putative | location=Pv_Sal1_chr07:199603-202644(-) | protein_length=1013 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 4767at5820           -            494   8.3e-14   49.4   7.5   1   2   4.5e-16   8.3e-14   49.4   7.5   132   340    78   293    64   303 0.80 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 4767at5820           -            494   8.3e-14   49.4   7.5   2   2     0.076        14    2.5   1.3   328   431   333   444   316   452 0.61 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 4767at5820           -            494     2e-13   48.1  14.3   1   2       1.6     3e+02   -1.9   0.2    54    96   223   267   203   290 0.65 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123645.1-p1      -            612 4767at5820           -            494     2e-13   48.1  14.3   2   2   1.1e-15     2e-13   48.1  14.3   196   432   340   579   312   611 0.85 | transcript=PVX_123645.1 | gene=PVX_123645 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor PRP17, putative | transcript_product=pre-mRNA splicing factor PRP17, putative | location=Pv_Sal1_chr14:1616515-1618353(+) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 4767at5820           -            494   7.5e-13   46.2   1.4   1   4       2.5   4.7e+02   -2.6   1.2    84   153   125   194    87   229 0.63 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 4767at5820           -            494   7.5e-13   46.2   1.4   2   4       1.7   3.1e+02   -2.0   1.0   176   193   284   301   133   330 0.68 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 4767at5820           -            494   7.5e-13   46.2   1.4   3   4   4.1e-15   7.5e-13   46.2   1.4   219   377   428   590   419   621 0.86 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083090.1-p1      -            644 4767at5820           -            494   7.5e-13   46.2   1.4   4   4     0.011         2    5.3   0.1   321   366   575   619   567   636 0.60 | transcript=PVX_083090.1 | gene=PVX_083090 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=Pv_Sal1_chr12:417792-419726(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 4767at5820           -            494     2e-12   44.8   2.3   1   4       3.6   6.6e+02   -3.1   0.7   104   118   325   338   308   351 0.49 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 4767at5820           -            494     2e-12   44.8   2.3   2   4   3.1e-12   5.7e-10   36.7   0.6   244   364   359   478   338   484 0.90 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 4767at5820           -            494     2e-12   44.8   2.3   3   4   5.5e-06     0.001   16.1   0.0   279   345   435   504   434   536 0.82 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 4767at5820           -            494     2e-12   44.8   2.3   4   4       0.3        56    0.5   0.0   290   335   534   579   521   586 0.77 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 4767at5820           -            494   4.8e-11   40.3  12.9   1   4   6.3e-05     0.012   12.6   3.0   151   251   163   268    78   270 0.79 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 4767at5820           -            494   4.8e-11   40.3  12.9   2   4   0.00088      0.16    8.9   1.8   269   335   198   268   193   300 0.60 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 4767at5820           -            494   4.8e-11   40.3  12.9   3   4     0.051       9.4    3.0   0.1   229   298   270   337   261   342 0.74 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114150.1-p1      -            539 4767at5820           -            494   4.8e-11   40.3  12.9   4   4   2.6e-10   4.7e-08   30.4   0.7   178   253   347   424   338   449 0.85 | transcript=PVX_114150.1 | gene=PVX_114150 | organism=Plasmodium_vivax_Sal-1 | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=Pv_Sal1_chr11:1210760-1212379(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093580.1-p1      -            365 4767at5820           -            494   5.1e-10   36.9  12.4   1   3   0.00053     0.097    9.6   0.3   297   338     8    49     2    63 0.78 | transcript=PVX_093580.1 | gene=PVX_093580 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=Pv_Sal1_chr01:657930-660056(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093580.1-p1      -            365 4767at5820           -            494   5.1e-10   36.9  12.4   2   3   1.2e-09   2.3e-07   28.2   1.4   221   371    59   209    49   217 0.78 | transcript=PVX_093580.1 | gene=PVX_093580 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=Pv_Sal1_chr01:657930-660056(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093580.1-p1      -            365 4767at5820           -            494   5.1e-10   36.9  12.4   3   3    0.0012      0.23    8.3   2.6   185   259   191   267   187   285 0.81 | transcript=PVX_093580.1 | gene=PVX_093580 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase organizer 1, putative | transcript_product=mitogen-activated protein kinase organizer 1, putative | location=Pv_Sal1_chr01:657930-660056(-) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 4767at5820           -            494   9.8e-10   36.0   8.7   1   6      0.34        62    0.3   0.1   198   268   214   282   196   290 0.85 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 4767at5820           -            494   9.8e-10   36.0   8.7   2   6       2.9   5.4e+02   -2.8   0.2   195   210   342   357   339   381 0.83 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 4767at5820           -            494   9.8e-10   36.0   8.7   3   6       8.3   1.5e+03   -4.3   2.0   108   154   372   419   349   431 0.60 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 4767at5820           -            494   9.8e-10   36.0   8.7   4   6      0.38        70    0.2   0.0   237   272   477   512   455   517 0.78 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 4767at5820           -            494   9.8e-10   36.0   8.7   5   6   2.4e-08   4.3e-06   23.9   1.2   195   292   548   649   542   654 0.54 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094875.1-p1      -           1150 4767at5820           -            494   9.8e-10   36.0   8.7   6   6   7.1e-09   1.3e-06   25.6   1.2   176   289   684   798   661   857 0.79 | transcript=PVX_094875.1 | gene=PVX_094875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:589071-592741(-) | protein_length=1150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122390.1-p1      -            524 4767at5820           -            494   8.8e-09   32.8  18.9   1   2   0.00048     0.088    9.7   8.1    59   219    88   259    36   270 0.61 | transcript=PVX_122390.1 | gene=PVX_122390 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing regulator, putative | transcript_product=alternative splicing regulator, putative | location=Pv_Sal1_chr14:530575-532149(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122390.1-p1      -            524 4767at5820           -            494   8.8e-09   32.8  18.9   2   2   9.2e-10   1.7e-07   28.6   3.5   267   389   273   393   257   431 0.85 | transcript=PVX_122390.1 | gene=PVX_122390 | organism=Plasmodium_vivax_Sal-1 | gene_product=alternative splicing regulator, putative | transcript_product=alternative splicing regulator, putative | location=Pv_Sal1_chr14:530575-532149(-) | protein_length=524 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
