#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097595.1-p1      -            944 2814at5820           -            601         0 1118.1 117.3   1   5   7.4e-34   4.5e-31  106.3   3.1     1    63     1    63     1    67 0.96 | transcript=PVX_097595.1 | gene=PVX_097595 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:1308582-1311416(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 2814at5820           -            601   4.6e-12   43.6   5.3   1   4    0.0048         3    4.6   0.0    93   122    35    64    30    87 0.86 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 2814at5820           -            601   4.6e-12   43.6   5.3   2   4   1.9e-07   0.00012   19.1   0.7   162   227    87   151    77   162 0.78 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 2814at5820           -            601   4.6e-12   43.6   5.3   3   4   5.4e-06    0.0033   14.3   0.1   166   225   174   232   150   241 0.82 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 2814at5820           -            601   4.6e-12   43.6   5.3   4   4     0.003       1.9    5.2   0.0   166   221   265   319   250   323 0.72 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2814at5820           -            601   9.8e-09   32.6   2.8   1   4    0.0088       5.4    3.7   0.0    64   125    38   101    24   106 0.77 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2814at5820           -            601   9.8e-09   32.6   2.8   2   4   0.00016       0.1    9.4   0.0    89   127   107   145   102   162 0.89 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2814at5820           -            601   9.8e-09   32.6   2.8   3   4   4.4e-05     0.027   11.3   0.1    63   125   173   230   165   262 0.80 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 2814at5820           -            601   9.8e-09   32.6   2.8   4   4    0.0029       1.8    5.3   0.2   486   520   286   320   265   322 0.75 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 2814at5820           -            601     3e-07   27.7   1.9   1   3     0.027        17    2.1   0.1   191   239   248   297   204   355 0.62 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 2814at5820           -            601     3e-07   27.7   1.9   2   3   1.1e-07   6.9e-05   19.9   0.0   168   227   357   415   348   435 0.84 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119545.1-p1      -            498 2814at5820           -            601     3e-07   27.7   1.9   3   3     0.012       7.1    3.3   0.0   175   224   446   497   431   498 0.80 | transcript=PVX_119545.1 | gene=PVX_119545 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=Pv_Sal1_chr08:1390913-1392409(-) | protein_length=498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 2814at5820           -            601   1.2e-06   25.6  20.0   1   5   6.7e-06    0.0041   14.0   1.9   194   282     9    98     3   114 0.84 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 2814at5820           -            601   1.2e-06   25.6  20.0   2   5    0.0021       1.3    5.7   0.1    91   126   128   163   107   170 0.86 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 2814at5820           -            601   1.2e-06   25.6  20.0   3   5     0.077        47    0.6   0.0   209   228   262   280   244   283 0.81 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 2814at5820           -            601   1.2e-06   25.6  20.0   4   5   3.8e-05     0.023   11.5   1.0    74   127   275   325   263   346 0.82 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084500.1-p1      -            694 2814at5820           -            601   1.2e-06   25.6  20.0   5   5    0.0067       4.1    4.1   0.4   193   246   607   660   584   692 0.75 | transcript=PVX_084500.1 | gene=PVX_084500 | organism=Plasmodium_vivax_Sal-1 | gene_product=cytosolic iron-sulfur protein assembly protein 1, putative | transcript_product=cytosolic iron-sulfur protein assembly protein 1, putative | location=Pv_Sal1_chr13:371389-373473(+) | protein_length=694 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 2814at5820           -            601   2.2e-06   24.8  11.9   1   3   4.6e-06    0.0028   14.5   0.1    86   123   905   942   897   949 0.91 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 2814at5820           -            601   2.2e-06   24.8  11.9   2   3    0.0065         4    4.1   3.7    90   133   952   995   945  1120 0.84 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080315.1-p1      -           1240 2814at5820           -            601   2.2e-06   24.8  11.9   3   3   0.00088      0.54    7.0   0.2    90   126  1132  1163  1098  1168 0.71 | transcript=PVX_080315.1 | gene=PVX_080315 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:572047-575769(-) | protein_length=1240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 2814at5820           -            601    0.0039   14.1   0.9   1   2    0.0028       1.7    5.4   0.1    91   188     6   105     3   118 0.78 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000590.1-p1      -            327 2814at5820           -            601    0.0039   14.1   0.9   2   2    0.0011       0.7    6.6   0.0    82   124   275   317   260   322 0.85 | transcript=PVX_000590.1 | gene=PVX_000590 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 3 subunit 2, putative | transcript_product=eukaryotic translation initiation factor 3 subunit 2, putative | location=Pv_Sal1_chr03:448728-450117(-) | protein_length=327 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 2814at5820           -            601     0.017   12.0   0.4   1   2     0.045        28    1.4   0.0   157   227   159   237   145   278 0.68 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089605.1-p1      -            458 2814at5820           -            601     0.017   12.0   0.4   2   2   0.00049       0.3    7.9   0.1   158   229   330   404   325   431 0.62 | transcript=PVX_089605.1 | gene=PVX_089605 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr05:693181-694557(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2814at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2814at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2814at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:00 2026
# [ok]
