#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117160.1-p1      -            878 2237at5820           -            757         0 1680.2   7.4   1   2  2.1e-211  6.2e-209  694.1   2.1     1   325     4   363     4   386 0.91 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091905.1-p1      -            588 2237at5820           -            757   1.1e-14   51.7   0.3   1   2   1.3e-15   3.7e-13   46.7   0.2     6   250    70   325    67   355 0.68 | transcript=PVX_091905.1 | gene=PVX_091905 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:934926-937683(-) | protein_length=588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091905.1-p1      -            588 2237at5820           -            757   1.1e-14   51.7   0.3   2   2   6.1e-05     0.018   11.4   0.0    10    91   297   381   295   389 0.72 | transcript=PVX_091905.1 | gene=PVX_091905 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr09:934926-937683(-) | protein_length=588 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123360.1-p1      -            586 2237at5820           -            757   2.3e-10   37.5   1.0   1   3   3.4e-05    0.0098   12.3   0.1   125   250   150   278   142   283 0.42 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123360.1-p1      -            586 2237at5820           -            757   2.3e-10   37.5   1.0   2   3   1.3e-05    0.0038   13.6   0.0    23   132   206   315   191   324 0.75 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123360.1-p1      -            586 2237at5820           -            757   2.3e-10   37.5   1.0   3   3     1e-07   3.1e-05   20.5   0.1    34   147   331   449   319   463 0.77 | transcript=PVX_123360.1 | gene=PVX_123360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1392036-1393796(-) | protein_length=586 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111590.1-p1      -            874 2237at5820           -            757   3.2e-10   37.0   0.0   1   1   7.1e-12   2.1e-09   34.3   0.0    16   157    83   233    77   248 0.78 | transcript=PVX_111590.1 | gene=PVX_111590 | organism=Plasmodium_vivax_Sal-1 | gene_product=kelch domain-containing protein | transcript_product=kelch domain-containing protein | location=Pv_Sal1_chr06:344792-347416(+) | protein_length=874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_227290-t26_1-p1  -            633 2237at5820           -            757   3.3e-10   37.0   1.0   1   3   4.5e-05     0.013   11.8   0.1   125   250   150   278   142   282 0.45 | transcript=PVX_227290-t26_1 | gene=PVX_227290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000497:1-1902(-) | protein_length=633 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_227290-t26_1-p1  -            633 2237at5820           -            757   3.3e-10   37.0   1.0   2   3   1.9e-05    0.0054   13.1   0.0    23   132   206   315   197   319 0.74 | transcript=PVX_227290-t26_1 | gene=PVX_227290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000497:1-1902(-) | protein_length=633 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_227290-t26_1-p1  -            633 2237at5820           -            757   3.3e-10   37.0   1.0   3   3   1.3e-07   3.7e-05   20.3   0.1    34   147   331   449   319   459 0.77 | transcript=PVX_227290-t26_1 | gene=PVX_227290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000497:1-1902(-) | protein_length=633 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_084300.1-p1      -            910 2237at5820           -            757   5.3e-06   23.0   3.5   1   4     0.059        17    1.5   0.0    38    65   461   490   442   499 0.77 | transcript=PVX_084300.1 | gene=PVX_084300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:156239-158971(-) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084300.1-p1      -            910 2237at5820           -            757   5.3e-06   23.0   3.5   2   4       0.1        30    0.7   0.1   122   143   750   771   733   785 0.79 | transcript=PVX_084300.1 | gene=PVX_084300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:156239-158971(-) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084300.1-p1      -            910 2237at5820           -            757   5.3e-06   23.0   3.5   3   4     0.037        11    2.2   0.1    18    60   752   798   745   804 0.63 | transcript=PVX_084300.1 | gene=PVX_084300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:156239-158971(-) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084300.1-p1      -            910 2237at5820           -            757   5.3e-06   23.0   3.5   4   4   5.4e-07   0.00016   18.2   0.1   222   292   803   881   799   896 0.72 | transcript=PVX_084300.1 | gene=PVX_084300 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:156239-158971(-) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 2237at5820           -            757   2.2e-05   21.0   0.0   1   2   0.00062      0.18    8.1   0.0   114   165  1424  1473  1320  1479 0.81 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092185.1-p1      -           2379 2237at5820           -            757   2.2e-05   21.0   0.0   2   2    0.0001      0.03   10.6   0.0    14    66  1481  1532  1476  1536 0.91 | transcript=PVX_092185.1 | gene=PVX_092185 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1154029-1161168(+) | protein_length=2379 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 2237at5820           -            757     0.039   10.3   0.1   1   3      0.43   1.3e+02   -1.3   0.0     7    61   530   582   495   596 0.55 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 2237at5820           -            757     0.039   10.3   0.1   2   3     0.001       0.3    7.3   0.1   115   160   771   817   754   853 0.67 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001790.1-p1      -           1602 2237at5820           -            757     0.039   10.3   0.1   3   3      0.94   2.7e+02   -2.5   0.0   648   676  1059  1089  1056  1111 0.72 | transcript=PVX_001790.1 | gene=PVX_001790 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:137333-142141(-) | protein_length=1602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2237at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2237at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2237at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:52 2026
# [ok]
