#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093520.1-p1      -            262 11182at5820          -            184  9.4e-124  408.3   6.3   1   1  2.2e-126  1.1e-123  408.1   6.3     1   184    78   262    78   262 0.99 | transcript=PVX_093520.1 | gene=PVX_093520 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:592578-593366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085320.1-p1      -            456 11182at5820          -            184     2e-10   39.0   1.9   1   1   6.9e-13   3.5e-10   38.2   1.9    29   159    21   146    16   172 0.80 | transcript=PVX_085320.1 | gene=PVX_085320 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:1100742-1103354(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11182at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11182at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11182at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:37 2026
# [ok]
