#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122410.1-p1      -            420 6354at5820           -            285  6.9e-200  660.5   2.4   1   1  3.4e-202  8.3e-200  660.2   2.4     1   285     8   295     8   295 0.99 | transcript=PVX_122410.1 | gene=PVX_122410 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 7, putative | transcript_product=26S protease regulatory subunit 7, putative | location=Pv_Sal1_chr14:539131-540623(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6354at5820           -            285   7.8e-31  105.8   1.0   2   4   5.8e-07   0.00014   19.6   0.0   150   208   347   405   335   410 0.89 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6354at5820           -            285   7.8e-31  105.8   1.0   3   4       1.6   3.8e+02   -1.5   0.0   242   262   497   517   481   522 0.75 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085820.1-p1      -           1186 6354at5820           -            285   7.8e-31  105.8   1.0   4   4   3.5e-26   8.5e-24   82.7   0.0   145   284   772   908   749   909 0.87 | transcript=PVX_085820.1 | gene=PVX_085820 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr13:1539282-1542842(-) | protein_length=1186 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117215.1-p1      -            702 6354at5820           -            285   1.5e-30  104.9   0.1   1   1   1.4e-32   3.5e-30  103.6   0.1   145   282   243   376   232   379 0.89 | transcript=PVX_117215.1 | gene=PVX_117215 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr12:1679370-1681478(+) | protein_length=702 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 6354at5820           -            285   5.9e-30  102.9   0.1   1   2    0.0025       0.6    7.7   0.0   189   264   245   322   219   326 0.82 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123055.1-p1      -           1070 6354at5820           -            285   5.9e-30  102.9   0.1   2   2   3.1e-29   7.6e-27   92.7   0.1   134   273   555   696   531   705 0.87 | transcript=PVX_123055.1 | gene=PVX_123055 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr14:1099561-1102773(+) | protein_length=1070 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100935.1-p1      -            896 6354at5820           -            285   5.8e-27   93.1   0.0   1   1   4.1e-29   9.8e-27   92.3   0.0   149   285   158   295   151   295 0.91 | transcript=PVX_100935.1 | gene=PVX_100935 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH 1, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH 1, putative | location=Pv_Sal1_chr14:2499632-2502322(+) | protein_length=896 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091615.1-p1      -            950 6354at5820           -            285   6.3e-25   86.4   0.0   1   1   4.1e-27   9.8e-25   85.8   0.0   145   285   395   536   383   536 0.93 | transcript=PVX_091615.1 | gene=PVX_091615 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent zinc metalloprotease FTSH, putative | transcript_product=ATP-dependent zinc metalloprotease FTSH, putative | location=Pv_Sal1_chr09:647681-650533(-) | protein_length=950 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117590.1-p1      -            439 6354at5820           -            285   9.4e-25   85.8   0.0   1   1   6.1e-27   1.5e-24   85.2   0.0   144   272   110   237    99   249 0.90 | transcript=PVX_117590.1 | gene=PVX_117590 | organism=Plasmodium_vivax_Sal-1 | gene_product=vacuolar protein sorting-associated protein 4, putative | transcript_product=vacuolar protein sorting-associated protein 4, putative | location=Pv_Sal1_chr12:1980846-1982165(+) | protein_length=439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000850.1-p1      -            700 6354at5820           -            285   2.7e-19   67.9   0.0   1   1   1.7e-21   4.2e-19   67.3   0.0   142   281   414   552   387   556 0.87 | transcript=PVX_000850.1 | gene=PVX_000850 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr03:258494-260596(-) | protein_length=700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 6354at5820           -            285   1.2e-17   62.5   0.0   1   2   6.3e-17   1.5e-14   52.3   0.0   179   279   282   391   246   397 0.76 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 6354at5820           -            285   1.2e-17   62.5   0.0   2   2    0.0024      0.58    7.8   0.0   188   227   572   611   539   646 0.75 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093570.1-p1      -           1171 6354at5820           -            285     3e-15   54.6   0.0   1   1     2e-17   4.7e-15   54.0   0.0   188   283   597   693   586   699 0.85 | transcript=PVX_093570.1 | gene=PVX_093570 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:648308-651823(-) | protein_length=1171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088250.1-p1      -            988 6354at5820           -            285   2.1e-08   32.1   0.0   1   1   1.6e-10   3.9e-08   31.3   0.0   184   271   744   832   739   846 0.90 | transcript=PVX_088250.1 | gene=PVX_088250 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:535081-538220(+) | protein_length=988 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 6354at5820           -            285   3.5e-08   31.5   0.0   1   2       3.1   7.5e+02   -2.5   0.0   229   249    35    55    31    60 0.86 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087895.1-p1      -            665 6354at5820           -            285   3.5e-08   31.5   0.0   2   2   5.1e-10   1.2e-07   29.7   0.0   187   271   344   430   339   440 0.80 | transcript=PVX_087895.1 | gene=PVX_087895 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr01:269002-270999(+) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 6354at5820           -            285   8.1e-05   20.4   0.0   1   1   5.3e-07   0.00013   19.8   0.0   178   261   337   437   315   462 0.61 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086100.1-p1      -           1222 6354at5820           -            285   0.00014   19.6   0.0   1   2   0.00041     0.098   10.3   0.0   224   264   555   595   501   608 0.81 | transcript=PVX_086100.1 | gene=PVX_086100 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease, putative | transcript_product=ATP-dependent Clp protease, putative | location=Pv_Sal1_chr13:1826035-1829703(-) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086100.1-p1      -           1222 6354at5820           -            285   0.00014   19.6   0.0   2   2    0.0062       1.5    6.4   0.0   179   226   854   906   793   950 0.64 | transcript=PVX_086100.1 | gene=PVX_086100 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease, putative | transcript_product=ATP-dependent Clp protease, putative | location=Pv_Sal1_chr13:1826035-1829703(-) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098815.1-p1      -            824 6354at5820           -            285   0.00022   19.0   0.1   1   2   1.2e-05    0.0028   15.4   0.0   185   242   432   491   403   505 0.75 | transcript=PVX_098815.1 | gene=PVX_098815 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent heat shock protein, putative | transcript_product=ATP-dependent heat shock protein, putative | location=Pv_Sal1_chr07:270590-273064(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098815.1-p1      -            824 6354at5820           -            285   0.00022   19.0   0.1   2   2      0.35        84    0.7   0.0   245   277   628   663   611   669 0.66 | transcript=PVX_098815.1 | gene=PVX_098815 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent heat shock protein, putative | transcript_product=ATP-dependent heat shock protein, putative | location=Pv_Sal1_chr07:270590-273064(-) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 6354at5820           -            285    0.0021   15.7   0.0   1   2         2   4.9e+02   -1.8   0.0   177   200   514   537   508   547 0.84 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117320.1-p1      -            742 6354at5820           -            285    0.0021   15.7   0.0   2   2   4.1e-05    0.0099   13.6   0.0   212   256   629   673   620   689 0.84 | transcript=PVX_117320.1 | gene=PVX_117320 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1769066-1771294(+) | protein_length=742 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6354at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6354at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6354at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:04 2026
# [ok]
