#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090876.1-p1      -           3435 198at5820            -           1815         0 3083.4 193.8   1  11  2.3e-130  6.4e-127  423.0  12.1     1   243     1   252     1   260 0.90 | transcript=PVX_090876.1 | gene=PVX_090876 | organism=Plasmodium_vivax_Sal-1 | gene_product=CCR4-NOT transcription complex subunit 1, putative | transcript_product=CCR4-NOT transcription complex subunit 1, putative | location=Pv_Sal1_chr09:49497-59804(+) | protein_length=3435 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   1   9         2   5.5e+03  -10.6  10.4   227   289  1054  1122  1017  1147 0.61 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   2   9   4.6e-45   1.3e-41  140.2  12.7   379   582  1490  1689  1481  1711 0.86 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   3   9   1.6e-42   4.4e-39  131.7  15.9   648   882  2244  2473  2221  2478 0.87 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   4   9         2   5.5e+03  -14.6  20.5   215   279  2737  2802  2726  2825 0.46 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   5   9     0.039   1.1e+02   -2.2   0.5   947   998  3320  3371  3306  3377 0.87 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   6   9   3.1e-08   8.5e-05   18.1   6.7  1001  1106  3452  3563  3447  3588 0.75 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   7   9     0.025        69   -1.5   2.6   517   662  3717  3869  3711  3875 0.77 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   8   9   5.4e-98   1.5e-94  315.6  10.2  1330  1655  4145  4466  4091  4485 0.89 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085590.1-p1      -           4730 198at5820            -           1815  1.4e-210  700.3  80.4   9   9   3.4e-52   9.4e-49  163.8   3.2  1668  1783  4612  4727  4604  4730 0.96 | transcript=PVX_085590.1 | gene=PVX_085590 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1329254-1343591(-) | protein_length=4730 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/198at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/198at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/198at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:39 2026
# [ok]
