#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084580.1-p1      -           1677 1387at5820           -           1102         0 2115.7 115.6   1   5         0         0 1333.3  33.3     1   637    12   685    12   710 0.95 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 1387at5820           -           1102   9.4e-37  124.5  42.4   4   4       1.1   6.3e+02   -4.0   0.1   814   843   979  1008   975  1060 0.74 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1387at5820           -           1102   1.6e-31  107.2  25.6   1   4   3.4e-11   1.9e-08   30.8   0.3    84   140   158   214   106   218 0.90 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1387at5820           -           1102   1.6e-31  107.2  25.6   2   4   1.5e-17     8e-15   51.9   3.2   138   332   253   432   244   448 0.81 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1387at5820           -           1102   1.6e-31  107.2  25.6   3   4   2.7e-14   1.5e-11   41.1   0.1   354   412   515   573   513   627 0.86 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 1387at5820           -           1102   1.6e-31  107.2  25.6   4   4       4.9   2.7e+03   -6.1   4.1   961  1011  1426  1479  1387  1486 0.63 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1387at5820           -           1102     8e-27   91.7  14.7   1   6   4.2e-23   2.3e-20   70.2   5.2    66   271   194   411   178   460 0.79 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1387at5820           -           1102     8e-27   91.7  14.7   2   6   2.8e-13   1.5e-10   37.7   1.9   286   439   504   636   495   680 0.79 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1387at5820           -           1102     8e-27   91.7  14.7   3   6       2.4   1.3e+03   -5.1   5.2   976  1043  1004  1071   988  1084 0.52 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1387at5820           -           1102     8e-27   91.7  14.7   4   6        10   5.5e+03  -13.7  29.3   584   719  1399  1537  1367  1575 0.62 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1387at5820           -           1102     8e-27   91.7  14.7   5   6        10   5.5e+03   -7.7   4.6   643   667  1713  1737  1693  1767 0.49 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094710.1-p1      -           3265 1387at5820           -           1102     8e-27   91.7  14.7   6   6       2.7   1.5e+03   -5.3   5.1  1027  1081  1856  1913  1841  1930 0.67 | transcript=PVX_094710.1 | gene=PVX_094710 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-4, putative | transcript_product=kinesin-4, putative | location=Pv_Sal1_chr08:467259-477330(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1387at5820           -           1102   3.6e-23   79.6  12.8   1   3   6.4e-26   3.6e-23   79.6  12.8    84   416    51   383    14   394 0.76 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1387at5820           -           1102   3.6e-23   79.6  12.8   2   3        10   5.5e+03  -10.3  11.3   979  1035   468   524   449   533 0.51 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092930.1-p1      -            797 1387at5820           -           1102   3.6e-23   79.6  12.8   3   3      0.24   1.3e+02   -1.8   0.4    20   130   680   795   670   797 0.53 | transcript=PVX_092930.1 | gene=PVX_092930 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-like protein, putative | transcript_product=kinesin-like protein, putative | location=Pv_Sal1_chr09:1827599-1831130(-) | protein_length=797 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1387at5820           -           1102   4.4e-19   66.0   6.7   1   3     8e-22   4.4e-19   66.0   6.7    76   411    80   377    17   386 0.79 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1387at5820           -           1102   4.4e-19   66.0   6.7   2   3      0.15        81   -1.1   0.2   862   916   470   523   422   531 0.69 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101150.1-p1      -           1103 1387at5820           -           1102   4.4e-19   66.0   6.7   3   3       3.1   1.7e+03   -5.5   3.6  1015  1015   962   962   902  1089 0.59 | transcript=PVX_101150.1 | gene=PVX_101150 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-13, putative | transcript_product=kinesin-13, putative | location=Pv_Sal1_chr14:2675032-2678492(+) | protein_length=1103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 1387at5820           -           1102   1.2e-12   44.8   6.6   1   2   0.00085      0.47    6.3   0.1    80   140   300   355   228   365 0.74 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096095.1-p1      -           2299 1387at5820           -           1102   1.2e-12   44.8   6.6   2   2   4.1e-13   2.2e-10   37.2   3.2   170   428   637   875   627   893 0.78 | transcript=PVX_096095.1 | gene=PVX_096095 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-19, putative | transcript_product=kinesin-19, putative | location=Pv_Sal1_chr03:775214-782113(+) | protein_length=2299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 1387at5820           -           1102   1.6e-10   37.7  10.6   1   2   6.2e-10   3.4e-07   26.6   0.3    88   152   109   174    95   180 0.87 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088220.1-p1      -            794 1387at5820           -           1102   1.6e-10   37.7  10.6   2   2   1.6e-05    0.0086   12.1   4.9   233   408   239   399   229   413 0.69 | transcript=PVX_088220.1 | gene=PVX_088220 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin, putative | transcript_product=kinesin, putative | location=Pv_Sal1_chr01:511749-514964(+) | protein_length=794 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1387at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1387at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1387at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:40 2026
# [ok]
