#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118455.1-p1      -            763 6648at5820           -            520  5.2e-196  650.5  25.8   1   1  6.7e-196  6.2e-193  640.3  25.8     1   520     1   763     1   763 0.89 | transcript=PVX_118455.1 | gene=PVX_118455 | organism=Plasmodium_vivax_Sal-1 | gene_product=clathrin coat assembly protein AP50, putative | transcript_product=clathrin coat assembly protein AP50, putative | location=Pv_Sal1_chr12:2725349-2727640(+) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091540.1-p1      -            155 6648at5820           -            520   1.6e-06   25.2   0.5   1   1   1.8e-09   1.6e-06   25.2   0.5    57   144    61   145     6   153 0.80 | transcript=PVX_091540.1 | gene=PVX_091540 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit sigma, putative | transcript_product=AP-1 complex subunit sigma, putative | location=Pv_Sal1_chr09:597359-597970(+) | protein_length=155 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090195.1-p1      -            146 6648at5820           -            520    0.0036   14.2   8.1   1   1   4.3e-06    0.0039   14.0   8.1     7   129     8   132     2   141 0.69 | transcript=PVX_090195.1 | gene=PVX_090195 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit sigma, putative | transcript_product=AP-4 complex subunit sigma, putative | location=Pv_Sal1_chr05:1223186-1223839(-) | protein_length=146 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6648at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6648at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6648at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:56 2026
# [ok]
