#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_095475.1-p1      -           2106 374at5820            -           1549         0 2465.7  89.7   1   7  1.7e-207  1.3e-204  680.6   4.5    28   416    92   525    85   529 0.92 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113965.1-p1      -           1488 374at5820            -           1549   9.5e-12   41.4   8.1   2   2   1.9e-12   1.5e-09   34.1   0.3    34   170   325   463   302   493 0.79 | transcript=PVX_113965.1 | gene=PVX_113965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1354399-1358865(-) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081560.1-p1      -            159 374at5820            -           1549   3.9e-06   22.8   5.6   1   1   5.9e-09   4.7e-06   22.5   5.6  1294  1370    47   121    33   138 0.59 | transcript=PVX_081560.1 | gene=PVX_081560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:439477-440434(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119355.1-p1      -            377 374at5820            -           1549    0.0016   14.1   0.2   1   1   2.6e-06    0.0021   13.7   0.2  1172  1263   311   354   293   361 0.55 | transcript=PVX_119355.1 | gene=PVX_119355 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite (CS) protein | transcript_product=circumsporozoite (CS) protein | location=Pv_Sal1_chr08:1537705-1538838(+) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_188290-t26_1-p1  -            120 374at5820            -           1549    0.0032   13.1   0.1   1   1   4.7e-06    0.0037   12.9   0.1  1171  1194    90   113    72   118 0.83 | transcript=PVX_188290-t26_1 | gene=PVX_188290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002430:312-674(-) | protein_length=120 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/374at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/374at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/374at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:30 2026
# [ok]
