#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079830.1-p1      -            437 8463at5820           -            312  9.4e-175  578.4  42.9   1   2   5.3e-06    0.0024   15.4   8.7     5    41    31    71    23    75 0.76 | transcript=PVX_079830.1 | gene=PVX_079830 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr10:131163-134034(-) | protein_length=437 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119295.1-p1      -            611 8463at5820           -            312   1.1e-10   39.6  15.2   1   1   5.9e-13   2.7e-10   38.2  15.2   130   254   429   552   411   597 0.69 | transcript=PVX_119295.1 | gene=PVX_119295 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr08:1578529-1581275(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 8463at5820           -            312   1.5e-10   39.0   4.9   1   1   6.2e-13   2.9e-10   38.1   4.9   113   249   417   547   404   579 0.64 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 8463at5820           -            312   1.3e-07   29.4  21.6   1   1   4.5e-09   2.1e-06   25.5  21.6   131   276   100   272    13   279 0.58 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8463at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8463at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8463at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:14 2026
# [ok]
