#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099195.1-p1      -            719 4609at5820           -            472  1.1e-231  767.9   8.9   1   4  9.4e-121  4.3e-118  393.3   0.2     6   215    24   235    20   249 0.97 | transcript=PVX_099195.1 | gene=PVX_099195 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:577155-579314(-) | protein_length=719 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114200.1-p1      -           1639 4609at5820           -            472   1.4e-09   35.6  13.1   4   4     0.096        44    0.9   0.6    97   148  1191  1245  1186  1269 0.75 | transcript=PVX_114200.1 | gene=PVX_114200 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1176302-1181740(-) | protein_length=1639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 4609at5820           -            472   1.5e-09   35.4  26.3   1   4   2.9e-08   1.3e-05   22.4   2.3   108   260    76   236    67   238 0.78 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 4609at5820           -            472   1.5e-09   35.4  26.3   2   4   2.2e-07    0.0001   19.5   4.9    58   200   182   318   176   321 0.83 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 4609at5820           -            472   1.5e-09   35.4  26.3   3   4   0.00037      0.17    8.9   2.0   229   347   317   436   307   445 0.77 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 4609at5820           -            472   1.5e-09   35.4  26.3   4   4    0.0051       2.3    5.1   2.7    96   165   443   511   433   530 0.80 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094715.1-p1      -            776 4609at5820           -            472   4.5e-07   27.3   8.9   1   1   9.9e-10   4.5e-07   27.3   8.9    53   154   171   270   118   306 0.78 | transcript=PVX_094715.1 | gene=PVX_094715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:479165-481693(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 4609at5820           -            472   0.00014   19.1   1.8   1   2    0.0021      0.98    6.4   0.2    83   188   247   351   243   365 0.74 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082435.1-p1      -           1039 4609at5820           -            472   0.00014   19.1   1.8   2   2   6.1e-05     0.028   11.5   0.1   332   386   435   489   421   522 0.88 | transcript=PVX_082435.1 | gene=PVX_082435 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:910428-913547(-) | protein_length=1039 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002810.1-p1      -            302 4609at5820           -            472   0.00086   16.4   5.7   1   2   2.1e-05    0.0097   13.0   0.5    93   149    58   114    43   133 0.71 | transcript=PVX_002810.1 | gene=PVX_002810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:293855-294763(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002810.1-p1      -            302 4609at5820           -            472   0.00086   16.4   5.7   2   2    0.0027       1.2    6.0   0.6    15   156   135   280   131   294 0.76 | transcript=PVX_002810.1 | gene=PVX_002810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:293855-294763(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099965.1-p1      -           1149 4609at5820           -            472   0.00097   16.3  13.6   1   4      0.49   2.3e+02   -1.4   0.2   384   462   339   418   332   428 0.71 | transcript=PVX_099965.1 | gene=PVX_099965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1140688-1144137(-) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099965.1-p1      -           1149 4609at5820           -            472   0.00097   16.3  13.6   2   4   2.1e-06   0.00097   16.3  13.6   212   374   429   600   419   630 0.71 | transcript=PVX_099965.1 | gene=PVX_099965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1140688-1144137(-) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099965.1-p1      -           1149 4609at5820           -            472   0.00097   16.3  13.6   3   4    0.0003      0.14    9.2   0.7    59   127   646   714   636   720 0.91 | transcript=PVX_099965.1 | gene=PVX_099965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1140688-1144137(-) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099965.1-p1      -           1149 4609at5820           -            472   0.00097   16.3  13.6   4   4       2.6   1.2e+03   -3.8   0.1    91   125  1049  1083  1045  1095 0.68 | transcript=PVX_099965.1 | gene=PVX_099965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1140688-1144137(-) | protein_length=1149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092705.1-p1      -            735 4609at5820           -            472      0.11    9.5  12.2   1   2   3.6e-05     0.017   12.2   3.0   349   414   251   316   214   330 0.77 | transcript=PVX_092705.1 | gene=PVX_092705 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1656594-1658801(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092705.1-p1      -            735 4609at5820           -            472      0.11    9.5  12.2   2   2     0.042        19    2.1   1.9    69   161   469   558   457   593 0.63 | transcript=PVX_092705.1 | gene=PVX_092705 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1656594-1658801(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 4609at5820           -            472      0.18    8.8  56.4   1   4   2.2e-05      0.01   12.9   0.8    13    93    44   123    36   124 0.82 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 4609at5820           -            472      0.18    8.8  56.4   2   4   8.7e-06     0.004   14.3  23.8   233   394   115   281   109   297 0.84 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 4609at5820           -            472      0.18    8.8  56.4   3   4       4.7   2.2e+03   -4.7   6.6   333   371   323   361   303   402 0.72 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094800.1-p1      -            543 4609at5820           -            472      0.18    8.8  56.4   4   4     0.019       8.8    3.2   4.3   334   377   489   534   466   542 0.79 | transcript=PVX_094800.1 | gene=PVX_094800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:528104-529735(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4609at5820           -            472       2.8    4.9  26.0   1   5      0.87     4e+02   -2.2   0.1    92   120    93   124    83   137 0.51 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4609at5820           -            472       2.8    4.9  26.0   2   5     0.019       8.6    3.3   0.1    52    91   185   224   182   239 0.75 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4609at5820           -            472       2.8    4.9  26.0   3   5    0.0019      0.87    6.5   2.8   235   273   341   381   329   389 0.76 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4609at5820           -            472       2.8    4.9  26.0   4   5     0.055        25    1.7   0.2    58   125   549   623   541   648 0.54 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113574.1-p1      -           1215 4609at5820           -            472       2.8    4.9  26.0   5   5     0.038        17    2.3   0.1   284   328   744   789   731   805 0.56 | transcript=PVX_113574.1 | gene=PVX_113574 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1688371-1692018(-) | protein_length=1215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099090.1-p1      -            769 4609at5820           -            472       3.3    4.6  30.8   1   5     0.055        25    1.7   2.4   401   460   239   301   224   310 0.81 | transcript=PVX_099090.1 | gene=PVX_099090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:498180-500489(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099090.1-p1      -            769 4609at5820           -            472       3.3    4.6  30.8   2   5    0.0082       3.8    4.4   0.0    54    86   433   465   425   487 0.84 | transcript=PVX_099090.1 | gene=PVX_099090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:498180-500489(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099090.1-p1      -            769 4609at5820           -            472       3.3    4.6  30.8   3   5      0.45   2.1e+02   -1.3   1.2   358   386   515   543   509   585 0.67 | transcript=PVX_099090.1 | gene=PVX_099090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:498180-500489(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099090.1-p1      -            769 4609at5820           -            472       3.3    4.6  30.8   4   5      0.01       4.7    4.1   0.7   334   388   609   666   589   671 0.76 | transcript=PVX_099090.1 | gene=PVX_099090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:498180-500489(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099090.1-p1      -            769 4609at5820           -            472       3.3    4.6  30.8   5   5   4.9e-05     0.023   11.8   2.9    50   114   661   725   658   739 0.86 | transcript=PVX_099090.1 | gene=PVX_099090 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:498180-500489(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4609at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4609at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4609at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:27 2026
# [ok]
