#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118285.1-p1      -            207 11342at5820          -            189  5.2e-127  419.4  19.1   1   1  8.6e-130    6e-127  419.2  19.1     1   189     5   195     5   195 0.99 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114465.1-p1      -            140 11342at5820          -            189   0.00025   19.3   0.2   1   2      0.42   2.9e+02   -0.5   0.0    53    83    19    49     9    55 0.75 | transcript=PVX_114465.1 | gene=PVX_114465 | organism=Plasmodium_vivax_Sal-1 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=Pv_Sal1_chr11:945073-946681(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114465.1-p1      -            140 11342at5820          -            189   0.00025   19.3   0.2   2   2   6.5e-07   0.00045   18.5   0.2    16    99    52   133    30   139 0.80 | transcript=PVX_114465.1 | gene=PVX_114465 | organism=Plasmodium_vivax_Sal-1 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=Pv_Sal1_chr11:945073-946681(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 11342at5820          -            189   0.00081   17.7   0.3   1   1   3.1e-06    0.0022   16.3   0.3    39    99   529   594   505   600 0.81 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11342at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11342at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11342at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:10 2026
# [ok]
