#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123800.1-p1      -           1680 1124at5820           -           1191         0 2427.0 172.3   1   6  4.8e-147  3.8e-144  480.4  39.0     1   264     1   275     1   301 0.94 | transcript=PVX_123800.1 | gene=PVX_123800 | organism=Plasmodium_vivax_Sal-1 | gene_product=phospholipid-transporting ATPase, putative | transcript_product=phospholipid-transporting ATPase, putative | location=Pv_Sal1_chr14:1790056-1796198(+) | protein_length=1680 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1124at5820           -           1191   1.2e-53  180.6  82.5   1   5   2.9e-08   2.3e-05   20.7  32.4    51   476    28   502     8   513 0.62 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1124at5820           -           1191   1.2e-53  180.6  82.5   2   5   1.9e-08   1.5e-05   21.3   0.1   477   510   617   650   596   672 0.85 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1124at5820           -           1191   1.2e-53  180.6  82.5   3   5     0.012       9.7    2.1   0.1   638   700   737   799   724   805 0.90 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1124at5820           -           1191   1.2e-53  180.6  82.5   4   5   1.5e-26   1.1e-23   81.3   4.3   693   869   883  1065   878  1073 0.91 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123625.1-p1      -           1514 1124at5820           -           1191   1.2e-53  180.6  82.5   5   5   1.6e-22   1.3e-19   67.9  21.6   871  1186  1115  1452  1075  1457 0.76 | transcript=PVX_123625.1 | gene=PVX_123625 | organism=Plasmodium_vivax_Sal-1 | gene_product=aminophospholipid-transporting P-ATPase, putative | transcript_product=aminophospholipid-transporting P-ATPase, putative | location=Pv_Sal1_chr14:1597158-1603216(-) | protein_length=1514 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1124at5820           -           1191   2.2e-38  130.1  41.2   1   8   4.3e-13   3.4e-10   36.7   6.1    56   190    86   226    58   275 0.80 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1124at5820           -           1191   2.2e-38  130.1  41.2   2   8   1.1e-05    0.0089   12.1  15.8   357   476   290   427   272   451 0.75 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1124at5820           -           1191   2.2e-38  130.1  41.2   3   8   1.3e-07    0.0001   18.5   0.0   471   514   677   720   663   730 0.88 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1124at5820           -           1191   2.2e-38  130.1  41.2   4   8         7   5.5e+03  -12.4  12.0   179   247  1195  1263  1156  1285 0.57 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1124at5820           -           1191   2.2e-38  130.1  41.2   5   8   0.00055      0.43    6.5   0.1   625   730  1397  1502  1369  1507 0.77 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1124at5820           -           1191   2.2e-38  130.1  41.2   6   8   2.4e-32   1.9e-29  100.5  27.6   737  1177  1645  2118  1632  2134 0.77 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1124at5820           -           1191   2.2e-38  130.1  41.2   7   8         7   5.5e+03   -8.7   5.9   202   240  3120  3156  3103  3160 0.81 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092535.1-p1      -           3979 1124at5820           -           1191   2.2e-38  130.1  41.2   8   8         7   5.5e+03  -10.6   7.8   435   453  3556  3574  3439  3641 0.48 | transcript=PVX_092535.1 | gene=PVX_092535 | organism=Plasmodium_vivax_Sal-1 | gene_product=Adenylate and Guanylate cyclase catalytic domain containing protein | transcript_product=Adenylate and Guanylate cyclase catalytic domain containing protein | location=Pv_Sal1_chr09:1454993-1466932(-) | protein_length=3979 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117035.1-p1      -           1882 1124at5820           -           1191   8.2e-21   71.9  32.6   1   7      0.15   1.2e+02   -1.5   1.7   592   620     5    32     2    86 0.71 | transcript=PVX_117035.1 | gene=PVX_117035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1478986-1484834(-) | protein_length=1882 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117035.1-p1      -           1882 1124at5820           -           1191   8.2e-21   71.9  32.6   2   7    0.0014       1.1    5.2   0.4    80   182   288   389   271   394 0.78 | transcript=PVX_117035.1 | gene=PVX_117035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1478986-1484834(-) | protein_length=1882 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117035.1-p1      -           1882 1124at5820           -           1191   8.2e-21   71.9  32.6   3   7   6.7e-06    0.0053   12.9   0.2   255   316   393   454   388   463 0.93 | transcript=PVX_117035.1 | gene=PVX_117035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1478986-1484834(-) | protein_length=1882 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117035.1-p1      -           1882 1124at5820           -           1191   8.2e-21   71.9  32.6   4   7   5.2e-09   4.1e-06   23.2   0.0   353   513   590   753   577   761 0.80 | transcript=PVX_117035.1 | gene=PVX_117035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1478986-1484834(-) | protein_length=1882 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117035.1-p1      -           1882 1124at5820           -           1191   8.2e-21   71.9  32.6   5   7      0.17   1.3e+02   -1.7   0.2   560   602   867   901   844   912 0.61 | transcript=PVX_117035.1 | gene=PVX_117035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1478986-1484834(-) | protein_length=1882 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117035.1-p1      -           1882 1124at5820           -           1191   8.2e-21   71.9  32.6   6   7   1.4e-07   0.00011   18.5   0.5   703   833  1126  1253  1100  1286 0.83 | transcript=PVX_117035.1 | gene=PVX_117035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1478986-1484834(-) | protein_length=1882 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117035.1-p1      -           1882 1124at5820           -           1191   8.2e-21   71.9  32.6   7   7     1e-11   8.2e-09   32.1   0.8   874  1022  1488  1641  1465  1714 0.82 | transcript=PVX_117035.1 | gene=PVX_117035 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1478986-1484834(-) | protein_length=1882 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1124at5820           -           1191   1.4e-19   67.8  19.4   1   4   3.4e-05     0.027   10.5   0.3   104   185    90   175    47   191 0.63 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1124at5820           -           1191   1.4e-19   67.8  19.4   2   4   1.4e-05     0.011   11.8   1.4   367   513   211   375   193   384 0.71 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1124at5820           -           1191   1.4e-19   67.8  19.4   3   4   6.2e-12   4.9e-09   32.9   0.4   681   836   634   787   629   794 0.85 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081455.1-p1      -           1196 1124at5820           -           1191   1.4e-19   67.8  19.4   4   4   3.9e-09   3.1e-06   23.6   0.5   892   965   846   918   835   954 0.80 | transcript=PVX_081455.1 | gene=PVX_081455 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=Pv_Sal1_chr02:354934-358886(+) | protein_length=1196 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111390.1-p1      -            629 1124at5820           -           1191      0.11    8.5   2.6   1   1   0.00019      0.15    8.1   2.6   542   613   270   340   251   347 0.78 | transcript=PVX_111390.1 | gene=PVX_111390 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=Pv_Sal1_chr06:504070-505959(-) | protein_length=629 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1124at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1124at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1124at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:51 2026
# [ok]
