#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000735.1-p1      -            953 2909at5820           -            517  4.1e-264  875.5  46.9   1   4   2.2e-62   1.7e-59  200.4  19.6     5   142     9   167     2   201 0.81 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 2909at5820           -            517   6.2e-13   46.7   2.1   2   2   1.3e-06     0.001   16.3   0.0   380   445   716   797   710   851 0.68 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 2909at5820           -            517   2.4e-12   44.8   2.2   1   1   7.6e-14     6e-11   40.2   2.2   231   481   784  1071   769  1088 0.68 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122290.1-p1      -            782 2909at5820           -            517   7.1e-10   36.7  14.4   1   3      0.46   3.6e+02   -2.0   0.4   146   177   224   255   212   278 0.74 | transcript=PVX_122290.1 | gene=PVX_122290 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=Pv_Sal1_chr14:471314-473986(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122290.1-p1      -            782 2909at5820           -            517   7.1e-10   36.7  14.4   2   3         7   5.5e+03  -12.9  16.3   141   180   405   443   227   459 0.62 | transcript=PVX_122290.1 | gene=PVX_122290 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=Pv_Sal1_chr14:471314-473986(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122290.1-p1      -            782 2909at5820           -            517   7.1e-10   36.7  14.4   3   3   8.9e-13   7.1e-10   36.7  14.4   146   477   410   779   390   782 0.61 | transcript=PVX_122290.1 | gene=PVX_122290 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM6, putative | transcript_product=protein phosphatase PPM6, putative | location=Pv_Sal1_chr14:471314-473986(+) | protein_length=782 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2909at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:35 2026
# [ok]
