#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097755.1-p1      -            800 3060at5820           -            709         0 1354.9  75.9   1   1         0         0 1353.2  75.9     1   709    10   796    10   796 0.95 | transcript=PVX_097755.1 | gene=PVX_097755 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=Pv_Sal1_chr10:1190129-1193892(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 3060at5820           -            709   7.7e-40  135.2  18.6   1   6   7.6e-08     7e-05   19.7   0.2    59   118    88   148    55   161 0.85 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 3060at5820           -            709   7.7e-40  135.2  18.6   2   6   6.1e-07   0.00056   16.7   0.1   122   165   179   222   176   237 0.90 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 3060at5820           -            709   7.7e-40  135.2  18.6   3   6   1.9e-14   1.7e-11   41.5   0.0   180   318   265   427   253   440 0.71 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 3060at5820           -            709   7.7e-40  135.2  18.6   4   6   7.3e-13   6.7e-10   36.3   3.0   343   455   483   607   460   655 0.75 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 3060at5820           -            709   7.7e-40  135.2  18.6   5   6     0.008       7.4    3.1   0.0   494   532   676   714   663   717 0.88 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124120.1-p1      -           1894 3060at5820           -            709   7.7e-40  135.2  18.6   6   6   3.9e-09   3.6e-06   23.9   0.4   549   609   775   838   766   895 0.89 | transcript=PVX_124120.1 | gene=PVX_124120 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin D, putative | transcript_product=myosin D, putative | location=Pv_Sal1_chr14:2069276-2075657(-) | protein_length=1894 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 3060at5820           -            709   2.2e-30  104.0  23.7   1   5   1.8e-11   1.7e-08   31.6   0.4    29   166    32   187     7   198 0.76 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 3060at5820           -            709   2.2e-30  104.0  23.7   2   5   1.2e-11   1.1e-08   32.3   0.0   177   238   285   346   277   368 0.83 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 3060at5820           -            709   2.2e-30  104.0  23.7   3   5     0.055        50    0.3   0.8   238   271   372   406   367   411 0.86 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 3060at5820           -            709   2.2e-30  104.0  23.7   4   5    0.0085       7.8    3.0   0.0   279   318   521   562   515   571 0.82 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113830.1-p1      -           1955 3060at5820           -            709   2.2e-30  104.0  23.7   5   5   1.3e-14   1.2e-11   42.1   4.7   391   531   697   863   691   875 0.78 | transcript=PVX_113830.1 | gene=PVX_113830 | organism=Plasmodium_vivax_Sal-1 | gene_product=myosin-like protein, putative | transcript_product=myosin-like protein, putative | location=Pv_Sal1_chr11:1456779-1462646(+) | protein_length=1955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3060at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3060at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3060at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:35 2026
# [ok]
