#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091430.1-p1      -            294 10500at5820          -            250  1.1e-143  475.3  25.4   1   1    2e-145  9.3e-143  472.3  25.4     1   250     1   279     1   279 0.92 | transcript=PVX_091430.1 | gene=PVX_091430 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:510684-512946(+) | protein_length=294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087080.1-p1      -            525 10500at5820          -            250   5.7e-10   37.4   8.7   3   3       1.1     5e+02   -1.7   0.2     4    26   380   402   377   417 0.64 | transcript=PVX_087080.1 | gene=PVX_087080 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr07:1253726-1256631(-) | protein_length=525 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091670.1-p1      -            289 10500at5820          -            250   3.8e-09   34.7  24.0   1   1     6e-11   2.8e-08   31.9  24.0    45   154    59   167    32   265 0.77 | transcript=PVX_091670.1 | gene=PVX_091670 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr09:707084-708763(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 10500at5820          -            250   3.9e-09   34.6  11.0   1   2   8.6e-12   3.9e-09   34.6  11.0    33   147    51   154    15   184 0.70 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003580.1-p1      -            287 10500at5820          -            250   3.9e-09   34.6  11.0   2   2      0.77   3.5e+02   -1.2   0.1   169   199   214   243   193   264 0.66 | transcript=PVX_003580.1 | gene=PVX_003580 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr04:764007-766212(-) | protein_length=287 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116745.1-p1      -            641 10500at5820          -            250   2.5e-08   32.0   2.1   1   1   9.6e-11   4.4e-08   31.2   2.1    93   158   436   506   407   585 0.67 | transcript=PVX_116745.1 | gene=PVX_116745 | organism=Plasmodium_vivax_Sal-1 | gene_product=palmitoyltransferase, putative | transcript_product=palmitoyltransferase, putative | location=Pv_Sal1_chr12:1236744-1239509(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10500at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10500at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10500at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:28 2026
# [ok]
