#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089165.1-p1      -            318 9386at5820           -            279  4.7e-176  581.9   3.5   1   1  1.2e-178  6.2e-176  581.5   3.5    10   279    32   313    25   313 0.97 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 9386at5820           -            279   5.6e-08   30.5   3.5   3   3     6e-05      0.03   11.7   0.0    14    66   184   233   165   240 0.85 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 9386at5820           -            279   9.6e-08   29.7   1.8   1   3   4.8e-07   0.00024   18.6   0.0     4    93    24   114    21   127 0.83 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 9386at5820           -            279   9.6e-08   29.7   1.8   2   3   0.00023      0.11    9.8   0.2   188   269   123   201   113   211 0.80 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 9386at5820           -            279   9.6e-08   29.7   1.8   3   3      0.38   1.9e+02   -0.8   0.0    13    63   234   281   222   307 0.64 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 9386at5820           -            279   5.6e-07   27.2   9.7   1   4   0.00045      0.23    8.8   0.0    24    90    61   142    42   153 0.62 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 9386at5820           -            279   5.6e-07   27.2   9.7   2   4      0.31   1.5e+02   -0.5   0.0    16    39   251   274   237   313 0.70 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 9386at5820           -            279   5.6e-07   27.2   9.7   3   4      0.01       5.2    4.3   1.2   231   277   446   494   433   496 0.77 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 9386at5820           -            279   5.6e-07   27.2   9.7   4   4   1.7e-06   0.00083   16.8   0.1    10    76   521   587   513   599 0.90 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 9386at5820           -            279     3e-06   24.8   0.4   1   3       0.6     3e+02   -1.5   0.0   213   269    21    71     2    81 0.51 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 9386at5820           -            279     3e-06   24.8   0.4   2   3   4.7e-05     0.024   12.0   0.0    10    84    91   163    83   175 0.77 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123820.1-p1      -            306 9386at5820           -            279     3e-06   24.8   0.4   3   3   0.00018     0.092   10.1   0.0   201   253   229   279   216   302 0.49 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 9386at5820           -            279   3.7e-06   24.5  12.7   1   5    0.0014      0.68    7.2   0.1    17    55    16    55     8    64 0.78 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 9386at5820           -            279   3.7e-06   24.5  12.7   2   5     0.048        24    2.2   0.1    48    75    70    97    58   118 0.75 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 9386at5820           -            279   3.7e-06   24.5  12.7   3   5   0.00073      0.37    8.1   0.1     7    93   110   200   104   216 0.72 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 9386at5820           -            279   3.7e-06   24.5  12.7   4   5   0.00035      0.17    9.2   0.0    11    41   217   247   207   268 0.82 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000870.1-p1      -            380 9386at5820           -            279   3.7e-06   24.5  12.7   5   5     0.019       9.8    3.4   0.7   239   277   341   379   328   380 0.90 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 9386at5820           -            279   5.1e-06   24.1   0.5   1   3       0.8     4e+02   -1.9   0.0   214   269    22    71     3    81 0.51 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 9386at5820           -            279   5.1e-06   24.1   0.5   2   3     6e-05      0.03   11.7   0.0    10    84    91   163    83   175 0.77 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_254300-t26_1-p1  -            353 9386at5820           -            279   5.1e-06   24.1   0.5   3   3    0.0002       0.1    9.9   0.0   201   253   229   279   216   307 0.49 | transcript=PVX_254300-t26_1 | gene=PVX_254300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001108:1-1062(-) | protein_length=353 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9386at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9386at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9386at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:57 2026
# [ok]
