#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091110.1-p1      -            549 5900at5820           -            459  4.2e-245  812.5  46.9   1   2   1.1e-51   2.6e-49  167.0   1.8     1    88     6   100     6   105 0.94 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 5900at5820           -            459   1.5e-11   42.5   4.1   1   2       0.5   1.1e+02    0.0   0.4    69   114   121   161   114   190 0.60 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 5900at5820           -            459   1.5e-11   42.5   4.1   2   2   6.4e-14   1.5e-11   42.5   4.1    22   130   191   303   185   339 0.76 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089170.1-p1      -            691 5900at5820           -            459   8.7e-10   36.7   4.6   1   3   3.8e-12   8.7e-10   36.7   4.6    20    82   140   205   134   219 0.90 | transcript=PVX_089170.1 | gene=PVX_089170 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr05:358947-361022(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089170.1-p1      -            691 5900at5820           -            459   8.7e-10   36.7   4.6   2   3    0.0059       1.3    6.4  13.5   137   327   228   423   205   435 0.67 | transcript=PVX_089170.1 | gene=PVX_089170 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr05:358947-361022(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089170.1-p1      -            691 5900at5820           -            459   8.7e-10   36.7   4.6   3   3       3.9   8.9e+02   -2.9   2.3   144   235   489   590   448   607 0.48 | transcript=PVX_089170.1 | gene=PVX_089170 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr05:358947-361022(-) | protein_length=691 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 5900at5820           -            459     1e-09   36.5   2.3   1   1   7.9e-12   1.8e-09   35.6   2.3    19   101    52   135    30   168 0.71 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 5900at5820           -            459   4.2e-09   34.4  11.3   1   2   1.3e-07     3e-05   21.8   0.1    20    54     6    40     4    73 0.81 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116820.1-p1      -            339 5900at5820           -            459   4.2e-09   34.4  11.3   2   2     2e-05    0.0047   14.5   7.2    59   127   117   188   101   310 0.64 | transcript=PVX_116820.1 | gene=PVX_116820 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:1319034-1320053(-) | protein_length=339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 5900at5820           -            459   9.5e-09   33.3  14.4   1   2   3.7e-07   8.4e-05   20.3  11.3   149   278    65   211    35   214 0.75 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 5900at5820           -            459   9.5e-09   33.3  14.4   2   2   1.3e-05    0.0031   15.1   0.1   176   215   207   245   204   259 0.81 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114815.1-p1      -            201 5900at5820           -            459   4.9e-08   30.9   3.4   1   1   2.6e-10   5.9e-08   30.7   3.4    21    89     1    70     1   115 0.87 | transcript=PVX_114815.1 | gene=PVX_114815 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr11:613597-615229(-) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092455.1-p1      -            381 5900at5820           -            459   1.8e-07   29.1   9.4   1   1   9.2e-10   2.1e-07   28.8   9.1    18    87   108   179   104   361 0.85 | transcript=PVX_092455.1 | gene=PVX_092455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr09:1394400-1396156(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083515.1-p1      -            209 5900at5820           -            459   3.5e-07   28.1   0.7   1   1   2.1e-09   4.8e-07   27.6   0.7   143   229    45   134    16   141 0.83 | transcript=PVX_083515.1 | gene=PVX_083515 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=Pv_Sal1_chr12:59525-60545(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 5900at5820           -            459     5e-07   27.6   0.7   1   1   3.6e-09   8.3e-07   26.9   0.7    22    86   299   366   294   375 0.86 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094470.1-p1      -            723 5900at5820           -            459   1.5e-06   26.1   0.6   1   1     2e-08   4.6e-06   24.4   0.6    22    82     8    76     4    87 0.82 | transcript=PVX_094470.1 | gene=PVX_094470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:276121-278292(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 5900at5820           -            459   1.8e-06   25.8   0.0   1   1   1.4e-08   3.2e-06   25.0   0.0    18    85   125   195   111   201 0.85 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083155.1-p1      -            157 5900at5820           -            459   3.4e-06   24.9   1.2   1   1   1.7e-08   3.8e-06   24.7   1.2   139   225    63   155    44   157 0.74 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 5900at5820           -            459   5.2e-06   24.2   0.7   1   1   3.5e-08     8e-06   23.6   0.7    57    95    17    55     2    88 0.69 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117605.1-p1      -            104 5900at5820           -            459   0.00051   17.7   0.2   1   1   2.3e-06   0.00054   17.6   0.2   146   225    21   101     8   104 0.81 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5900at5820           -            459     0.016   12.7   0.2   1   2    0.0013      0.29    8.6   0.1   277   310   552   585   542   615 0.81 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5900at5820           -            459     0.016   12.7   0.2   2   2      0.21        49    1.2   0.0   279   310   874   905   867   924 0.87 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5900at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5900at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5900at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:00 2026
# [ok]
