#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081240.1-p1      -           1095 2885at5820           -            768         0 1240.6 114.4   1   8   8.5e-12   5.9e-09   32.9   4.4     1    40     9    52     9    59 0.88 | transcript=PVX_081240.1 | gene=PVX_081240 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor c, putative | transcript_product=replication factor c, putative | location=Pv_Sal1_chr02:190628-193915(+) | protein_length=1095 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117300.1-p1      -            344 2885at5820           -            768   1.3e-09   35.1   3.6   1   1   4.1e-12   2.9e-09   33.9   3.6   119   422     5   297     2   304 0.71 | transcript=PVX_117300.1 | gene=PVX_117300 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C3, putative | transcript_product=replication factor C3, putative | location=Pv_Sal1_chr12:1741770-1743238(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 2885at5820           -            768   1.2e-05   22.0   0.3   1   3      0.23   1.6e+02   -1.6   0.2   336   365    52    82    41   112 0.81 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 2885at5820           -            768   1.2e-05   22.0   0.3   2   3   7.8e-08   5.4e-05   19.8   0.0   142   201   228   289   219   305 0.78 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113325.1-p1      -            483 2885at5820           -            768   1.2e-05   22.0   0.3   3   3      0.69   4.8e+02   -3.2   0.0   674   701   408   435   387   440 0.82 | transcript=PVX_113325.1 | gene=PVX_113325 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial chaperone BCS1, putative | transcript_product=mitochondrial chaperone BCS1, putative | location=Pv_Sal1_chr11:1912448-1913899(-) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 2885at5820           -            768   0.00016   18.2   1.3   1   2    0.0022       1.5    5.1   0.2   169   240   513   585   508   612 0.80 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 2885at5820           -            768   0.00016   18.2   1.3   2   2     2e-05     0.014   11.8   0.1   158   238   822   903   803   962 0.72 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 2885at5820           -            768    0.0039   13.6   0.3   1   2      0.76   5.2e+02   -3.3   0.2   690   707    56    73    34   124 0.51 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101335.1-p1      -            424 2885at5820           -            768    0.0039   13.6   0.3   2   2   9.8e-06    0.0067   12.9   0.0   169   240   205   277   199   353 0.78 | transcript=PVX_101335.1 | gene=PVX_101335 | organism=Plasmodium_vivax_Sal-1 | gene_product=26S protease regulatory subunit 8, putative | transcript_product=26S protease regulatory subunit 8, putative | location=Pv_Sal1_chr14:2806816-2808090(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2885at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2885at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2885at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:21 2026
# [ok]
