#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090860.1-p1      -            585 4554at5820           -            495  6.8e-271  897.3  50.4   1   1  4.6e-273  2.8e-270  895.2  50.4     2   495    16   585    15   585 0.92 | transcript=PVX_090860.1 | gene=PVX_090860 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr09:35068-38706(-) | protein_length=585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 4554at5820           -            495   6.5e-39  132.1  46.1   2   3   7.2e-10   4.4e-07   27.1   2.1   254   311   355   411   352   412 0.96 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095225.1-p1      -            556 4554at5820           -            495   6.5e-39  132.1  46.1   3   3     2e-19   1.2e-16   58.7  12.5   173   296   397   518   396   525 0.89 | transcript=PVX_095225.1 | gene=PVX_095225 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr08:914471-916141(-) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 4554at5820           -            495   1.1e-34  118.1  48.1   1   3   1.6e-18   9.6e-16   55.7  17.9   167   296    75   216    25   221 0.82 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 4554at5820           -            495   1.1e-34  118.1  48.1   2   3   9.9e-22   6.1e-19   66.2  17.8   182   312   223   352   217   357 0.93 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082505.1-p1      -            482 4554at5820           -            495   1.1e-34  118.1  48.1   3   3    0.0044       2.7    4.7   0.2   261   301   379   419   362   427 0.80 | transcript=PVX_082505.1 | gene=PVX_082505 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:865694-867142(-) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 4554at5820           -            495   1.4e-32  111.2  33.1   1   3     3e-11   1.8e-08   31.7  10.7   169   311   195   356    93   357 0.69 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 4554at5820           -            495   1.4e-32  111.2  33.1   2   3   9.9e-27   6.1e-24   82.7   7.9   179   312   348   487   345   492 0.87 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082875.1-p1      -            571 4554at5820           -            495   1.4e-32  111.2  33.1   3   3   3.5e-05     0.022   11.7   1.2   254   302   492   541   489   555 0.81 | transcript=PVX_082875.1 | gene=PVX_082875 | organism=Plasmodium_vivax_Sal-1 | gene_product=CPW-WPC family protein, putative | transcript_product=CPW-WPC family protein, putative | location=Pv_Sal1_chr12:626146-629655(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 4554at5820           -            495   7.7e-16   56.0   4.9   1   1   1.5e-18   9.4e-16   55.7   4.9   137   293    93   246    33   261 0.74 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079725.1-p1      -            250 4554at5820           -            495   3.5e-09   34.1  13.4   1   1   1.6e-11   9.9e-09   32.6  13.4   172   297    91   223    85   238 0.80 | transcript=PVX_079725.1 | gene=PVX_079725 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:47034-49161(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114330.1-p1      -            185 4554at5820           -            495   6.7e-08   29.8   2.3   1   1   1.3e-10   7.8e-08   29.6   2.3   171   294    93   153    26   180 0.52 | transcript=PVX_114330.1 | gene=PVX_114330 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:1060347-1062112(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4554at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4554at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4554at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:09 2026
# [ok]
