#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087820.1-p1      -           1051 2481at5820           -            813         0 1419.5  58.3   1   3   5.4e-35   1.4e-32  111.0   0.0     9   105    59   164    52   170 0.89 | transcript=PVX_087820.1 | gene=PVX_087820 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr01:201631-204786(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003945.1-p1      -            473 2481at5820           -            813     4e-14   49.9   1.3   2   2   9.7e-16   2.4e-13   47.4   1.1   480   615   299   424   246   453 0.78 | transcript=PVX_003945.1 | gene=PVX_003945 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase UAP56, putative | transcript_product=ATP-dependent RNA helicase UAP56, putative | location=Pv_Sal1_chr04:475709-477283(+) | protein_length=473 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 2481at5820           -            813   1.5e-13   48.0   8.7   1   3    0.0018      0.45    6.8   0.0    22    62   130   170   113   177 0.89 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 2481at5820           -            813   1.5e-13   48.0   8.7   2   3   2.5e-05    0.0062   12.9   0.2   332   378   252   295   239   343 0.78 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 2481at5820           -            813   1.5e-13   48.0   8.7   3   3     3e-10   7.5e-08   29.2   3.3   529   650   374   495   360   504 0.85 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 2481at5820           -            813   4.9e-13   46.4   3.2   1   3     0.019       4.9    3.4   0.0    21    63    57    99    36   107 0.82 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 2481at5820           -            813   4.9e-13   46.4   3.2   2   3      0.51   1.3e+02   -1.3   0.0   329   370   176   214   165   219 0.80 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 2481at5820           -            813   4.9e-13   46.4   3.2   3   3   9.8e-14   2.5e-11   40.7   1.4   525   612   296   384   237   391 0.85 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123240.1-p1      -            923 2481at5820           -            813     1e-12   45.3   9.0   1   3     0.083        21    1.3   0.0   123   146   382   405   346   414 0.78 | transcript=PVX_123240.1 | gene=PVX_123240 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr14:1263307-1266078(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123240.1-p1      -            923 2481at5820           -            813     1e-12   45.3   9.0   2   3      0.13        32    0.7   0.0   228   264   417   453   411   472 0.77 | transcript=PVX_123240.1 | gene=PVX_123240 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr14:1263307-1266078(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123240.1-p1      -            923 2481at5820           -            813     1e-12   45.3   9.0   3   3     4e-15     1e-12   45.3   9.0   491   654   595   749   542   767 0.87 | transcript=PVX_123240.1 | gene=PVX_123240 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr14:1263307-1266078(-) | protein_length=923 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 2481at5820           -            813   1.9e-12   44.4  18.6   1   4      0.32        81   -0.7   0.3   671   698    31    58    16    65 0.85 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 2481at5820           -            813   1.9e-12   44.4  18.6   2   4      0.05        13    2.0   0.0    23    62   145   184   125   211 0.81 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 2481at5820           -            813   1.9e-12   44.4  18.6   3   4   1.8e-05    0.0046   13.4   0.4   321   398   259   333   235   350 0.78 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 2481at5820           -            813   1.9e-12   44.4  18.6   4   4   1.2e-12   3.1e-10   37.1   4.3   527   679   390   536   371   549 0.82 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 2481at5820           -            813   1.6e-11   41.4   0.1   1   3       2.3   5.8e+02   -3.5   9.9   403   466    58   128    33   157 0.57 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 2481at5820           -            813   1.6e-11   41.4   0.1   2   3      0.14        35    0.5   0.1    26    62   220   256   217   260 0.86 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079855.1-p1      -            667 2481at5820           -            813   1.6e-11   41.4   0.1   3   3   6.3e-14   1.6e-11   41.4   0.1   441   637   392   578   362   614 0.76 | transcript=PVX_079855.1 | gene=PVX_079855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase-1, putative | transcript_product=RNA helicase-1, putative | location=Pv_Sal1_chr10:150527-152530(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 2481at5820           -            813   1.7e-11   41.2  11.1   1   3   3.8e-05    0.0095   12.3   0.5   122   159   183   220   142   257 0.88 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 2481at5820           -            813   1.7e-11   41.2  11.1   2   3      0.23        58   -0.2   0.4   243   352   411   525   405   568 0.75 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091005.1-p1      -           1339 2481at5820           -            813   1.7e-11   41.2  11.1   3   3     1e-11   2.5e-09   34.1   0.4   526   616   895   986   881   998 0.91 | transcript=PVX_091005.1 | gene=PVX_091005 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr09:162418-166437(+) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 2481at5820           -            813   1.8e-11   41.1   0.0   1   3     0.013       3.3    3.9   0.0   118   152   158   194   128   207 0.73 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 2481at5820           -            813   1.8e-11   41.1   0.0   2   3   0.00062      0.15    8.3   0.0   318   388   236   303   226   306 0.91 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 2481at5820           -            813   1.8e-11   41.1   0.0   3   3   6.3e-09   1.6e-06   24.8   0.0   553   620   596   667   587   706 0.79 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 2481at5820           -            813   8.3e-11   39.0   0.0   1   3      0.29        72   -0.5   0.0    41    62    75    96    66   123 0.83 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 2481at5820           -            813   8.3e-11   39.0   0.0   2   3    0.0022      0.55    6.5   0.0   333   386   179   231   168   234 0.90 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082565.1-p1      -            489 2481at5820           -            813   8.3e-11   39.0   0.0   3   3   5.1e-10   1.3e-07   28.4   0.1   532   645   322   434   299   440 0.83 | transcript=PVX_082565.1 | gene=PVX_082565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase domain containing protein | transcript_product=DEAD/DEAH box helicase domain containing protein | location=Pv_Sal1_chr12:833924-835393(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118190.1-p1      -            528 2481at5820           -            813   1.4e-10   38.2   0.1   1   3       1.4   3.6e+02   -2.8   0.0    38    62   127   151   113   158 0.76 | transcript=PVX_118190.1 | gene=PVX_118190 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX5, putative | transcript_product=ATP-dependent RNA helicase DDX5, putative | location=Pv_Sal1_chr12:2485618-2489052(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118190.1-p1      -            528 2481at5820           -            813   1.4e-10   38.2   0.1   2   3       1.3   3.3e+02   -2.7   0.0   330   387   236   289   226   298 0.79 | transcript=PVX_118190.1 | gene=PVX_118190 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX5, putative | transcript_product=ATP-dependent RNA helicase DDX5, putative | location=Pv_Sal1_chr12:2485618-2489052(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118190.1-p1      -            528 2481at5820           -            813   1.4e-10   38.2   0.1   3   3     2e-12     5e-10   36.4   0.0   527   618   361   453   314   495 0.80 | transcript=PVX_118190.1 | gene=PVX_118190 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX5, putative | transcript_product=ATP-dependent RNA helicase DDX5, putative | location=Pv_Sal1_chr12:2485618-2489052(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001940.1-p1      -            623 2481at5820           -            813   3.2e-09   33.7   0.1   1   1   2.7e-11   6.8e-09   32.7   0.1   548   644   447   542   380   548 0.79 | transcript=PVX_001940.1 | gene=PVX_001940 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr06:263982-265853(-) | protein_length=623 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 2481at5820           -            813   4.8e-07   26.5   0.0   1   4         2     5e+02   -3.3   0.4   669   685   363   379   351   437 0.68 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 2481at5820           -            813   4.8e-07   26.5   0.0   2   4      0.68   1.7e+02   -1.7   0.0    30    62   587   619   583   623 0.85 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 2481at5820           -            813   4.8e-07   26.5   0.0   3   4     0.017       4.2    3.6   0.0   322   391   699   763   674   789 0.78 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080320.1-p1      -           1006 2481at5820           -            813   4.8e-07   26.5   0.0   4   4   1.9e-09   4.8e-07   26.5   0.0   525   616   849   941   822   987 0.80 | transcript=PVX_080320.1 | gene=PVX_080320 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX23, putative | transcript_product=ATP-dependent RNA helicase DDX23, putative | location=Pv_Sal1_chr10:579004-582024(+) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 2481at5820           -            813   1.4e-06   25.0  24.9   1   5    0.0084       2.1    4.6   0.0    39    63   119   143    87   149 0.83 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 2481at5820           -            813   1.4e-06   25.0  24.9   2   5      0.07        18    1.5   0.0   125   151   148   174   143   180 0.79 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 2481at5820           -            813   1.4e-06   25.0  24.9   3   5      0.42   1.1e+02   -1.1   0.3   328   382   232   284   201   314 0.74 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 2481at5820           -            813   1.4e-06   25.0  24.9   4   5   5.7e-09   1.4e-06   25.0  24.9   478   709   337   566   328   590 0.73 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 2481at5820           -            813   1.4e-06   25.0  24.9   5   5       6.8   1.7e+03   -5.1   3.1   414   448   622   655   605   671 0.42 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 2481at5820           -            813     2e-05   21.2  28.3   1   3      0.76   1.9e+02   -1.9   0.0    29    60     7    38     2    54 0.80 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080160.1-p1      -            816 2481at5820           -            813     2e-05   21.2  28.3   2   3      0.99   2.5e+02   -2.3   0.4   273   316   165   208   142   238 0.53 | transcript=PVX_080160.1 | gene=PVX_080160 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr10:441543-443993(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
