#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093615.1-p1      -           1296 1942at5820           -            861         0 1300.6  74.4   1   7         0         0 1011.2  26.1     1   546     1   573     1   582 0.97 | transcript=PVX_093615.1 | gene=PVX_093615 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol 5-phosphatase, putative | transcript_product=inositol 5-phosphatase, putative | location=Pv_Sal1_chr01:686039-689929(+) | protein_length=1296 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 1942at5820           -            861   8.1e-24   82.1  50.6   3   4   6.2e-15   1.1e-11   41.9  18.3   246   437   980  1186   976  1200 0.62 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087815.1-p1      -           2754 1942at5820           -            861   8.1e-24   82.1  50.6   4   4   0.00013      0.23    7.8   0.3   431   504  1356  1431  1345  1452 0.78 | transcript=PVX_087815.1 | gene=PVX_087815 | organism=Plasmodium_vivax_Sal-1 | gene_product=inositol-phosphate phosphatase, putative | transcript_product=inositol-phosphate phosphatase, putative | location=Pv_Sal1_chr01:190165-198635(-) | protein_length=2754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1942at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1942at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1942at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:25 2026
# [ok]
