#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123820.1-p1      -            306 9708at5820           -            266  1.7e-166  550.4   7.0   1   2  5.5e-113  3.8e-110  365.7   3.1     1   177     1   177     1   192 0.97 | transcript=PVX_123820.1 | gene=PVX_123820 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1821609-1822529(+) | protein_length=306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 9708at5820           -            266   5.2e-09   34.1   6.8   2   4   1.6e-06    0.0011   16.7   0.2   114   177   197   263   153   285 0.80 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 9708at5820           -            266   5.2e-09   34.1   6.8   3   4     0.048        33    2.0   0.1   124   216   338   438   290   444 0.62 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 9708at5820           -            266   5.2e-09   34.1   6.8   4   4   9.6e-06    0.0067   14.1   0.1    33    81   441   490   435   493 0.87 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 9708at5820           -            266   1.5e-08   32.6   1.1   1   2   2.4e-08   1.7e-05   22.6   0.1   131   241    63   178     3   189 0.81 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 9708at5820           -            266   1.5e-08   32.6   1.1   2   2   0.00048      0.33    8.6   0.1    34    82   253   301   221   314 0.71 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 9708at5820           -            266     2e-08   32.2   1.3   1   2   1.7e-08   1.2e-05   23.2   0.1   131   241    63   178     3   190 0.81 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 9708at5820           -            266     2e-08   32.2   1.3   2   2   0.00076      0.52    7.9   0.1    34    73   253   292   220   301 0.65 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 9708at5820           -            266   9.8e-08   30.0   1.1   1   2   0.00053      0.36    8.4   0.0    89   246    54   213    27   215 0.67 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 9708at5820           -            266   9.8e-08   30.0   1.1   2   2   9.9e-10   6.9e-07   27.2   0.6   130   263   193   329   183   332 0.69 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9708at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9708at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9708at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:52:18 2026
# [ok]
