#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111185.1-p1      -            236 11812at5820          -            168   2.8e-73  243.7  29.3   1   3   7.3e-28   3.1e-25   87.4   1.6     1    59     1    60     1    73 0.95 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114465.1-p1      -            140 11812at5820          -            168   5.4e-05   21.5   0.7   1   2     0.094        40    2.4   0.1    17    54    14    51     6    74 0.76 | transcript=PVX_114465.1 | gene=PVX_114465 | organism=Plasmodium_vivax_Sal-1 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=Pv_Sal1_chr11:945073-946681(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114465.1-p1      -            140 11812at5820          -            168   5.4e-05   21.5   0.7   2   2   1.2e-06   0.00049   18.4   0.1    99   163    72   136    56   140 0.74 | transcript=PVX_114465.1 | gene=PVX_114465 | organism=Plasmodium_vivax_Sal-1 | gene_product=troponin c-like protein, putative | transcript_product=troponin c-like protein, putative | location=Pv_Sal1_chr11:945073-946681(+) | protein_length=140 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001745.1-p1      -            130 11812at5820          -            168   0.00042   18.6   1.0   1   1   1.8e-06   0.00075   17.8   0.7   113   167    74   128    49   129 0.90 | transcript=PVX_001745.1 | gene=PVX_001745 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:103638-104308(+) | protein_length=130 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 11812at5820          -            168       0.1   10.9  16.6   1   3    0.0017      0.74    8.1   2.4   103   151    46    94    39   110 0.82 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 11812at5820          -            168       0.1   10.9  16.6   2   3     0.019       8.2    4.7   1.5    99   129   120   149    91   152 0.78 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118285.1-p1      -            207 11812at5820          -            168       0.1   10.9  16.6   3   3    0.0024         1    7.6   1.3    32    82   146   195   143   203 0.77 | transcript=PVX_118285.1 | gene=PVX_118285 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2553042-2554176(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11812at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11812at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11812at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:45 2026
# [ok]
