#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081675.1-p1      -            256 10067at5820          -            223    1e-143  474.8   3.2   1   1  3.8e-144  1.8e-141  467.5   3.2     1   223     6   253     6   253 0.94 | transcript=PVX_081675.1 | gene=PVX_081675 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=Pv_Sal1_chr02:551285-552550(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081375.1-p1      -            218 10067at5820          -            223    0.0087   13.9   0.0   1   1   2.8e-05     0.013   13.4   0.0    38   113    19    96     6   105 0.79 | transcript=PVX_081375.1 | gene=PVX_081375 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=Pv_Sal1_chr02:289551-290774(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122742.1-p1      -            228 10067at5820          -            223     0.013   13.3   1.0   1   1   7.1e-05     0.033   12.1   1.0    45   125    60   140    35   146 0.81 | transcript=PVX_122742.1 | gene=PVX_122742 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:830213-832084(+) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10067at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10067at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10067at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:32 2026
# [ok]
