#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118270.1-p1      -           1526 1039at5820           -           1031         0 1765.6  94.1   1   6     1e-41   1.1e-39  134.2   4.7     1   126    46   184    46   211 0.83 | transcript=PVX_118270.1 | gene=PVX_118270 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2540762-2545493(+) | protein_length=1526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124045.1-p1      -            998 1039at5820           -           1031   8.2e-26   88.3   2.0   2   2   2.6e-22   2.9e-20   70.0   0.0   276   454    86   293    82   300 0.77 | transcript=PVX_124045.1 | gene=PVX_124045 | organism=Plasmodium_vivax_Sal-1 | gene_product=NIMA-related protein kinase (Pfnek-1), putative | transcript_product=NIMA-related protein kinase (Pfnek-1), putative | location=Pv_Sal1_chr14:1997153-2000322(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 1039at5820           -           1031   1.1e-25   87.8  16.9   1   2   1.8e-09   1.9e-07   27.5   9.1   159   250     2   100     1   106 0.74 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 1039at5820           -           1031   1.1e-25   87.8  16.9   2   2     1e-21   1.1e-19   68.0   2.0   278   456    96   276    92   282 0.83 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 1039at5820           -           1031     1e-24   84.7   2.9   1   2     7e-17   7.6e-15   52.0   1.3   273   356  3071  3152  3058  3165 0.81 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081395.1-p1      -           3309 1039at5820           -           1031     1e-24   84.7   2.9   2   2   1.2e-10   1.3e-08   31.4   0.0   367   454  3208  3295  3204  3307 0.87 | transcript=PVX_081395.1 | gene=PVX_081395 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr02:299845-311073(-) | protein_length=3309 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 1039at5820           -           1031     5e-24   82.4  16.6   1   2   1.5e-05    0.0016   14.5   6.2   169   247  1160  1235  1128  1237 0.82 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 1039at5820           -           1031     5e-24   82.4  16.6   2   2   1.4e-23   1.5e-21   74.2   1.4   279   461  1237  1422  1232  1430 0.86 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117985.1-p1      -            377 1039at5820           -           1031   2.1e-23   80.3   9.2   1   2       7.3   7.9e+02   -4.3   1.8    36   758    25    46     5    66 0.47 | transcript=PVX_117985.1 | gene=PVX_117985 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:2309678-2312310(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117985.1-p1      -            377 1039at5820           -           1031   2.1e-23   80.3   9.2   2   2   1.9e-25   2.1e-23   80.3   9.2   249   456    90   306    82   368 0.77 | transcript=PVX_117985.1 | gene=PVX_117985 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr12:2309678-2312310(-) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 1039at5820           -           1031   8.6e-22   75.0   9.6   1   2    0.0012      0.13    8.1   0.2   175   241   106   175    95   182 0.77 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 1039at5820           -           1031   8.6e-22   75.0   9.6   2   2   2.4e-22   2.6e-20   70.1   4.8   276   463   178   365   175   367 0.88 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 1039at5820           -           1031   3.5e-21   73.0   0.8   1   2      0.46        49   -0.3   0.0   209   241  1735  1767  1723  1770 0.80 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 1039at5820           -           1031   3.5e-21   73.0   0.8   2   2   1.2e-22   1.3e-20   71.1   0.3   277   459  1772  1957  1759  1962 0.80 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 1039at5820           -           1031   5.4e-21   72.4   6.4   1   2     0.015       1.6    4.6   0.5   193   252    86   147    55   148 0.73 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 1039at5820           -           1031   5.4e-21   72.4   6.4   2   2     5e-23   5.4e-21   72.4   6.4   275   467   139   335   135   361 0.82 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 1039at5820           -           1031   5.5e-20   69.0   1.0   1   2   0.00083      0.09    8.7   0.1   176   239   155   220   135   225 0.85 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 1039at5820           -           1031   5.5e-20   69.0   1.0   2   2   5.1e-19   5.6e-17   59.1   0.1   276   458   225   412   219   438 0.77 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 1039at5820           -           1031   6.1e-20   68.9   0.3   1   2   0.00018      0.02   10.9   0.0   173   279    28   137    11   140 0.85 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 1039at5820           -           1031   6.1e-20   68.9   0.3   2   2   2.3e-20   2.5e-18   63.6   0.4   278   465   104   313   101   322 0.79 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 1039at5820           -           1031   1.7e-19   67.4   3.9   1   2   0.00016     0.017   11.1   0.8   174   256  1335  1420  1323  1429 0.82 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 1039at5820           -           1031   1.7e-19   67.4   3.9   2   2   2.8e-19     3e-17   59.9   0.2   278   428  1411  1574  1403  1600 0.78 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 1039at5820           -           1031   3.4e-19   66.4  15.5   1   2     1e-05    0.0011   15.0   3.6   160   241   102   185    50   190 0.80 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 1039at5820           -           1031   3.4e-19   66.4  15.5   2   2   3.9e-18   4.2e-16   56.2   4.6   278   410   190   323   185   429 0.76 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 1039at5820           -           1031   1.1e-18   64.8   0.0   1   2   2.4e-06   0.00026   17.1   0.0   175   254   540   622   528   633 0.83 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 1039at5820           -           1031   1.1e-18   64.8   0.0   2   2   1.7e-15   1.8e-13   47.4   0.0   280   450   616   786   615   805 0.80 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 1039at5820           -           1031   1.4e-18   64.4   4.2   1   1   1.9e-20   2.1e-18   63.8   4.2   248   459   152   364   131   404 0.82 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 1039at5820           -           1031   7.2e-18   62.0   5.8   1   1     3e-18   3.3e-16   56.5   5.8   176   400     8   210     2   217 0.82 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 1039at5820           -           1031     8e-18   61.9   0.9   1   3       1.6   1.7e+02   -2.1   0.9   561   664   606   629   597   664 0.59 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 1039at5820           -           1031     8e-18   61.9   0.9   2   3         5   5.4e+02   -3.8   5.6   170   235  1528  1595  1391  1601 0.68 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 1039at5820           -           1031     8e-18   61.9   0.9   3   3   7.4e-20     8e-18   61.9   0.9   269   455  1596  1787  1588  1799 0.78 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 1039at5820           -           1031   1.6e-17   60.8   0.1   1   3   1.4e-07   1.5e-05   21.2   0.2   183   245    10    73     3    92 0.81 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 1039at5820           -           1031   1.6e-17   60.8   0.1   2   3   6.3e-12   6.8e-10   35.6   0.0   311   401   106   196    87   206 0.87 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 1039at5820           -           1031   1.6e-17   60.8   0.1   3   3      0.33        36    0.1   0.0   429   458   254   283   248   287 0.81 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 1039at5820           -           1031   1.8e-17   60.7   3.4   1   2      0.02       2.2    4.2   0.6   182   250  1192  1263  1184  1273 0.80 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 1039at5820           -           1031   1.8e-17   60.7   3.4   2   2   4.1e-19   4.4e-17   59.4   1.8   262   447  1244  1427  1231  1474 0.70 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 1039at5820           -           1031   2.2e-17   60.4   9.1   1   1   3.1e-19   3.3e-17   59.8   9.1   266   469   542   747   485   769 0.81 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 1039at5820           -           1031   2.3e-17   60.3   4.5   1   2     4e-06   0.00043   16.4   1.3   183   254    10    82     2    98 0.80 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096360.1-p1      -            310 1039at5820           -           1031   2.3e-17   60.3   4.5   2   2   3.3e-15   3.6e-13   46.5   0.3   279   457    75   258    72   278 0.82 | transcript=PVX_096360.1 | gene=PVX_096360 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase NEK4, putative | transcript_product=serine/threonine-protein kinase NEK4, putative | location=Pv_Sal1_chr03:574983-576854(+) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 1039at5820           -           1031     2e-16   57.3   5.1   1   3    0.0051      0.55    6.1   1.3   176   258   266   353   246   363 0.75 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 1039at5820           -           1031     2e-16   57.3   5.1   2   3   1.1e-16   1.2e-14   51.4   0.3   280   401   344   465   339   484 0.78 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 1039at5820           -           1031     2e-16   57.3   5.1   3   3      0.29        32    0.3   0.0   433   464   543   574   532   579 0.84 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093670.1-p1      -            721 1039at5820           -           1031   6.2e-16   55.6   1.8   1   1   8.2e-18   8.9e-16   55.1   1.8   256   454   504   708   459   719 0.86 | transcript=PVX_093670.1 | gene=PVX_093670 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr01:752530-755536(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002865.1-p1      -            344 1039at5820           -           1031     5e-15   52.6   0.0   1   1   8.7e-17   9.4e-15   51.7   0.0   310   404   152   248   146   339 0.86 | transcript=PVX_002865.1 | gene=PVX_002865 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr04:336029-337650(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 1039at5820           -           1031   1.4e-14   51.2   3.9   1   3   0.00047     0.051    9.5   1.8   180   261    23   109    11   122 0.73 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 1039at5820           -           1031   1.4e-14   51.2   3.9   2   3   2.7e-14   2.9e-12   43.5   0.0   275   400    91   218    88   237 0.79 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
