#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099690.1-p1      -            133 14603at5820          -             96   1.2e-58  193.6   0.7   1   1   3.9e-61   1.4e-58  193.3   0.7     1    96    21   116    21   116 0.99 | transcript=PVX_099690.1 | gene=PVX_099690 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=Pv_Sal1_chr07:968851-970052(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094525.1-p1      -            193 14603at5820          -             96   0.00039   18.8   0.0   1   2         2   7.3e+02   -1.3   0.9    42    66    34    57    14    70 0.58 | transcript=PVX_094525.1 | gene=PVX_094525 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosducin-like protein, putative | transcript_product=phosducin-like protein, putative | location=Pv_Sal1_chr08:307736-308317(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094525.1-p1      -            193 14603at5820          -             96   0.00039   18.8   0.0   2   2   1.1e-06   0.00039   18.8   0.0     4    95    74   165    71   166 0.96 | transcript=PVX_094525.1 | gene=PVX_094525 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosducin-like protein, putative | transcript_product=phosducin-like protein, putative | location=Pv_Sal1_chr08:307736-308317(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116850.1-p1      -            543 14603at5820          -             96    0.0023   16.3   0.0   1   1   2.5e-05    0.0093   14.4   0.0     8    49   406   448   400   494 0.80 | transcript=PVX_116850.1 | gene=PVX_116850 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr12:1336041-1338216(+) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 14603at5820          -             96    0.0032   15.9   0.9   1   2      0.17        61    2.2   0.1    15    70    53   109    34   118 0.66 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090900.1-p1      -            430 14603at5820          -             96    0.0032   15.9   0.9   2   2   0.00022     0.082   11.4   0.1    42    90   192   240   181   245 0.78 | transcript=PVX_090900.1 | gene=PVX_090900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:83187-84608(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094902.1-p1      -            206 14603at5820          -             96    0.0052   15.2   0.0   1   1   2.3e-05    0.0085   14.5   0.0    26    81    81   140    58   152 0.72 | transcript=PVX_094902.1 | gene=PVX_094902 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:629183-630307(+) | protein_length=206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098695.1-p1      -            282 14603at5820          -             96    0.0078   14.6   2.5   1   2   0.00018     0.066   11.7   0.3    16    89   142   216   126   222 0.75 | transcript=PVX_098695.1 | gene=PVX_098695 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:136928-137776(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098695.1-p1      -            282 14603at5820          -             96    0.0078   14.6   2.5   2   2      0.19        70    2.0   0.1    42    64   251   273   227   280 0.84 | transcript=PVX_098695.1 | gene=PVX_098695 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:136928-137776(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119305.1-p1      -            179 14603at5820          -             96     0.015   13.7   0.0   1   1   9.2e-05     0.034   12.6   0.0     8    62    38    89    31    97 0.79 | transcript=PVX_119305.1 | gene=PVX_119305 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like redox-active protein, putative | transcript_product=thioredoxin-like redox-active protein, putative | location=Pv_Sal1_chr08:1570027-1570566(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115095.1-p1      -           2173 14603at5820          -             96      0.36    9.3   7.6   1   3       7.9   2.9e+03   -3.2   0.2    55    74    11    31     9    37 0.79 | transcript=PVX_115095.1 | gene=PVX_115095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:316496-323161(-) | protein_length=2173 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115095.1-p1      -           2173 14603at5820          -             96      0.36    9.3   7.6   2   3      0.03        11    4.6   0.0    18    57  1021  1060  1013  1067 0.80 | transcript=PVX_115095.1 | gene=PVX_115095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:316496-323161(-) | protein_length=2173 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115095.1-p1      -           2173 14603at5820          -             96      0.36    9.3   7.6   3   3    0.0057       2.1    6.8   1.3    50    76  1614  1640  1609  1648 0.87 | transcript=PVX_115095.1 | gene=PVX_115095 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:316496-323161(-) | protein_length=2173 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14603at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14603at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14603at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:55 2026
# [ok]
