#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000855.1-p1      -           1608 1231at5820           -            664  1.5e-255  847.8  70.6   1  10   0.00063       1.2    5.6   0.0     1    27     1    27     1    61 0.79 | transcript=PVX_000855.1 | gene=PVX_000855 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:253271-258097(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099944.1-p1      -            375 1231at5820           -            664     0.013   12.0   0.3   1   2   0.00016       0.3    7.5   0.0   385   426   230   271   217   286 0.87 | transcript=PVX_099944.1 | gene=PVX_099944 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1133555-1134682(-) | protein_length=375 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099944.1-p1      -            375 1231at5820           -            664     0.013   12.0   0.3   2   2    0.0062        11    2.3   0.3   283   329   307   355   297   357 0.85 | transcript=PVX_099944.1 | gene=PVX_099944 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1133555-1134682(-) | protein_length=375 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1231at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1231at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1231at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:33 2026
# [ok]
