#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085030.1-p1      -            723 5905at5820           -            437  1.5e-254  842.8  20.1   1   3   2.3e-15   2.1e-12   44.8   0.3    18    74    62   119    57   130 0.82 | transcript=PVX_085030.1 | gene=PVX_085030 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr13:854429-857814(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111035.1-p1      -            479 5905at5820           -            437   2.3e-11   41.3   3.7   1   1   4.7e-14   4.3e-11   40.5   3.7    75   409    84   428    71   448 0.72 | transcript=PVX_111035.1 | gene=PVX_111035 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr06:769058-771632(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5905at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5905at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5905at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:01 2026
# [ok]
