#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091465.1-p1      -            690 3676at5820           -            548         0 1042.4  33.0   1   3  8.3e-110  2.2e-107  358.2   5.2     9   196    22   212     8   232 0.91 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003795.1-p1      -           1045 3676at5820           -            548     1e-07   29.2   2.7   1   2      0.44   1.2e+02   -0.7   0.3   347   384   580   621   511   657 0.54 | transcript=PVX_003795.1 | gene=PVX_003795 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:606646-610483(+) | protein_length=1045 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003795.1-p1      -           1045 3676at5820           -            548     1e-07   29.2   2.7   2   2   3.9e-10     1e-07   29.2   2.7   463   513   696   747   669   760 0.90 | transcript=PVX_003795.1 | gene=PVX_003795 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=Pv_Sal1_chr04:606646-610483(+) | protein_length=1045 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003835.1-p1      -           1090 3676at5820           -            548     1e-07   29.2   0.2   1   1   6.7e-10   1.8e-07   28.4   0.2   464   513   716   766   617   786 0.89 | transcript=PVX_003835.1 | gene=PVX_003835 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 1 (SERA) | transcript_product=serine-repeat antigen 1 (SERA) | location=Pv_Sal1_chr04:567313-571093(+) | protein_length=1090 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003845.1-p1      -           1203 3676at5820           -            548   1.4e-07   28.8   7.0   1   1   3.2e-09   8.5e-07   26.2   7.0   361   513   720   871   591   891 0.67 | transcript=PVX_003845.1 | gene=PVX_003845 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA) | transcript_product=serine-repeat antigen 4 (SERA) | location=Pv_Sal1_chr04:556300-560502(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003830.1-p1      -           1087 3676at5820           -            548   1.4e-07   28.7   0.3   1   1     1e-09   2.7e-07   27.8   0.3   464   513   701   751   682   770 0.87 | transcript=PVX_003830.1 | gene=PVX_003830 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA) | transcript_product=serine-repeat antigen 5 (SERA) | location=Pv_Sal1_chr04:572172-575852(+) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003810.1-p1      -            974 3676at5820           -            548   2.4e-07   28.0   0.3   1   1   1.7e-09   4.6e-07   27.1   0.3   464   513   662   712   644   731 0.86 | transcript=PVX_003810.1 | gene=PVX_003810 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 5 (SERA), putative | transcript_product=serine-repeat antigen 5 (SERA), putative | location=Pv_Sal1_chr04:591516-595104(+) | protein_length=974 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003820.1-p1      -           1089 3676at5820           -            548   3.2e-07   27.6   0.2   1   1   2.1e-09   5.5e-07   26.8   0.2   463   513   735   786   632   805 0.90 | transcript=PVX_003820.1 | gene=PVX_003820 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 4 (SERA), putative | transcript_product=serine-repeat antigen 4 (SERA), putative | location=Pv_Sal1_chr04:583217-586852(+) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 3676at5820           -            548   1.9e-06   25.0   1.5   1   3      0.58   1.5e+02   -1.1   0.1   284   306   254   277   241   307 0.72 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 3676at5820           -            548   1.9e-06   25.0   1.5   2   3      0.99   2.6e+02   -1.8   0.0   414   429   433   448   430   449 0.88 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003790.1-p1      -            706 3676at5820           -            548   1.9e-06   25.0   1.5   3   3   7.2e-09   1.9e-06   25.0   1.5   474   513   449   489   435   495 0.87 | transcript=PVX_003790.1 | gene=PVX_003790 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:612575-615450(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003805.1-p1      -           1136 3676at5820           -            548   1.9e-06   25.0   0.3   1   1   1.2e-08   3.2e-06   24.3   0.3   463   513   745   796   678   815 0.92 | transcript=PVX_003805.1 | gene=PVX_003805 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen (SERA), putative | transcript_product=serine-repeat antigen (SERA), putative | location=Pv_Sal1_chr04:596283-600192(+) | protein_length=1136 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003840.1-p1      -           1054 3676at5820           -            548   3.3e-06   24.2   0.2   1   2       2.5   6.5e+02   -3.1   2.5   223   336   299   413   262   425 0.70 | transcript=PVX_003840.1 | gene=PVX_003840 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=Pv_Sal1_chr04:562755-566374(+) | protein_length=1054 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003840.1-p1      -           1054 3676at5820           -            548   3.3e-06   24.2   0.2   2   2   1.2e-08   3.3e-06   24.2   0.2   463   513   692   743   673   763 0.86 | transcript=PVX_003840.1 | gene=PVX_003840 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine-repeat antigen 3 (SERA) | transcript_product=serine-repeat antigen 3 (SERA) | location=Pv_Sal1_chr04:562755-566374(+) | protein_length=1054 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 3676at5820           -            548   9.5e-06   22.7  21.8   1   4       8.3   2.2e+03   -4.9   5.2   275   295   233   253   123   292 0.49 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 3676at5820           -            548   9.5e-06   22.7  21.8   2   4   5.8e-05     0.015   12.1   8.9   292   405   354   464   229   472 0.72 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 3676at5820           -            548   9.5e-06   22.7  21.8   3   4     0.093        24    1.6   0.0   464   485   484   505   480   523 0.86 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_195290-t26_1-p1  -            630 3676at5820           -            548   9.5e-06   22.7  21.8   4   4   4.8e-06    0.0013   15.7   0.6   488   517   537   565   528   581 0.78 | transcript=PVX_195290-t26_1 | gene=PVX_195290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000466:97-1989(+) | protein_length=630 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 3676at5820           -            548   1.9e-05   21.7  23.3   1   3   6.7e-05     0.018   11.9   9.3   292   405   354   464   229   472 0.72 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 3676at5820           -            548   1.9e-05   21.7  23.3   2   3     0.085        22    1.7   0.0   464   485   484   505   480   523 0.86 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117565.1-p1      -            583 3676at5820           -            548   1.9e-05   21.7  23.3   3   3   5.6e-06    0.0015   15.5   1.0   488   517   537   565   528   580 0.79 | transcript=PVX_117565.1 | gene=PVX_117565 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=Pv_Sal1_chr12:1951800-1953551(-) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091405.1-p1      -            484 3676at5820           -            548     7e-05   19.9  17.6   1   1   5.6e-05     0.015   12.2  17.6   290   513   275   462   149   467 0.66 | transcript=PVX_091405.1 | gene=PVX_091405 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=Pv_Sal1_chr09:492204-493658(-) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3676at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3676at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3676at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:14 2026
# [ok]
