#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084745.1-p1      -            499 6051at5820           -            397    2e-241  799.1  30.1   1   2  6.4e-117  3.5e-114  380.1   0.5     1   197    24   236    24   249 0.95 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 6051at5820           -            397     1e-06   26.3   3.4   1   3   4.8e-08   2.7e-05   21.6   0.1    67   161    64   154    58   164 0.84 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 6051at5820           -            397     1e-06   26.3   3.4   2   3     0.015       8.2    3.5   0.1   216   243   226   253   186   259 0.87 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 6051at5820           -            397     1e-06   26.3   3.4   3   3      0.15        84    0.2   0.1   103   136   288   323   284   334 0.83 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 6051at5820           -            397   8.4e-05   20.0   6.4   1   2   8.6e-06    0.0048   14.2   0.6   216   283   127   192   121   197 0.87 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 6051at5820           -            397   8.4e-05   20.0   6.4   2   2    0.0017      0.93    6.7   0.7    69   111   205   249   194   328 0.65 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119770.1-p1      -            766 6051at5820           -            397   0.00051   17.4   0.0   1   2    0.0016      0.89    6.7   0.0    66    88    12    34     8    73 0.89 | transcript=PVX_119770.1 | gene=PVX_119770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1213207-1215507(-) | protein_length=766 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119770.1-p1      -            766 6051at5820           -            397   0.00051   17.4   0.0   2   2   0.00053      0.29    8.3   0.0    57   131   472   550   464   608 0.74 | transcript=PVX_119770.1 | gene=PVX_119770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1213207-1215507(-) | protein_length=766 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 6051at5820           -            397    0.0008   16.7   0.0   1   1   3.2e-06    0.0018   15.6   0.0    61   159   166   262   141   280 0.80 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 6051at5820           -            397    0.0078   13.5   1.8   1   2   4.2e-05     0.023   11.9   0.2    60   100    11    51     1   101 0.87 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118390.1-p1      -            185 6051at5820           -            397    0.0078   13.5   1.8   2   2      0.14        77    0.3   0.5   327   345   118   136    71   156 0.57 | transcript=PVX_118390.1 | gene=PVX_118390 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP-ribosylation-like factor, putative | transcript_product=ADP-ribosylation-like factor, putative | location=Pv_Sal1_chr12:2675674-2676493(+) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113555.1-p1      -            593 6051at5820           -            397    0.0081   13.4   0.0   1   2      0.76   4.2e+02   -2.1   0.0    78   119   372   407   362   411 0.64 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113555.1-p1      -            593 6051at5820           -            397    0.0081   13.4   0.0   2   2   4.3e-05     0.024   11.9   0.0   229   282   526   582   501   591 0.71 | transcript=PVX_113555.1 | gene=PVX_113555 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:1704206-1706169(+) | protein_length=593 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6051at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6051at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6051at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:49 2026
# [ok]
