#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090165.1-p1      -           2675 270at5820            -           1986         0 3535.8 150.6   1  10   1.4e-30   1.1e-27   94.3   0.7     1    56     1    57     1    64 0.95 | transcript=PVX_090165.1 | gene=PVX_090165 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=Pv_Sal1_chr05:1203666-1211693(+) | protein_length=2675 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 270at5820            -           1986  8.6e-224  744.5 141.4   2   8  3.2e-123  2.6e-120  401.4  37.6   435   986   522  1096   515  1142 0.88 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 270at5820            -           1986  8.6e-224  744.5 141.4   3   8     2e-13   1.6e-10   37.3  19.8  1012  1216  1207  1419  1200  1419 0.89 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 270at5820            -           1986  8.6e-224  744.5 141.4   4   8   1.2e-50   9.8e-48  160.7   9.1   385   649  1400  1663  1399  1683 0.89 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 270at5820            -           1986  8.6e-224  744.5 141.4   5   8   5.3e-38   4.2e-35  118.8   0.2   654   770  1759  1876  1744  1880 0.88 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 270at5820            -           1986  8.6e-224  744.5 141.4   6   8   2.1e-13   1.7e-10   37.2  14.5  1566  1689  1877  2019  1873  2026 0.79 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 270at5820            -           1986  8.6e-224  744.5 141.4   7   8      0.18   1.4e+02   -2.3   7.1  1748  1851  2167  2271  2153  2314 0.82 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 270at5820            -           1986  8.6e-224  744.5 141.4   8   8    0.0059       4.7    2.6   0.0  1935  1986  2384  2436  2365  2436 0.79 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122755.1-p1      -            720 270at5820            -           1986   1.3e-22   77.4   3.4   1   1   2.2e-25   1.7e-22   77.0   3.4  1751  1983   318   560   303   563 0.82 | transcript=PVX_122755.1 | gene=PVX_122755 | organism=Plasmodium_vivax_Sal-1 | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=Pv_Sal1_chr14:839917-842079(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113270.1-p1      -           1387 270at5820            -           1986   6.4e-22   75.1   8.4   1   1   1.8e-22   1.5e-19   67.3   8.4   400   839   278   745   262   775 0.65 | transcript=PVX_113270.1 | gene=PVX_113270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase, putative | transcript_product=ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr11:1947435-1951781(-) | protein_length=1387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 270at5820            -           1986   2.3e-21   73.3  18.5   1   2   6.8e-11   5.4e-08   28.9   3.8   438   584   351   489   321   522 0.78 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098935.1-p1      -           1393 270at5820            -           1986   2.3e-21   73.3  18.5   2   2   5.2e-17   4.1e-14   49.2   6.8   607   807   611   813   590   869 0.73 | transcript=PVX_098935.1 | gene=PVX_098935 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr07:369120-373301(+) | protein_length=1393 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 270at5820            -           1986   8.6e-16   54.8  11.0   1   1   2.2e-18   1.7e-15   53.8  11.0   399   757   258   622   253   633 0.70 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 270at5820            -           1986   5.5e-09   32.2   1.2   1   2   4.4e-07   0.00035   16.3   0.1   515   602   282   379   279   456 0.71 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 270at5820            -           1986   5.5e-09   32.2   1.2   2   2   1.4e-06    0.0011   14.7   0.1   672   776   519   614   488   631 0.67 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/270at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/270at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/270at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:25 2026
# [ok]
