#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089405.1-p1      -            662 3997at5820           -            539    1e-276  917.2  14.5   1   3   4.6e-34   5.1e-31  106.3   0.0     2    71    18    87    17    92 0.96 | transcript=PVX_089405.1 | gene=PVX_089405 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 5 | transcript_product=perforin-like protein 5 | location=Pv_Sal1_chr05:530178-532166(-) | protein_length=662 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089395.1-p1      -            705 3997at5820           -            539   3.4e-19   67.3  10.3   2   2   2.8e-07   0.00031   17.9   6.0   251   496   379   649   370   687 0.67 | transcript=PVX_089395.1 | gene=PVX_089395 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 4 | transcript_product=perforin-like protein 4 | location=Pv_Sal1_chr05:523860-525977(-) | protein_length=705 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3997at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3997at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3997at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:51 2026
# [ok]
