#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118648.1-p1      -           5540 39at5820             -           4063         0 6023.0 535.6   1  11  7.5e-301    1e-297  989.6 131.6     2   950    16  1285    15  1325 0.82 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 39at5820             -           4063  1.1e-169  564.6 230.6   6   7   1.3e-26   1.9e-23   79.3  29.9  3368  3640  2462  2748  2452  2769 0.80 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 39at5820             -           4063  1.1e-169  564.6 230.6   7   7      0.99   1.4e+03   -6.6  33.2  3771  4011  2967  3228  2953  3252 0.64 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 39at5820             -           4063   4.1e-45  151.2 217.5   1   7     8e-20   1.1e-16   56.8  27.3  1955  2259   822  1149   715  1177 0.75 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 39at5820             -           4063   4.1e-45  151.2 217.5   2   7   6.1e-07   0.00085   14.0  14.6  2176  2264  1195  1283  1188  1297 0.74 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 39at5820             -           4063   4.1e-45  151.2 217.5   3   7     5e-07    0.0007   14.3  17.8  2165  2245  1299  1383  1294  1396 0.82 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 39at5820             -           4063   4.1e-45  151.2 217.5   4   7   1.2e-08   1.7e-05   19.7  10.8  2732  2816  1397  1483  1384  1486 0.86 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 39at5820             -           4063   4.1e-45  151.2 217.5   5   7   6.4e-19   8.8e-16   53.8  21.5  2880  3060  1487  1656  1483  1664 0.92 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 39at5820             -           4063   4.1e-45  151.2 217.5   6   7   7.4e-16     1e-12   43.7  64.0  3158  3632  1666  2135  1660  2189 0.69 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096410.1-p1      -           2536 39at5820             -           4063   4.1e-45  151.2 217.5   7   7         4   5.5e+03  -16.2  15.7  3774  3965  2206  2399  2174  2477 0.59 | transcript=PVX_096410.1 | gene=PVX_096410 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 2, putative | transcript_product=cysteine repeat modular protein 2, putative | location=Pv_Sal1_chr03:541574-550264(-) | protein_length=2536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 39at5820             -           4063   1.2e-30  103.1 207.5   1   6   2.9e-20   4.1e-17   58.2  74.2  1952  2475  1165  1718  1103  1724 0.69 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 39at5820             -           4063   1.2e-30  103.1 207.5   2   6      0.19   2.6e+02   -4.2   7.1  2718  2762  1725  1773  1718  1787 0.59 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 39at5820             -           4063   1.2e-30  103.1 207.5   3   6   6.9e-05     0.095    7.2   5.3  2429  2817  1844  1892  1830  1901 0.60 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 39at5820             -           4063   1.2e-30  103.1 207.5   4   6   3.5e-15   4.8e-12   41.4  10.6  2903  3055  2086  2233  2080  2249 0.87 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 39at5820             -           4063   1.2e-30  103.1 207.5   5   6   1.1e-12   1.5e-09   33.1  62.9  3160  3623  2250  2703  2235  2721 0.75 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099005.1-p1      -           3274 39at5820             -           4063   1.2e-30  103.1 207.5   6   6         4   5.5e+03  -11.1   8.4  3751  3831  2919  3005  2906  3036 0.59 | transcript=PVX_099005.1 | gene=PVX_099005 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 1, putative | transcript_product=cysteine repeat modular protein 1, putative | location=Pv_Sal1_chr07:436712-446692(+) | protein_length=3274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/39at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/39at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/39at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:53 2026
# [ok]
