#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3   1  25   0.00069       3.8    1.7   8.0   591   704   198   305   173   321 0.80 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  12  25   1.5e-47   8.3e-44  146.6   9.2  1748  1866  2948  3067  2937  3083 0.85 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  13  25         1   5.5e+03  -23.0  21.3  1839  1865  3178  3205  3147  3212 0.39 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  14  25  8.9e-108  4.9e-104  346.6  36.7  1848  2112  3246  3581  3219  3598 0.80 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  15  25   2.8e-73   1.6e-69  232.0   7.1  2111  2267  3621  3781  3614  3790 0.94 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  16  25  3.4e-200  1.9e-196  653.3  51.5  2256  2678  3818  4344  3811  4352 0.86 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  17  25   7.2e-24     4e-20   68.1   4.3  2685  2755  4448  4523  4423  4529 0.82 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  18  25  6.9e-113  3.8e-109  363.5  13.7  2746  2977  4602  4844  4578  4853 0.93 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  19  25   1.1e-05     0.058    7.8   0.0  2978  3000  4899  4921  4895  4924 0.90 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  20  25   1.5e-33   8.2e-30  100.2  10.1  2998  3102  4960  5084  4954  5093 0.81 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  21  25   1.2e-58   6.8e-55  183.5  11.9  3098  3231  5108  5245  5094  5253 0.92 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  22  25   1.1e-89   5.8e-86  286.6  11.7  3225  3466  5423  5711  5406  5721 0.85 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  23  25  9.3e-127  5.1e-123  409.6  21.5  3451  3691  5845  6087  5825  6090 0.94 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  24  25   1.7e-61   9.2e-58  193.0   8.7  3688  3802  6118  6235  6111  6244 0.95 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118290.1-p1      -           6833 19at5820             -           4334         0 6677.6 611.3  25  25         0         0 1070.0  58.4  3801  4334  6297  6833  6289  6833 0.99 | transcript=PVX_118290.1 | gene=PVX_118290 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2554833-2577453(+) | protein_length=6833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/19at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/19at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/19at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:45 2026
# [ok]
