#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089655.1-p1      -            889 3141at5820           -            730         0 1323.0  73.1   1   4   5.3e-28   5.8e-25   86.0   0.4     1    58     1    60     1    65 0.95 | transcript=PVX_089655.1 | gene=PVX_089655 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase 13, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 13, putative | location=Pv_Sal1_chr05:724246-727416(-) | protein_length=889 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079880.1-p1      -            590 3141at5820           -            730   3.4e-10   37.2   0.9   3   3   9.9e-06     0.011   12.4   0.0   672   702   486   516   479   545 0.79 | transcript=PVX_079880.1 | gene=PVX_079880 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin carboxyl-terminal hydrolase, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase, putative | location=Pv_Sal1_chr10:174815-177087(+) | protein_length=590 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 3141at5820           -            730   0.00024   17.8  31.9   1   3      0.13   1.4e+02   -1.2   5.0   268   359   599   693   589   705 0.63 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 3141at5820           -            730   0.00024   17.8  31.9   2   3   1.8e-06     0.002   14.8  10.3   405   552   704   845   691   867 0.79 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085715.1-p1      -           1210 3141at5820           -            730   0.00024   17.8  31.9   3   3   3.2e-06    0.0036   14.0   3.0   673   727  1097  1156  1086  1159 0.78 | transcript=PVX_085715.1 | gene=PVX_085715 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1450294-1453926(+) | protein_length=1210 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001075.1-p1      -            383 3141at5820           -            730     0.003   14.2  30.8   1   2   6.7e-05     0.074    9.6  23.5   276   535    16   277     5   300 0.67 | transcript=PVX_001075.1 | gene=PVX_001075 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=Pv_Sal1_chr03:32570-33721(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001075.1-p1      -            383 3141at5820           -            730     0.003   14.2  30.8   2   2   0.00014      0.15    8.6   0.7   675   716   324   364   302   382 0.76 | transcript=PVX_001075.1 | gene=PVX_001075 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=Pv_Sal1_chr03:32570-33721(+) | protein_length=383 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3141at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3141at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3141at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:53 2026
# [ok]
